file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-heron_17f1b06fffed0c242b181b3e945c7e6a31478751/heron/api/src/java/org/apache/heron/streamlet/WindowConfig.java,org.apache.heron.streamlet.WindowConfig,interface,7,17,10,7,7,1,0,0,21,0.0,0.0,0.0,7,5,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,88,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-heron_17f1b06fffed0c242b181b3e945c7e6a31478751/heron/schedulers/tests/java/org/apache/heron/scheduler/aurora/AuroraCLIControllerTest.java,org.apache.heron.scheduler.aurora.AuroraCLIControllerTest$1ContainerPlanComparator,innerclass,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-heron_17f1b06fffed0c242b181b3e945c7e6a31478751/heron/metricsmgr/tests/java/org/apache/heron/metricsmgr/executor/SinkExecutorTest.java,org.apache.heron.metricsmgr.executor.SinkExecutorTest,class,15,16,1,15,11,1,0,24,0,0.7518796,0.8,1.0,7,0,5,2,0,0,5,0,0,0,19,11,0,19,0,0,11,0,4,146,1,3,0,0,0,24,12,45,6,40,1,0,1,0,82,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-heron_17f1b06fffed0c242b181b3e945c7e6a31478751/examples/src/java/org/apache/heron/examples/streamlet/FilesystemSinkTopology.java,org.apache.heron.examples.streamlet.FilesystemSinkTopology$FilesystemSink,innerclass,4,4,0,4,5,1,0,8,2,0.6666667,0.33333334,0.5,4,0,3,0,0,1,4,0,0,0,3,1,0,3,0,0,1,0,4,23,0,0,0,1,0,2,1,4,0,4,1,0,0,0,74,10,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-heron_17f1b06fffed0c242b181b3e945c7e6a31478751/heron/api/src/java/org/apache/heron/api/hooks/info/SpoutAckInfo.java,org.apache.heron.api.hooks.info.SpoutAckInfo,class,0,8,8,0,4,1,0,0,0,0.5,0.5,1.0,4,0,4,0,0,0,4,0,0,0,3,0,0,3,0,0,3,0,0,19,3,0,0,0,0,0,0,3,0,3,0,0,0,0,14,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-heron_17f1b06fffed0c242b181b3e945c7e6a31478751/heron/uploaders/tests/java/org/apache/heron/uploader/http/HttpUploaderTest.java,org.apache.heron.uploader.http.HttpUploaderTest$TestHttpUploaderWithHttp501,innerclass,3,3,0,3,1,2,0,5,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,1,0,1,0,0,0,0,15,2,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-heron_17f1b06fffed0c242b181b3e945c7e6a31478751/heron/statemgrs/src/java/org/apache/heron/statemgr/zookeeper/curator/CuratorStateManager.java,org.apache.heron.statemgr.zookeeper.curator.CuratorStateManager$DistributedLock,innerclass,3,3,0,3,6,1,0,2,0,0.0,1.0,1.0,3,0,2,1,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,27,1,0,0,2,0,2,0,2,2,2,1,0,0,0,43,18,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-heron_17f1b06fffed0c242b181b3e945c7e6a31478751/eco/src/java/org/apache/heron/eco/definition/BoltDefinition.java,org.apache.heron.eco.definition.BoltDefinition,class,1,5,4,1,0,2,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-heron_17f1b06fffed0c242b181b3e945c7e6a31478751/heron/healthmgr/src/java/org/apache/heron/healthmgr/detectors/SkewDetector.java,org.apache.heron.healthmgr.detectors.SkewDetector,class,9,14,5,9,15,2,2,15,4,0.5,0.16666667,0.16666667,4,0,1,0,0,3,4,0,0,0,3,0,0,3,0,0,3,0,0,61,3,4,0,0,0,2,3,17,5,15,4,0,0,0,49,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-heron_17f1b06fffed0c242b181b3e945c7e6a31478751/heron/metricscachemgr/src/java/org/apache/heron/metricscachemgr/metricscache/query/MetricResponse.java,org.apache.heron.metricscachemgr.metricscache.query.MetricResponse,class,2,7,5,2,2,1,0,1,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,6,17,0
