file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-hudi_194d904c99ebd013af55eac7509e3e79193dce77/hoodie-utilities/src/test/java/com/uber/hoodie/utilities/TestHoodieDeltaStreamer.java,com.uber.hoodie.utilities.TestHoodieDeltaStreamer$TripsWithDistanceTransformer,innerclass,7,7,0,7,1,1,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,7,0,0,0,0,0,0,0,0,21,9,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-hudi_194d904c99ebd013af55eac7509e3e79193dce77/hoodie-common/src/test/java/com/uber/hoodie/common/util/TestCompactionUtils.java,com.uber.hoodie.common.util.TestCompactionUtils,class,20,21,1,20,13,1,0,67,33,0.8,0.35714287,0.35714287,11,0,8,3,0,0,8,0,0,0,5,1,1,4,0,0,1,0,38,100,3,0,0,0,0,62,44,29,1,32,1,0,0,7,96,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-hudi_194d904c99ebd013af55eac7509e3e79193dce77/hoodie-client/src/main/java/com/uber/hoodie/func/ParquetReaderIterator.java,com.uber.hoodie.func.ParquetReaderIterator,class,4,7,3,4,10,1,0,3,0,0.25,1.0,1.0,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,1,0,0,36,2,0,3,2,0,3,0,4,0,3,3,0,0,0,42,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-hudi_194d904c99ebd013af55eac7509e3e79193dce77/hoodie-client/src/main/java/com/uber/hoodie/index/HoodieIndex.java,com.uber.hoodie.index.HoodieIndex,class,17,33,16,17,14,1,0,1,34,0.7777778,0.027777778,0.027777778,9,1,8,0,1,0,9,7,0,0,1,0,0,0,1,0,1,0,0,30,5,0,0,0,0,1,0,1,1,1,1,0,1,0,147,1025,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-hudi_194d904c99ebd013af55eac7509e3e79193dce77/hoodie-client/src/main/java/com/uber/hoodie/io/storage/HoodieWrapperFileSystem.java,com.uber.hoodie.io.storage.HoodieWrapperFileSystem,class,30,32,2,30,132,2,0,101,0,0.754,0.9034435,0.95082647,125,3,121,4,0,0,121,0,0,0,4,1,1,3,0,0,1,0,8,420,93,1,0,2,0,4,1,16,3,14,1,0,0,1,206,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-hudi_194d904c99ebd013af55eac7509e3e79193dce77/hoodie-utilities/src/main/java/com/uber/hoodie/utilities/sources/helpers/DFSPathSelector.java,com.uber.hoodie.utilities.sources.helpers.DFSPathSelector$Config,innerclass,0,0,0,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,3,0,0,0,0,0,1,0,1,0,1,0,0,0,0,13,8,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-hudi_194d904c99ebd013af55eac7509e3e79193dce77/hoodie-common/src/main/java/com/uber/hoodie/common/model/HoodieLogFile.java,com.uber.hoodie.common.model.HoodieLogFile,class,5,50,45,5,21,1,2,21,0,0.75,0.5809524,0.8666667,15,1,15,0,0,0,15,0,0,0,4,2,2,2,0,0,3,0,9,72,17,0,6,0,0,3,2,12,2,13,2,0,0,1,76,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-hudi_194d904c99ebd013af55eac7509e3e79193dce77/hoodie-client/src/main/java/com/uber/hoodie/index/hbase/HBaseIndex.java,com.uber.hoodie.index.hbase.HBaseIndex,class,40,44,4,40,54,2,0,92,195,0.8920454,0.0,0.0,22,1,10,12,0,0,10,0,0,0,16,10,3,13,0,0,9,0,10,288,17,4,7,8,2,15,9,54,3,52,8,1,1,4,218,1,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-hudi_194d904c99ebd013af55eac7509e3e79193dce77/hoodie-utilities/src/main/java/com/uber/hoodie/utilities/UtilHelpers.java,com.uber.hoodie.utilities.UtilHelpers,class,23,30,7,23,22,1,0,51,53,0.8181818,0.022222223,0.022222223,11,11,10,1,0,0,10,0,0,0,1,1,0,1,0,0,0,0,16,103,12,0,3,5,0,29,7,14,4,15,2,0,0,2,111,1,4
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-hudi_194d904c99ebd013af55eac7509e3e79193dce77/hoodie-common/src/main/java/com/uber/hoodie/common/HoodieRollbackStat.java,com.uber.hoodie.common.HoodieRollbackStat,class,2,8,6,2,6,1,0,0,7,0.6666667,0.26666668,0.6666667,6,1,6,0,0,0,6,0,0,0,4,0,0,4,0,0,4,0,0,49,5,0,0,0,0,0,0,4,0,4,0,0,1,0,27,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-hudi_194d904c99ebd013af55eac7509e3e79193dce77/hoodie-common/src/test/java/com/uber/hoodie/common/util/TestNumericUtils.java,com.uber.hoodie.common.util.TestNumericUtils,class,2,2,0,2,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,12,0,0,0,0,0,8,8,0,0,0,0,0,0,0,14,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-hudi_194d904c99ebd013af55eac7509e3e79193dce77/hoodie-client/src/test/java/com/uber/hoodie/TestCleaner.java,com.uber.hoodie.TestCleaner,class,40,41,1,40,52,2,0,210,276,0.9583333,0.0,0.0,24,0,18,6,0,0,18,0,0,0,2,2,0,2,0,0,1,0,167,438,11,14,3,2,0,147,83,142,7,157,6,1,0,22,322,1,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-hudi_194d904c99ebd013af55eac7509e3e79193dce77/hoodie-spark/src/test/java/DataSourceTestUtils.java,DataSourceTestUtils,class,3,6,3,3,3,1,0,17,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,15,3,0,0,1,1,5,0,2,2,4,1,0,0,3,25,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-hudi_194d904c99ebd013af55eac7509e3e79193dce77/hoodie-common/src/main/java/com/uber/hoodie/common/util/queue/BoundedInMemoryQueue.java,com.uber.hoodie.common.util.queue.BoundedInMemoryQueue,class,8,16,8,8,22,1,0,25,15,0.82352954,0.33333334,1.0,11,0,7,4,0,0,7,0,0,0,17,4,6,11,0,0,13,0,7,121,7,1,4,1,3,3,14,25,10,22,3,1,1,0,190,1,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-hudi_194d904c99ebd013af55eac7509e3e79193dce77/hoodie-common/src/test/java/com/uber/hoodie/common/TestBloomFilter.java,com.uber.hoodie.common.TestBloomFilter,class,2,2,0,2,2,1,0,3,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,3,6,4,4,0,4,0,0,0,0,15,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-hudi_194d904c99ebd013af55eac7509e3e79193dce77/hoodie-hadoop-mr/src/test/java/com/uber/hoodie/hadoop/HoodieInputFormatTest.java,com.uber.hoodie.hadoop.HoodieInputFormatTest,class,14,15,1,14,13,1,0,25,0,0.20833333,0.71428573,0.71428573,8,1,7,1,0,0,7,0,0,0,3,0,1,2,0,0,0,0,44,120,0,3,0,0,1,74,54,28,9,24,3,0,0,0,100,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-hudi_194d904c99ebd013af55eac7509e3e79193dce77/hoodie-common/src/main/java/com/uber/hoodie/common/util/queue/BoundedInMemoryQueue.java,com.uber.hoodie.common.util.queue.BoundedInMemoryQueue$Anonymous1,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
