file,class,method,variable,usage
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-myriad_82297a4cd60f1b1b17ddca1a7ea11eb26a2beecb/myriad-scheduler/src/main/java/org/apache/myriad/scheduler/SchedulerUtils.java,org.apache.myriad.scheduler.SchedulerUtils,"isEligibleForFineGrainedScaling/2[java.lang.String,org.apache.myriad.state.SchedulerState]",hostName,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-myriad_82297a4cd60f1b1b17ddca1a7ea11eb26a2beecb/myriad-scheduler/src/main/java/org/apache/myriad/scheduler/SchedulerUtils.java,org.apache.myriad.scheduler.SchedulerUtils,"isEligibleForFineGrainedScaling/2[java.lang.String,org.apache.myriad.state.SchedulerState]",activeNMTask,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-myriad_82297a4cd60f1b1b17ddca1a7ea11eb26a2beecb/myriad-scheduler/src/main/java/org/apache/myriad/scheduler/SchedulerUtils.java,org.apache.myriad.scheduler.SchedulerUtils,"isEligibleForFineGrainedScaling/2[java.lang.String,org.apache.myriad.state.SchedulerState]",state,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-myriad_82297a4cd60f1b1b17ddca1a7ea11eb26a2beecb/myriad-scheduler/src/main/java/org/apache/myriad/scheduler/SchedulerUtils.java,org.apache.myriad.scheduler.SchedulerUtils,"isUniqueHostname/3[Protos.OfferOrBuilder,org.apache.myriad.state.NodeTask,java.util.Collection<org.apache.myriad.state.NodeTask>]",offer,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-myriad_82297a4cd60f1b1b17ddca1a7ea11eb26a2beecb/myriad-scheduler/src/main/java/org/apache/myriad/scheduler/SchedulerUtils.java,org.apache.myriad.scheduler.SchedulerUtils,"isUniqueHostname/3[Protos.OfferOrBuilder,org.apache.myriad.state.NodeTask,java.util.Collection<org.apache.myriad.state.NodeTask>]",taskToLaunch,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-myriad_82297a4cd60f1b1b17ddca1a7ea11eb26a2beecb/myriad-scheduler/src/main/java/org/apache/myriad/scheduler/SchedulerUtils.java,org.apache.myriad.scheduler.SchedulerUtils,"isUniqueHostname/3[Protos.OfferOrBuilder,org.apache.myriad.state.NodeTask,java.util.Collection<org.apache.myriad.state.NodeTask>]",task,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-myriad_82297a4cd60f1b1b17ddca1a7ea11eb26a2beecb/myriad-scheduler/src/main/java/org/apache/myriad/scheduler/SchedulerUtils.java,org.apache.myriad.scheduler.SchedulerUtils,"isUniqueHostname/3[Protos.OfferOrBuilder,org.apache.myriad.state.NodeTask,java.util.Collection<org.apache.myriad.state.NodeTask>]",offerHostname,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-myriad_82297a4cd60f1b1b17ddca1a7ea11eb26a2beecb/myriad-scheduler/src/main/java/org/apache/myriad/scheduler/SchedulerUtils.java,org.apache.myriad.scheduler.SchedulerUtils,"isUniqueHostname/3[Protos.OfferOrBuilder,org.apache.myriad.state.NodeTask,java.util.Collection<org.apache.myriad.state.NodeTask>]",tasks,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-myriad_82297a4cd60f1b1b17ddca1a7ea11eb26a2beecb/myriad-scheduler/src/main/java/org/apache/myriad/scheduler/event/FrameworkMessageEvent.java,org.apache.myriad.scheduler.event.FrameworkMessageEvent,setSlaveId/1[Protos.SlaveID],slaveId,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-myriad_82297a4cd60f1b1b17ddca1a7ea11eb26a2beecb/myriad-scheduler/src/main/java/org/apache/myriad/scheduler/event/FrameworkMessageEvent.java,org.apache.myriad.scheduler.event.FrameworkMessageEvent,setBytes/1[byte[]],bytes,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-myriad_82297a4cd60f1b1b17ddca1a7ea11eb26a2beecb/myriad-scheduler/src/main/java/org/apache/myriad/scheduler/event/FrameworkMessageEvent.java,org.apache.myriad.scheduler.event.FrameworkMessageEvent,setDriver/1[org.apache.myriad.scheduler.event.SchedulerDriver],driver,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-myriad_82297a4cd60f1b1b17ddca1a7ea11eb26a2beecb/myriad-scheduler/src/main/java/org/apache/myriad/scheduler/event/FrameworkMessageEvent.java,org.apache.myriad.scheduler.event.FrameworkMessageEvent,setExecutorId/1[Protos.ExecutorID],executorId,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-myriad_82297a4cd60f1b1b17ddca1a7ea11eb26a2beecb/myriad-scheduler/src/main/java/org/apache/myriad/api/ClustersResource.java,org.apache.myriad.api.ClustersResource,"validateInstances/2[java.lang.Integer,org.apache.myriad.api.ResponseBuilder]",instances,4
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-myriad_82297a4cd60f1b1b17ddca1a7ea11eb26a2beecb/myriad-scheduler/src/main/java/org/apache/myriad/api/ClustersResource.java,org.apache.myriad.api.ClustersResource,"validateInstances/2[java.lang.Integer,org.apache.myriad.api.ResponseBuilder]",response,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-myriad_82297a4cd60f1b1b17ddca1a7ea11eb26a2beecb/myriad-scheduler/src/main/java/org/apache/myriad/api/ClustersResource.java,org.apache.myriad.api.ClustersResource,"validateConstraints/2[java.util.List<java.lang.String>,org.apache.myriad.api.ResponseBuilder]",valid,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-myriad_82297a4cd60f1b1b17ddca1a7ea11eb26a2beecb/myriad-scheduler/src/main/java/org/apache/myriad/api/ClustersResource.java,org.apache.myriad.api.ClustersResource,"validateConstraints/2[java.util.List<java.lang.String>,org.apache.myriad.api.ResponseBuilder]",response,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-myriad_82297a4cd60f1b1b17ddca1a7ea11eb26a2beecb/myriad-scheduler/src/main/java/org/apache/myriad/api/ClustersResource.java,org.apache.myriad.api.ClustersResource,"validateConstraints/2[java.util.List<java.lang.String>,org.apache.myriad.api.ResponseBuilder]",constraints,4
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-myriad_82297a4cd60f1b1b17ddca1a7ea11eb26a2beecb/myriad-scheduler/src/main/java/org/apache/myriad/api/ClustersResource.java,org.apache.myriad.api.ClustersResource,flexDown/1[org.apache.myriad.api.model.FlexDownClusterRequest],request,4
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-myriad_82297a4cd60f1b1b17ddca1a7ea11eb26a2beecb/myriad-scheduler/src/main/java/org/apache/myriad/api/ClustersResource.java,org.apache.myriad.api.ClustersResource,flexDown/1[org.apache.myriad.api.model.FlexDownClusterRequest],instances,5
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-myriad_82297a4cd60f1b1b17ddca1a7ea11eb26a2beecb/myriad-scheduler/src/main/java/org/apache/myriad/api/ClustersResource.java,org.apache.myriad.api.ClustersResource,flexDown/1[org.apache.myriad.api.model.FlexDownClusterRequest],response,5
