file,class,method,variable,usage
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-omid_b7e005d41aa5c7421ddc77e0082b26c8bd21b207/transaction-client/src/main/java/org/apache/omid/tso/client/TSOClient.java,org.apache.omid.tso.client.TSOClient$ConnectedState,"ConnectedState/3[org.apache.statemachine.StateMachine.Fsm,org.apache.omid.tso.client.Channel,org.apache.omid.tso.client.HashedWheelTimer]",fsm,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-omid_b7e005d41aa5c7421ddc77e0082b26c8bd21b207/transaction-client/src/main/java/org/apache/omid/tso/client/TSOClient.java,org.apache.omid.tso.client.TSOClient$ConnectedState,"ConnectedState/3[org.apache.statemachine.StateMachine.Fsm,org.apache.omid.tso.client.Channel,org.apache.omid.tso.client.HashedWheelTimer]",timeoutExecutor,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-omid_b7e005d41aa5c7421ddc77e0082b26c8bd21b207/transaction-client/src/main/java/org/apache/omid/tso/client/TSOClient.java,org.apache.omid.tso.client.TSOClient$ConnectedState,"ConnectedState/3[org.apache.statemachine.StateMachine.Fsm,org.apache.omid.tso.client.Channel,org.apache.omid.tso.client.HashedWheelTimer]",channel,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-omid_b7e005d41aa5c7421ddc77e0082b26c8bd21b207/transaction-client/src/main/java/org/apache/omid/tso/client/TSOClient.java,org.apache.omid.tso.client.TSOClient$ConnectedState,handleResponse/1[org.apache.omid.tso.client.TSOClient.ResponseEvent],resp,9
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-omid_b7e005d41aa5c7421ddc77e0082b26c8bd21b207/transaction-client/src/main/java/org/apache/omid/tso/client/TSOClient.java,org.apache.omid.tso.client.TSOClient$ConnectedState,handleResponse/1[org.apache.omid.tso.client.TSOClient.ResponseEvent],e,14
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-omid_b7e005d41aa5c7421ddc77e0082b26c8bd21b207/transaction-client/src/main/java/org/apache/omid/tso/client/TSOClient.java,org.apache.omid.tso.client.TSOClient$ConnectedState,handleResponse/1[org.apache.omid.tso.client.TSOClient.ResponseEvent],response,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-omid_b7e005d41aa5c7421ddc77e0082b26c8bd21b207/transaction-client/src/main/java/org/apache/omid/tso/client/TSOClient.java,org.apache.omid.tso.client.TSOClient$ConnectedState,handleResponse/1[org.apache.omid.tso.client.TSOClient.ResponseEvent],tableID,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-omid_b7e005d41aa5c7421ddc77e0082b26c8bd21b207/transaction-client/src/main/java/org/apache/omid/tso/client/TSOClient.java,org.apache.omid.tso.client.TSOClient$ConnectedState,handleResponse/1[org.apache.omid.tso.client.TSOClient.ResponseEvent],startTimestamp,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-omid_b7e005d41aa5c7421ddc77e0082b26c8bd21b207/transaction-client/src/main/java/org/apache/omid/tso/client/TSOClient.java,org.apache.omid.tso.client.TSOClient$ConnectedState,handleEvent/1[org.apache.omid.tso.client.TSOClient.ErrorEvent],e,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-omid_b7e005d41aa5c7421ddc77e0082b26c8bd21b207/transaction-client/src/main/java/org/apache/omid/tso/client/TSOClient.java,org.apache.omid.tso.client.TSOClient$ConnectedState,handleError/1[org.apache.statemachine.StateMachine.Fsm],fsm,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-omid_b7e005d41aa5c7421ddc77e0082b26c8bd21b207/transaction-client/src/main/java/org/apache/omid/tso/client/TSOClient.java,org.apache.omid.tso.client.TSOClient$ConnectedState,handleError/1[org.apache.statemachine.StateMachine.Fsm],r,11
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-omid_b7e005d41aa5c7421ddc77e0082b26c8bd21b207/transaction-client/src/main/java/org/apache/omid/tso/client/TSOClient.java,org.apache.omid.tso.client.TSOClient$ConnectedState,handleError/1[org.apache.statemachine.StateMachine.Fsm],iter,7
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-omid_b7e005d41aa5c7421ddc77e0082b26c8bd21b207/transaction-client/src/main/java/org/apache/omid/tso/client/TSOClient.java,org.apache.omid.tso.client.TSOClient$ConnectedState,closeChannelAndErrorRequests/0,r,11
