file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-plc4x_4fbfabf5a33198613b8478259ab85771c740fb0e/examples/hello-cloud-google/src/main/java/org/apache/plc4x/java/examples/cloud/google/S7PlcToGoogleIoTCoreSample.java,org.apache.plc4x.java.examples.cloud.google.S7PlcToGoogleIoTCoreSample,"createJwtEs/2[java.lang.String,java.lang.String]",false,78,3,1,1,0,1,12,8,1,5,2,12,0,0,0,0,0,0,1,1,5,0,0,0,0,0,40,10,0,true
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-plc4x_4fbfabf5a33198613b8478259ab85771c740fb0e/examples/hello-cloud-google/src/main/java/org/apache/plc4x/java/examples/cloud/google/S7PlcToGoogleIoTCoreSample.java,org.apache.plc4x.java.examples.cloud.google.S7PlcToGoogleIoTCoreSample,"setConnectPassword/2[org.apache.plc4x.java.examples.cloud.google.CliOptions,org.apache.plc4x.java.examples.cloud.google.MqttConnectOptions]",false,130,3,6,1,5,3,7,12,0,0,2,7,2,1,0,0,0,0,4,0,0,1,1,0,0,0,22,10,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-plc4x_4fbfabf5a33198613b8478259ab85771c740fb0e/examples/hello-cloud-google/src/main/java/org/apache/plc4x/java/examples/cloud/google/S7PlcToGoogleIoTCoreSample.java,org.apache.plc4x.java.examples.cloud.google.S7PlcToGoogleIoTCoreSample,"createJwtRsa/2[java.lang.String,java.lang.String]",false,56,3,1,1,0,1,12,8,1,5,2,12,0,0,0,0,0,0,1,1,5,0,0,0,0,0,41,10,0,true
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-plc4x_4fbfabf5a33198613b8478259ab85771c740fb0e/examples/hello-cloud-google/src/main/java/org/apache/plc4x/java/examples/cloud/google/S7PlcToGoogleIoTCoreSample.java,org.apache.plc4x.java.examples.cloud.google.S7PlcToGoogleIoTCoreSample,main/1[java.lang.String[]],false,152,12,12,0,12,13,44,78,0,23,1,44,2,2,3,3,2,3,18,13,27,8,4,0,0,0,89,9,2,true
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-plc4x_4fbfabf5a33198613b8478259ab85771c740fb0e/examples/hello-cloud-google/src/main/java/org/apache/plc4x/java/examples/cloud/google/S7PlcToGoogleIoTCoreSample.java,org.apache.plc4x.java.examples.cloud.google.S7PlcToGoogleIoTCoreSample,"attachCallback/2[org.apache.plc4x.java.examples.cloud.google.MqttClient,java.lang.String]",false,100,2,1,1,0,1,3,16,0,2,2,3,0,0,0,0,0,0,1,1,2,0,0,1,0,0,32,10,0,true
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-plc4x_4fbfabf5a33198613b8478259ab85771c740fb0e/plc4j/protocols/driver-bases/base/src/main/java/org/apache/plc4x/java/base/messages/items/DefaultByteArrayFieldItem.java,org.apache.plc4x.java.base.messages.items.DefaultByteArrayFieldItem,getByteArray/1[int],false,46,3,2,0,2,2,2,6,1,0,1,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,11,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-plc4x_4fbfabf5a33198613b8478259ab85771c740fb0e/plc4j/protocols/driver-bases/base/src/main/java/org/apache/plc4x/java/base/messages/items/DefaultByteArrayFieldItem.java,org.apache.plc4x.java.base.messages.items.DefaultByteArrayFieldItem,getObject/1[int],false,35,1,1,0,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-plc4x_4fbfabf5a33198613b8478259ab85771c740fb0e/plc4j/protocols/driver-bases/base/src/main/java/org/apache/plc4x/java/base/messages/items/DefaultByteArrayFieldItem.java,org.apache.plc4x.java.base.messages.items.DefaultByteArrayFieldItem,isValidByteArray/1[int],false,40,1,2,1,1,2,1,4,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,9,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-plc4x_4fbfabf5a33198613b8478259ab85771c740fb0e/plc4j/protocols/driver-bases/base/src/main/java/org/apache/plc4x/java/base/messages/items/DefaultByteArrayFieldItem.java,org.apache.plc4x.java.base.messages.items.DefaultByteArrayFieldItem,DefaultByteArrayFieldItem/1[java.lang.Byte[][]],true,27,0,1,1,0,2,1,6,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,7,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-plc4x_4fbfabf5a33198613b8478259ab85771c740fb0e/plc4j/drivers/ads/src/test/java/org/apache/plc4x/java/ads/adslib/AmsRouter.java,org.apache.plc4x.java.ads.adslib.AmsRouter$Notification,"Notification/5[org.apache.plc4x.java.ads.adslib.AdsLib.PAdsNotificationFuncEx,int,org.apache.plc4x.java.ads.api.commands.types.Length,org.apache.plc4x.java.ads.adslib.ImmutablePair<org.apache.plc4x.java.ads.api.generic.types.AmsNetId,org.apache.plc4x.java.ads.api.generic.types.AmsPort>,long]",true,286,3,1,1,0,1,0,7,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,8,0,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-plc4x_4fbfabf5a33198613b8478259ab85771c740fb0e/plc4j/drivers/ads/src/test/java/org/apache/plc4x/java/ads/adslib/AmsRouter.java,org.apache.plc4x.java.ads.adslib.AmsRouter$Notification,"of/5[org.apache.plc4x.java.ads.adslib.AdsLib.PAdsNotificationFuncEx,int,org.apache.plc4x.java.ads.api.commands.types.Length,org.apache.plc4x.java.ads.adslib.ImmutablePair<org.apache.plc4x.java.ads.api.generic.types.AmsNetId,org.apache.plc4x.java.ads.api.generic.types.AmsPort>,long]",false,294,4,2,1,1,1,0,3,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-plc4x_4fbfabf5a33198613b8478259ab85771c740fb0e/plc4j/drivers/ads/src/test/java/org/apache/plc4x/java/ads/connection/AdsSerialPlcConnectionTest.java,org.apache.plc4x.java.ads.connection.AdsSerialPlcConnectionTest$SerialSimulator,SerialSimulator/1[org.apache.plc4x.java.ads.connection.EmbeddedChannel],true,104,1,1,1,0,1,0,4,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-plc4x_4fbfabf5a33198613b8478259ab85771c740fb0e/plc4j/drivers/ads/src/test/java/org/apache/plc4x/java/ads/connection/AdsSerialPlcConnectionTest.java,org.apache.plc4x.java.ads.connection.AdsSerialPlcConnectionTest$SerialSimulator,run/0,false,110,9,9,0,9,18,19,96,7,9,0,19,1,1,4,2,2,2,23,50,14,8,4,0,0,0,39,1,14,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-plc4x_4fbfabf5a33198613b8478259ab85771c740fb0e/plc4j/drivers/ads/src/test/java/org/apache/plc4x/java/ads/connection/AdsSerialPlcConnectionTest.java,org.apache.plc4x.java.ads.connection.AdsSerialPlcConnectionTest$SerialSimulator,trySleep/0,false,224,0,1,1,0,2,4,11,2,0,0,4,0,0,0,0,1,0,0,1,0,0,1,0,0,0,7,2,0,false
