file,class,method,variable,usage
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-plc4x_4fbfabf5a33198613b8478259ab85771c740fb0e/examples/hello-cloud-google/src/main/java/org/apache/plc4x/java/examples/cloud/google/S7PlcToGoogleIoTCoreSample.java,org.apache.plc4x.java.examples.cloud.google.S7PlcToGoogleIoTCoreSample,"createJwtEs/2[java.lang.String,java.lang.String]",privateKeyFile,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-plc4x_4fbfabf5a33198613b8478259ab85771c740fb0e/examples/hello-cloud-google/src/main/java/org/apache/plc4x/java/examples/cloud/google/S7PlcToGoogleIoTCoreSample.java,org.apache.plc4x.java.examples.cloud.google.S7PlcToGoogleIoTCoreSample,"createJwtEs/2[java.lang.String,java.lang.String]",keyBytes,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-plc4x_4fbfabf5a33198613b8478259ab85771c740fb0e/examples/hello-cloud-google/src/main/java/org/apache/plc4x/java/examples/cloud/google/S7PlcToGoogleIoTCoreSample.java,org.apache.plc4x.java.examples.cloud.google.S7PlcToGoogleIoTCoreSample,"createJwtEs/2[java.lang.String,java.lang.String]",now,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-plc4x_4fbfabf5a33198613b8478259ab85771c740fb0e/examples/hello-cloud-google/src/main/java/org/apache/plc4x/java/examples/cloud/google/S7PlcToGoogleIoTCoreSample.java,org.apache.plc4x.java.examples.cloud.google.S7PlcToGoogleIoTCoreSample,"createJwtEs/2[java.lang.String,java.lang.String]",jwtBuilder,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-plc4x_4fbfabf5a33198613b8478259ab85771c740fb0e/examples/hello-cloud-google/src/main/java/org/apache/plc4x/java/examples/cloud/google/S7PlcToGoogleIoTCoreSample.java,org.apache.plc4x.java.examples.cloud.google.S7PlcToGoogleIoTCoreSample,"createJwtEs/2[java.lang.String,java.lang.String]",kf,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-plc4x_4fbfabf5a33198613b8478259ab85771c740fb0e/examples/hello-cloud-google/src/main/java/org/apache/plc4x/java/examples/cloud/google/S7PlcToGoogleIoTCoreSample.java,org.apache.plc4x.java.examples.cloud.google.S7PlcToGoogleIoTCoreSample,"createJwtEs/2[java.lang.String,java.lang.String]",projectId,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-plc4x_4fbfabf5a33198613b8478259ab85771c740fb0e/examples/hello-cloud-google/src/main/java/org/apache/plc4x/java/examples/cloud/google/S7PlcToGoogleIoTCoreSample.java,org.apache.plc4x.java.examples.cloud.google.S7PlcToGoogleIoTCoreSample,"createJwtEs/2[java.lang.String,java.lang.String]",spec,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-plc4x_4fbfabf5a33198613b8478259ab85771c740fb0e/examples/hello-cloud-google/src/main/java/org/apache/plc4x/java/examples/cloud/google/S7PlcToGoogleIoTCoreSample.java,org.apache.plc4x.java.examples.cloud.google.S7PlcToGoogleIoTCoreSample,"setConnectPassword/2[org.apache.plc4x.java.examples.cloud.google.CliOptions,org.apache.plc4x.java.examples.cloud.google.MqttConnectOptions]",connectOptions,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-plc4x_4fbfabf5a33198613b8478259ab85771c740fb0e/examples/hello-cloud-google/src/main/java/org/apache/plc4x/java/examples/cloud/google/S7PlcToGoogleIoTCoreSample.java,org.apache.plc4x.java.examples.cloud.google.S7PlcToGoogleIoTCoreSample,"setConnectPassword/2[org.apache.plc4x.java.examples.cloud.google.CliOptions,org.apache.plc4x.java.examples.cloud.google.MqttConnectOptions]",options,6
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-plc4x_4fbfabf5a33198613b8478259ab85771c740fb0e/examples/hello-cloud-google/src/main/java/org/apache/plc4x/java/examples/cloud/google/S7PlcToGoogleIoTCoreSample.java,org.apache.plc4x.java.examples.cloud.google.S7PlcToGoogleIoTCoreSample,"createJwtRsa/2[java.lang.String,java.lang.String]",privateKeyFile,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-plc4x_4fbfabf5a33198613b8478259ab85771c740fb0e/examples/hello-cloud-google/src/main/java/org/apache/plc4x/java/examples/cloud/google/S7PlcToGoogleIoTCoreSample.java,org.apache.plc4x.java.examples.cloud.google.S7PlcToGoogleIoTCoreSample,"createJwtRsa/2[java.lang.String,java.lang.String]",keyBytes,1
