file,class,method,variable,usage
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-samoa_6e6bb1817927d5610d007606922a473882d593aa/samoa-api/src/main/java/org/apache/samoa/evaluation/measures/Separation.java,org.apache.samoa.evaluation.measures.Separation,"getBSS/2[org.apache.samoa.moa.cluster.Clustering,double[]]",bss,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-samoa_6e6bb1817927d5610d007606922a473882d593aa/samoa-api/src/main/java/org/apache/samoa/evaluation/measures/Separation.java,org.apache.samoa.evaluation.measures.Separation,"getBSS/2[org.apache.samoa.moa.cluster.Clustering,double[]]",mean,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-samoa_6e6bb1817927d5610d007606922a473882d593aa/samoa-api/src/main/java/org/apache/samoa/evaluation/measures/Separation.java,org.apache.samoa.evaluation.measures.Separation,"getBSS/2[org.apache.samoa.moa.cluster.Clustering,double[]]",i,4
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-samoa_6e6bb1817927d5610d007606922a473882d593aa/samoa-api/src/main/java/org/apache/samoa/evaluation/measures/Separation.java,org.apache.samoa.evaluation.measures.Separation,"getBSS/2[org.apache.samoa.moa.cluster.Clustering,double[]]",weight,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-samoa_6e6bb1817927d5610d007606922a473882d593aa/samoa-api/src/main/java/org/apache/samoa/evaluation/measures/Separation.java,org.apache.samoa.evaluation.measures.Separation,"getBSS/2[org.apache.samoa.moa.cluster.Clustering,double[]]",clustering,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-samoa_6e6bb1817927d5610d007606922a473882d593aa/samoa-api/src/main/java/org/apache/samoa/evaluation/measures/Separation.java,org.apache.samoa.evaluation.measures.Separation,"getBSS/2[org.apache.samoa.moa.cluster.Clustering,double[]]",sum,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-samoa_6e6bb1817927d5610d007606922a473882d593aa/samoa-api/src/main/java/org/apache/samoa/evaluation/measures/Separation.java,org.apache.samoa.evaluation.measures.Separation,"getBSS/2[org.apache.samoa.moa.cluster.Clustering,double[]]",j,4
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-samoa_6e6bb1817927d5610d007606922a473882d593aa/samoa-api/src/main/java/org/apache/samoa/evaluation/measures/Separation.java,org.apache.samoa.evaluation.measures.Separation,"evaluateClusteringSamoa/3[org.apache.samoa.moa.cluster.Clustering,org.apache.samoa.moa.cluster.Clustering,java.util.ArrayList<org.apache.samoa.instances.Instance>]",sc,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-samoa_6e6bb1817927d5610d007606922a473882d593aa/samoa-api/src/main/java/org/apache/samoa/evaluation/measures/Separation.java,org.apache.samoa.evaluation.measures.Separation,"evaluateClusteringSamoa/3[org.apache.samoa.moa.cluster.Clustering,org.apache.samoa.moa.cluster.Clustering,java.util.ArrayList<org.apache.samoa.instances.Instance>]",trueClustering,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-samoa_6e6bb1817927d5610d007606922a473882d593aa/samoa-api/src/main/java/org/apache/samoa/evaluation/measures/Separation.java,org.apache.samoa.evaluation.measures.Separation,"evaluateClusteringSamoa/3[org.apache.samoa.moa.cluster.Clustering,org.apache.samoa.moa.cluster.Clustering,java.util.ArrayList<org.apache.samoa.instances.Instance>]",BSS_GT,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-samoa_6e6bb1817927d5610d007606922a473882d593aa/samoa-api/src/main/java/org/apache/samoa/evaluation/measures/Separation.java,org.apache.samoa.evaluation.measures.Separation,"evaluateClusteringSamoa/3[org.apache.samoa.moa.cluster.Clustering,org.apache.samoa.moa.cluster.Clustering,java.util.ArrayList<org.apache.samoa.instances.Instance>]",BSS,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-samoa_6e6bb1817927d5610d007606922a473882d593aa/samoa-api/src/main/java/org/apache/samoa/evaluation/measures/Separation.java,org.apache.samoa.evaluation.measures.Separation,"evaluateClusteringSamoa/3[org.apache.samoa.moa.cluster.Clustering,org.apache.samoa.moa.cluster.Clustering,java.util.ArrayList<org.apache.samoa.instances.Instance>]",c,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-samoa_6e6bb1817927d5610d007606922a473882d593aa/samoa-api/src/main/java/org/apache/samoa/evaluation/measures/Separation.java,org.apache.samoa.evaluation.measures.Separation,"evaluateClusteringSamoa/3[org.apache.samoa.moa.cluster.Clustering,org.apache.samoa.moa.cluster.Clustering,java.util.ArrayList<org.apache.samoa.instances.Instance>]",listInstances,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-samoa_6e6bb1817927d5610d007606922a473882d593aa/samoa-api/src/main/java/org/apache/samoa/evaluation/measures/Separation.java,org.apache.samoa.evaluation.measures.Separation,"evaluateClusteringSamoa/3[org.apache.samoa.moa.cluster.Clustering,org.apache.samoa.moa.cluster.Clustering,java.util.ArrayList<org.apache.samoa.instances.Instance>]",inst,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-samoa_6e6bb1817927d5610d007606922a473882d593aa/samoa-api/src/main/java/org/apache/samoa/evaluation/measures/Separation.java,org.apache.samoa.evaluation.measures.Separation,"evaluateClusteringSamoa/3[org.apache.samoa.moa.cluster.Clustering,org.apache.samoa.moa.cluster.Clustering,java.util.ArrayList<org.apache.samoa.instances.Instance>]",clustering,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-samoa_6e6bb1817927d5610d007606922a473882d593aa/samoa-api/src/main/java/org/apache/samoa/evaluation/measures/Separation.java,org.apache.samoa.evaluation.measures.Separation,"evaluateClusteringSamoa/3[org.apache.samoa.moa.cluster.Clustering,org.apache.samoa.moa.cluster.Clustering,java.util.ArrayList<org.apache.samoa.instances.Instance>]",dimension,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-samoa_6e6bb1817927d5610d007606922a473882d593aa/samoa-api/src/main/java/org/apache/samoa/evaluation/measures/Separation.java,org.apache.samoa.evaluation.measures.Separation,"evaluateClusteringSamoa/3[org.apache.samoa.moa.cluster.Clustering,org.apache.samoa.moa.cluster.Clustering,java.util.ArrayList<org.apache.samoa.instances.Instance>]",gt,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-samoa_6e6bb1817927d5610d007606922a473882d593aa/samoa-api/src/main/java/org/apache/samoa/evaluation/measures/Separation.java,org.apache.samoa.evaluation.measures.Separation,"evaluateClusteringSamoa/3[org.apache.samoa.moa.cluster.Clustering,org.apache.samoa.moa.cluster.Clustering,java.util.ArrayList<org.apache.samoa.instances.Instance>]",points,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-samoa_6e6bb1817927d5610d007606922a473882d593aa/samoa-api/src/main/java/org/apache/samoa/evaluation/measures/Separation.java,org.apache.samoa.evaluation.measures.Separation,"evaluateClustering/3[org.apache.samoa.moa.cluster.Clustering,org.apache.samoa.moa.cluster.Clustering,java.util.ArrayList<org.apache.samoa.moa.core.DataPoint>]",sc,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-samoa_6e6bb1817927d5610d007606922a473882d593aa/samoa-api/src/main/java/org/apache/samoa/evaluation/measures/Separation.java,org.apache.samoa.evaluation.measures.Separation,"evaluateClustering/3[org.apache.samoa.moa.cluster.Clustering,org.apache.samoa.moa.cluster.Clustering,java.util.ArrayList<org.apache.samoa.moa.core.DataPoint>]",trueClustering,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-samoa_6e6bb1817927d5610d007606922a473882d593aa/samoa-api/src/main/java/org/apache/samoa/evaluation/measures/Separation.java,org.apache.samoa.evaluation.measures.Separation,"evaluateClustering/3[org.apache.samoa.moa.cluster.Clustering,org.apache.samoa.moa.cluster.Clustering,java.util.ArrayList<org.apache.samoa.moa.core.DataPoint>]",BSS_GT,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-samoa_6e6bb1817927d5610d007606922a473882d593aa/samoa-api/src/main/java/org/apache/samoa/evaluation/measures/Separation.java,org.apache.samoa.evaluation.measures.Separation,"evaluateClustering/3[org.apache.samoa.moa.cluster.Clustering,org.apache.samoa.moa.cluster.Clustering,java.util.ArrayList<org.apache.samoa.moa.core.DataPoint>]",BSS,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-samoa_6e6bb1817927d5610d007606922a473882d593aa/samoa-api/src/main/java/org/apache/samoa/evaluation/measures/Separation.java,org.apache.samoa.evaluation.measures.Separation,"evaluateClustering/3[org.apache.samoa.moa.cluster.Clustering,org.apache.samoa.moa.cluster.Clustering,java.util.ArrayList<org.apache.samoa.moa.core.DataPoint>]",s,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-samoa_6e6bb1817927d5610d007606922a473882d593aa/samoa-api/src/main/java/org/apache/samoa/evaluation/measures/Separation.java,org.apache.samoa.evaluation.measures.Separation,"evaluateClustering/3[org.apache.samoa.moa.cluster.Clustering,org.apache.samoa.moa.cluster.Clustering,java.util.ArrayList<org.apache.samoa.moa.core.DataPoint>]",c,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-samoa_6e6bb1817927d5610d007606922a473882d593aa/samoa-api/src/main/java/org/apache/samoa/evaluation/measures/Separation.java,org.apache.samoa.evaluation.measures.Separation,"evaluateClustering/3[org.apache.samoa.moa.cluster.Clustering,org.apache.samoa.moa.cluster.Clustering,java.util.ArrayList<org.apache.samoa.moa.core.DataPoint>]",listInstances,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-samoa_6e6bb1817927d5610d007606922a473882d593aa/samoa-api/src/main/java/org/apache/samoa/evaluation/measures/Separation.java,org.apache.samoa.evaluation.measures.Separation,"evaluateClustering/3[org.apache.samoa.moa.cluster.Clustering,org.apache.samoa.moa.cluster.Clustering,java.util.ArrayList<org.apache.samoa.moa.core.DataPoint>]",inst,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-samoa_6e6bb1817927d5610d007606922a473882d593aa/samoa-api/src/main/java/org/apache/samoa/evaluation/measures/Separation.java,org.apache.samoa.evaluation.measures.Separation,"evaluateClustering/3[org.apache.samoa.moa.cluster.Clustering,org.apache.samoa.moa.cluster.Clustering,java.util.ArrayList<org.apache.samoa.moa.core.DataPoint>]",clustering,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-samoa_6e6bb1817927d5610d007606922a473882d593aa/samoa-api/src/main/java/org/apache/samoa/evaluation/measures/Separation.java,org.apache.samoa.evaluation.measures.Separation,"evaluateClustering/3[org.apache.samoa.moa.cluster.Clustering,org.apache.samoa.moa.cluster.Clustering,java.util.ArrayList<org.apache.samoa.moa.core.DataPoint>]",dimension,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-samoa_6e6bb1817927d5610d007606922a473882d593aa/samoa-api/src/main/java/org/apache/samoa/evaluation/measures/Separation.java,org.apache.samoa.evaluation.measures.Separation,"evaluateClustering/3[org.apache.samoa.moa.cluster.Clustering,org.apache.samoa.moa.cluster.Clustering,java.util.ArrayList<org.apache.samoa.moa.core.DataPoint>]",gt,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-samoa_6e6bb1817927d5610d007606922a473882d593aa/samoa-api/src/main/java/org/apache/samoa/evaluation/measures/Separation.java,org.apache.samoa.evaluation.measures.Separation,"evaluateClustering/3[org.apache.samoa.moa.cluster.Clustering,org.apache.samoa.moa.cluster.Clustering,java.util.ArrayList<org.apache.samoa.moa.core.DataPoint>]",points,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-samoa_6e6bb1817927d5610d007606922a473882d593aa/samoa-api/src/main/java/org/apache/samoa/learners/classifiers/rules/HorizontalAMRulesRegressor.java,org.apache.samoa.learners.classifiers.rules.HorizontalAMRulesRegressor,"init/3[org.apache.samoa.topology.TopologyBuilder,org.apache.samoa.instances.Instances,int]",forwardToRootStream,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-samoa_6e6bb1817927d5610d007606922a473882d593aa/samoa-api/src/main/java/org/apache/samoa/learners/classifiers/rules/HorizontalAMRulesRegressor.java,org.apache.samoa.learners.classifiers.rules.HorizontalAMRulesRegressor,"init/3[org.apache.samoa.topology.TopologyBuilder,org.apache.samoa.instances.Instances,int]",newRuleStream,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/incubator-samoa_6e6bb1817927d5610d007606922a473882d593aa/samoa-api/src/main/java/org/apache/samoa/learners/classifiers/rules/HorizontalAMRulesRegressor.java,org.apache.samoa.learners.classifiers.rules.HorizontalAMRulesRegressor,"init/3[org.apache.samoa.topology.TopologyBuilder,org.apache.samoa.instances.Instances,int]",predicateStream,2
