file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/james-mime4j_68b2028c677b04af90d812e2ba200aa242b5e1d1/james-utils/src/test/java/org/apache/james/mime4j/utils/search/MessageMatcherTest.java,org.apache.james.mime4j.utils.search.MessageMatcherTest,class,3,3,0,3,13,1,0,15,78,0.0,0.0,0.0,13,0,13,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,26,54,0,0,0,0,0,35,0,13,0,13,0,0,0,0,68,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/james-mime4j_68b2028c677b04af90d812e2ba200aa242b5e1d1/dom/src/main/java/org/apache/james/mime4j/message/MessageBuilder.java,org.apache.james.mime4j.message.MessageBuilder,class,21,27,6,21,86,1,0,85,0,0.05882353,0.883821,0.883821,85,3,84,1,0,0,84,0,0,0,1,0,0,1,0,0,1,0,3,316,83,0,1,0,0,1,0,1,0,1,1,0,0,0,121,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/james-mime4j_68b2028c677b04af90d812e2ba200aa242b5e1d1/core/src/test/java/org/apache/james/mime4j/stream/MimeStreamTokenMessageRfc822Test.java,org.apache.james.mime4j.stream.MimeStreamTokenMessageRfc822Test,class,4,5,1,4,6,2,0,8,3,0.33333334,0.3,0.3,6,0,3,1,2,0,5,0,0,0,1,0,0,0,0,1,0,0,2,63,0,0,0,0,0,0,0,1,0,1,0,0,0,0,36,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/james-mime4j_68b2028c677b04af90d812e2ba200aa242b5e1d1/benchmark/src/main/java/org/apache/james/mime4j/Base64InputStreamBench.java,org.apache.james.mime4j.Base64InputStreamBench,class,6,7,1,6,10,1,0,11,10,0.0,NaN,NaN,5,5,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,50,2,3,2,0,2,6,12,22,11,22,2,0,0,0,41,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/james-mime4j_68b2028c677b04af90d812e2ba200aa242b5e1d1/dom/src/main/javacc/org/apache/james/mime4j/field/datetime/ParseException.java,org.apache.james.mime4j.field.datetime.parser.ParseException,class,4,7,3,4,27,5,0,10,13,0.75,0.6666667,0.6666667,6,0,5,0,1,0,6,0,0,0,6,1,3,1,2,0,1,0,2,111,3,4,4,0,1,26,17,30,8,17,3,0,0,0,184,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/james-mime4j_68b2028c677b04af90d812e2ba200aa242b5e1d1/examples/src/main/java/org/apache/james/mime4j/samples/mbox/IterateOverMbox.java,org.apache.james.mime4j.samples.mbox.IterateOverMbox,class,7,8,1,7,5,1,0,20,1,0.33333334,NaN,NaN,3,3,1,2,0,0,1,0,0,0,1,1,0,1,0,0,1,0,6,31,1,1,1,0,1,10,3,10,5,10,1,0,0,0,70,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/james-mime4j_68b2028c677b04af90d812e2ba200aa242b5e1d1/dom/src/main/java/org/apache/james/mime4j/field/AddressListFieldLenientImpl.java,org.apache.james.mime4j.field.AddressListFieldLenientImpl,class,12,14,2,12,6,2,0,9,1,0.44444445,0.0,0.0,3,0,1,1,0,1,2,0,0,0,3,1,1,2,0,0,1,0,2,34,2,0,2,0,0,0,2,12,1,8,2,1,0,0,39,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/james-mime4j_68b2028c677b04af90d812e2ba200aa242b5e1d1/dom/src/test/java/org/apache/james/mime4j/message/EntityImplTest.java,org.apache.james.mime4j.message.EntityImplTest,class,9,9,0,9,6,1,0,14,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,48,0,0,0,1,0,10,0,12,1,12,1,0,0,0,27,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/james-mime4j_68b2028c677b04af90d812e2ba200aa242b5e1d1/dom/src/main/java/org/apache/james/mime4j/message/BasicBodyFactory.java,org.apache.james.mime4j.message.BasicBodyFactory$StringBody1,innerclass,4,4,0,4,8,3,0,2,0,0.33333334,0.6,0.6666667,6,0,5,0,0,1,6,0,0,0,2,0,0,2,0,0,2,0,1,23,4,0,2,0,0,0,0,2,0,2,0,0,0,0,19,8,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/james-mime4j_68b2028c677b04af90d812e2ba200aa242b5e1d1/dom/src/main/java/org/apache/james/mime4j/dom/address/Address.java,org.apache.james.mime4j.dom.address.Address,class,2,16,14,2,2,1,2,1,1,1.0,0.0,0.0,2,0,0,0,1,1,2,1,1,0,1,1,0,1,0,0,1,0,0,7,0,0,0,0,0,0,1,1,0,1,0,0,0,0,50,1025,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/james-mime4j_68b2028c677b04af90d812e2ba200aa242b5e1d1/dom/src/test/java/org/apache/james/mime4j/field/address/AddressTest.java,org.apache.james.mime4j.field.address.AddressTest,class,7,7,0,7,19,1,0,16,28,0.0,0.0,0.0,8,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,5,6,0,30,17,17,0,17,1,0,0,0,37,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/james-mime4j_68b2028c677b04af90d812e2ba200aa242b5e1d1/storage/src/main/java/org/apache/james/mime4j/storage/StorageBodyFactory.java,org.apache.james.mime4j.storage.StorageBodyFactory,class,13,16,3,13,27,1,0,6,28,0.6944444,0.27272728,0.38181818,12,1,11,1,0,0,11,0,0,0,3,1,0,3,0,0,3,0,5,66,11,0,14,0,0,5,0,10,2,10,2,0,0,0,120,1,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/james-mime4j_68b2028c677b04af90d812e2ba200aa242b5e1d1/storage/src/main/java/org/apache/james/mime4j/storage/StringTextBody.java,org.apache.james.mime4j.storage.StringTextBody,class,3,6,3,3,9,3,0,6,0,0.16666667,0.93333334,1.0,6,0,6,0,0,0,6,0,0,0,2,0,0,2,0,0,2,0,0,33,4,1,2,0,0,0,3,6,0,6,2,0,0,0,36,0,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/james-mime4j_68b2028c677b04af90d812e2ba200aa242b5e1d1/core/src/test/java/org/apache/james/mime4j/codec/DecoderUtilTest.java,org.apache.james.mime4j.codec.DecoderUtilTest,class,2,2,0,2,15,1,0,6,105,0.0,0.0,0.0,15,0,15,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,36,73,0,0,0,0,0,86,0,6,7,6,0,0,0,0,97,1,0
