file,class,method,variable,usage
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/james-mime4j_68b2028c677b04af90d812e2ba200aa242b5e1d1/dom/src/main/java/org/apache/james/mime4j/message/MessageBuilder.java,org.apache.james.mime4j.message.MessageBuilder,setReplyTo/1[org.apache.james.mime4j.dom.address.Address],builder,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/james-mime4j_68b2028c677b04af90d812e2ba200aa242b5e1d1/dom/src/main/java/org/apache/james/mime4j/message/MessageBuilder.java,org.apache.james.mime4j.message.MessageBuilder,clearFields/0,builder,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/james-mime4j_68b2028c677b04af90d812e2ba200aa242b5e1d1/dom/src/main/java/org/apache/james/mime4j/message/MessageBuilder.java,org.apache.james.mime4j.message.MessageBuilder,"setDate/2[java.util.Date,java.util.TimeZone]",builder,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/james-mime4j_68b2028c677b04af90d812e2ba200aa242b5e1d1/dom/src/main/java/org/apache/james/mime4j/message/MessageBuilder.java,org.apache.james.mime4j.message.MessageBuilder,setFrom/1[java.util.Collection<org.apache.james.mime4j.dom.address.Mailbox>],builder,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/james-mime4j_68b2028c677b04af90d812e2ba200aa242b5e1d1/dom/src/main/java/org/apache/james/mime4j/message/MessageBuilder.java,org.apache.james.mime4j.message.MessageBuilder,setFrom/1[java.lang.String],builder,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/james-mime4j_68b2028c677b04af90d812e2ba200aa242b5e1d1/dom/src/main/java/org/apache/james/mime4j/message/MessageBuilder.java,org.apache.james.mime4j.message.MessageBuilder,setTo/1[java.lang.String],builder,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/james-mime4j_68b2028c677b04af90d812e2ba200aa242b5e1d1/dom/src/main/java/org/apache/james/mime4j/message/MessageBuilder.java,org.apache.james.mime4j.message.MessageBuilder,setDate/1[java.util.Date],builder,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/james-mime4j_68b2028c677b04af90d812e2ba200aa242b5e1d1/dom/src/main/java/org/apache/james/mime4j/message/MessageBuilder.java,org.apache.james.mime4j.message.MessageBuilder,getFields/0,builder,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/james-mime4j_68b2028c677b04af90d812e2ba200aa242b5e1d1/dom/src/main/java/org/apache/james/mime4j/message/MessageBuilder.java,org.apache.james.mime4j.message.MessageBuilder,use/1[org.apache.james.mime4j.dom.FieldParser<?>],builder,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/james-mime4j_68b2028c677b04af90d812e2ba200aa242b5e1d1/dom/src/main/java/org/apache/james/mime4j/message/MessageBuilder.java,org.apache.james.mime4j.message.MessageBuilder,getDispositionType/0,builder,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/james-mime4j_68b2028c677b04af90d812e2ba200aa242b5e1d1/dom/src/main/java/org/apache/james/mime4j/message/MessageBuilder.java,org.apache.james.mime4j.message.MessageBuilder,setTo/1[org.apache.james.mime4j.dom.address.Address[]],builder,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/james-mime4j_68b2028c677b04af90d812e2ba200aa242b5e1d1/dom/src/main/java/org/apache/james/mime4j/message/MessageBuilder.java,org.apache.james.mime4j.message.MessageBuilder,getCharset/0,builder,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/james-mime4j_68b2028c677b04af90d812e2ba200aa242b5e1d1/dom/src/main/java/org/apache/james/mime4j/message/MessageBuilder.java,org.apache.james.mime4j.message.MessageBuilder,getFilename/0,builder,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/james-mime4j_68b2028c677b04af90d812e2ba200aa242b5e1d1/dom/src/main/java/org/apache/james/mime4j/message/MessageBuilder.java,org.apache.james.mime4j.message.MessageBuilder,"setBody/2[java.lang.String,java.nio.charset.Charset]",builder,1
