file,class,method,variable,usage
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/james-mime4j_68b2028c677b04af90d812e2ba200aa242b5e1d1/james-utils/src/test/java/org/apache/james/mime4j/utils/search/MessageMatcherTest.java,org.apache.james.mime4j.utils.search.MessageMatcherTest,caseSensitivenessShouldBeIgnoredWhenTurnedOff/0,messageMatcher,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/james-mime4j_68b2028c677b04af90d812e2ba200aa242b5e1d1/james-utils/src/test/java/org/apache/james/mime4j/utils/search/MessageMatcherTest.java,org.apache.james.mime4j.utils.search.MessageMatcherTest,isFoundInShouldReturnTrueWhenSearchingTextLocatedInSpecifiedMimePart/0,messageMatcher,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/james-mime4j_68b2028c677b04af90d812e2ba200aa242b5e1d1/james-utils/src/test/java/org/apache/james/mime4j/utils/search/MessageMatcherTest.java,org.apache.james.mime4j.utils.search.MessageMatcherTest,headerShouldBeMatchedWhenIgnoringMime/0,messageMatcher,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/james-mime4j_68b2028c677b04af90d812e2ba200aa242b5e1d1/james-utils/src/test/java/org/apache/james/mime4j/utils/search/MessageMatcherTest.java,org.apache.james.mime4j.utils.search.MessageMatcherTest,isFoundInShouldBeAbleToRecognizedMimeTypes/0,messageMatcher,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/james-mime4j_68b2028c677b04af90d812e2ba200aa242b5e1d1/james-utils/src/test/java/org/apache/james/mime4j/utils/search/MessageMatcherTest.java,org.apache.james.mime4j.utils.search.MessageMatcherTest,isFoundInIgnoringMimeShouldReturnFalseOnNonContainedText/0,messageMatcher,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/james-mime4j_68b2028c677b04af90d812e2ba200aa242b5e1d1/james-utils/src/test/java/org/apache/james/mime4j/utils/search/MessageMatcherTest.java,org.apache.james.mime4j.utils.search.MessageMatcherTest,caseSensitivenessShouldBeTakenIntoAccountWhenTurnedOn/0,messageMatcher,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/james-mime4j_68b2028c677b04af90d812e2ba200aa242b5e1d1/james-utils/src/test/java/org/apache/james/mime4j/utils/search/MessageMatcherTest.java,org.apache.james.mime4j.utils.search.MessageMatcherTest,headerShouldBeMatchedWhenHeaderMatchingIsTurnedOn/0,messageMatcher,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/james-mime4j_68b2028c677b04af90d812e2ba200aa242b5e1d1/james-utils/src/test/java/org/apache/james/mime4j/utils/search/MessageMatcherTest.java,org.apache.james.mime4j.utils.search.MessageMatcherTest,isFoundInShouldNotBeAffectedByInvalidMimeTypes/0,messageMatcher,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/james-mime4j_68b2028c677b04af90d812e2ba200aa242b5e1d1/james-utils/src/test/java/org/apache/james/mime4j/utils/search/MessageMatcherTest.java,org.apache.james.mime4j.utils.search.MessageMatcherTest,isFoundInShouldReturnFalseWhenSearchingHeaderTextOutsideHeaders/0,messageMatcher,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/james-mime4j_68b2028c677b04af90d812e2ba200aa242b5e1d1/james-utils/src/test/java/org/apache/james/mime4j/utils/search/MessageMatcherTest.java,org.apache.james.mime4j.utils.search.MessageMatcherTest,isFoundInIgnoringMimeShouldIgnoreMimeStructure/0,messageMatcher,1
