file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/java-debug_5d5b39e63c986f4f4ebbed6fc039c0c4e81e3480/com.microsoft.java.debug.core/src/test/java/com/microsoft/java/debug/core/adapter/formatter/ArrayObjectFormatterTest.java,com.microsoft.java.debug.core.adapter.formatter.ArrayObjectFormatterTest,setup/0,false,32,3,2,0,2,1,2,4,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,6,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/java-debug_5d5b39e63c986f4f4ebbed6fc039c0c4e81e3480/com.microsoft.java.debug.core/src/test/java/com/microsoft/java/debug/core/adapter/formatter/ArrayObjectFormatterTest.java,com.microsoft.java.debug.core.adapter.formatter.ArrayObjectFormatterTest,testValueOfNotUnsupported/0,false,74,4,3,0,3,2,5,10,0,1,0,5,0,0,0,0,1,0,3,0,1,0,1,0,0,0,16,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/java-debug_5d5b39e63c986f4f4ebbed6fc039c0c4e81e3480/com.microsoft.java.debug.core/src/test/java/com/microsoft/java/debug/core/adapter/formatter/ArrayObjectFormatterTest.java,com.microsoft.java.debug.core.adapter.formatter.ArrayObjectFormatterTest,testDefaultOptions/0,false,67,2,1,0,1,1,4,5,0,1,0,4,0,0,0,0,0,0,2,1,1,0,0,0,0,0,13,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/java-debug_5d5b39e63c986f4f4ebbed6fc039c0c4e81e3480/com.microsoft.java.debug.core/src/test/java/com/microsoft/java/debug/core/adapter/formatter/ArrayObjectFormatterTest.java,com.microsoft.java.debug.core.adapter.formatter.ArrayObjectFormatterTest,testAcceptType/0,false,38,5,5,0,5,1,7,13,0,5,0,7,0,0,0,0,0,0,11,0,5,0,0,0,0,0,23,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/java-debug_5d5b39e63c986f4f4ebbed6fc039c0c4e81e3480/com.microsoft.java.debug.core/src/test/java/com/microsoft/java/debug/core/adapter/formatter/ArrayObjectFormatterTest.java,com.microsoft.java.debug.core.adapter.formatter.ArrayObjectFormatterTest,testToString/0,false,59,5,3,0,3,1,5,4,0,1,0,5,0,0,0,0,0,1,3,0,1,0,0,0,0,0,16,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/java-debug_5d5b39e63c986f4f4ebbed6fc039c0c4e81e3480/com.microsoft.java.debug.test/project/4.variable/src/main/java/VariableTest.java,BBB,test/0,false,71,0,0,0,0,1,0,4,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,8,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/java-debug_5d5b39e63c986f4f4ebbed6fc039c0c4e81e3480/com.microsoft.java.debug.core/src/main/java/com/microsoft/java/debug/core/adapter/StackFrameManager.java,com.microsoft.java.debug.core.adapter.StackFrameManager,reloadStackFrames/1[com.sun.jdi.ThreadReference],false,35,3,2,0,2,2,4,11,3,2,1,4,0,0,0,0,1,0,0,2,0,0,2,0,0,1,10,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/java-debug_5d5b39e63c986f4f4ebbed6fc039c0c4e81e3480/com.microsoft.java.debug.core/src/main/java/com/microsoft/java/debug/core/adapter/StackFrameManager.java,com.microsoft.java.debug.core.adapter.StackFrameManager,getStackFrame/1[com.microsoft.java.debug.core.adapter.variables.StackFrameReference],false,27,4,3,0,3,3,4,6,1,3,1,4,0,0,0,1,0,0,0,0,3,0,0,0,0,0,10,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/java-debug_5d5b39e63c986f4f4ebbed6fc039c0c4e81e3480/com.microsoft.java.debug.core/src/main/java/com/microsoft/java/debug/core/adapter/handler/ExceptionInfoRequestHandler.java,com.microsoft.java.debug.core.adapter.handler.ExceptionInfoRequestHandler,getTargetCommands/0,false,48,1,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/java-debug_5d5b39e63c986f4f4ebbed6fc039c0c4e81e3480/com.microsoft.java.debug.core/src/main/java/com/microsoft/java/debug/core/adapter/handler/ExceptionInfoRequestHandler.java,com.microsoft.java.debug.core.adapter.handler.ExceptionInfoRequestHandler,"handle/4[com.microsoft.java.debug.core.protocol.Requests.Command,com.microsoft.java.debug.core.protocol.Requests.Arguments,com.microsoft.java.debug.core.protocol.Messages.Response,com.microsoft.java.debug.core.adapter.IDebugAdapterContext]",false,54,18,14,0,14,9,18,31,1,7,4,18,0,0,1,3,1,0,6,0,10,2,2,0,0,0,42,1,0,false
