file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/jimfs_4adbdea4091229b9ef727fa5d6eeef00b2429e01/jimfs/src/main/java/com/google/common/jimfs/Name.java,com.google.common.jimfs.Name,class,6,26,20,6,11,1,0,6,12,0.8035714,0.1904762,0.2857143,8,4,6,1,0,1,7,0,0,0,7,5,2,4,0,1,7,0,1,55,10,0,0,0,0,8,0,8,0,8,1,2,0,0,110,16,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/jimfs_4adbdea4091229b9ef727fa5d6eeef00b2429e01/jimfs/src/test/java/com/google/common/jimfs/JimfsPathTest.java,com.google.common.jimfs.JimfsPathTest,class,11,12,1,11,46,1,0,30,0,0.25641027,0.49197862,0.49197862,39,0,34,5,0,0,34,0,0,0,1,0,0,1,0,0,1,0,7,237,0,1,1,5,0,243,0,30,0,24,1,0,0,0,94,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/jimfs_4adbdea4091229b9ef727fa5d6eeef00b2429e01/jimfs/src/main/java/com/google/common/jimfs/JimfsFileChannel.java,com.google.common.jimfs.JimfsFileChannel$FakeFileLock,innerclass,0,0,0,0,4,2,0,2,4,0.5,0.16666667,0.16666667,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,1,0,0,15,1,0,0,0,0,0,0,1,0,1,0,0,0,0,32,24,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/jimfs_4adbdea4091229b9ef727fa5d6eeef00b2429e01/jimfs/src/main/java/com/google/common/jimfs/JimfsFileStore.java,com.google.common.jimfs.JimfsFileStore,class,23,28,5,23,29,2,0,25,0,0.7901786,0.5,0.73015875,28,0,11,0,0,17,28,0,0,0,8,0,0,8,0,0,8,0,0,123,24,0,1,0,0,2,0,11,0,11,0,0,0,0,175,16,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/jimfs_4adbdea4091229b9ef727fa5d6eeef00b2429e01/jimfs/src/main/java/com/google/common/jimfs/Feature.java,com.google.common.jimfs.Feature,enum,0,3,3,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/jimfs_4adbdea4091229b9ef727fa5d6eeef00b2429e01/jimfs/src/test/java/com/google/common/jimfs/JimfsInputStreamTest.java,com.google.common.jimfs.JimfsInputStreamTest,class,10,11,1,10,25,1,0,20,105,0.0,0.0,0.0,15,2,13,2,0,0,13,0,0,0,0,0,0,0,0,0,0,0,33,168,1,1,0,9,0,2,246,24,0,22,1,0,0,0,56,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/jimfs_4adbdea4091229b9ef727fa5d6eeef00b2429e01/jimfs/src/main/java/com/google/common/jimfs/PathMatchers.java,com.google.common.jimfs.PathMatchers,class,5,8,3,5,6,1,0,8,3,0.0,NaN,NaN,3,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,33,2,0,0,0,0,4,3,4,2,3,1,0,1,0,60,16,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/jimfs_4adbdea4091229b9ef727fa5d6eeef00b2429e01/jimfs/src/test/java/com/google/common/jimfs/TestAttributes.java,com.google.common.jimfs.TestAttributes,interface,0,4,4,0,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/jimfs_4adbdea4091229b9ef727fa5d6eeef00b2429e01/jimfs/src/main/java/com/google/common/jimfs/FileFactory.java,com.google.common.jimfs.FileFactory,class,13,20,7,13,10,1,0,8,39,0.825,0.027777778,0.027777778,10,0,7,1,0,2,9,0,0,0,4,0,0,4,0,0,4,0,4,55,9,0,0,0,0,0,0,4,0,4,0,0,3,0,64,16,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/jimfs_4adbdea4091229b9ef727fa5d6eeef00b2429e01/jimfs/src/main/java/com/google/common/jimfs/JimfsPath.java,com.google.common.jimfs.JimfsPath$Anonymous1,anonymous,1,1,0,1,2,1,0,2,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
