file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/jsinterop-generator_c48a10f4c02b62207059997b4d18847c40f410ef/javatests/jsinterop/generator/externs/generics/Bar.java,jsinterop.generator.externs.generics.Bar$BarFieldType$FooFieldType,interface,5,5,0,5,3,1,0,2,3,0.0,0.0,0.0,3,1,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,8,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/jsinterop-generator_c48a10f4c02b62207059997b4d18847c40f410ef/javatests/jsinterop/generator/externs/functiontype/Global.java,jsinterop.generator.externs.functiontype.Global$Method7BarCallbackFn,interface,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/jsinterop-generator_c48a10f4c02b62207059997b4d18847c40f410ef/java/jsinterop/generator/helper/AbstractTypeRegistry.java,jsinterop.generator.helper.AbstractTypeRegistry,class,3,9,6,3,13,1,0,9,18,0.7037037,0.25,0.25,9,0,4,0,5,0,9,0,0,0,3,0,0,3,0,0,2,0,0,43,4,0,4,0,0,5,0,7,0,7,1,0,1,0,81,1025,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/jsinterop-generator_c48a10f4c02b62207059997b4d18847c40f410ef/javatests/jsinterop/generator/externs/uniontypes/Child.java,jsinterop.generator.externs.uniontypes.Child$ParentInterfaceTypeParameterUnionType,interface,3,3,0,3,5,1,0,2,10,0.0,0.0,0.0,5,1,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,17,5,0,0,0,0,1,0,0,0,0,0,0,0,0,13,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/jsinterop-generator_c48a10f4c02b62207059997b4d18847c40f410ef/javatests/jsinterop/generator/externs/uniontypes/ParentInterface.java,jsinterop.generator.externs.uniontypes.ParentInterface$ParentMethodFooUnionType,interface,3,3,0,3,5,1,0,3,10,0.0,0.0,0.0,5,1,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,17,5,0,0,0,0,1,0,0,0,0,0,0,0,0,13,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/jsinterop-generator_c48a10f4c02b62207059997b4d18847c40f410ef/java/jsinterop/generator/closure/visitor/TypeCollector.java,jsinterop.generator.closure.visitor.TypeCollector,class,20,22,2,20,23,2,0,44,79,0.7857143,0.015151516,0.015151516,14,0,1,2,11,0,12,0,0,0,3,0,0,3,0,0,3,0,6,93,9,0,3,0,1,3,0,15,0,15,1,0,0,0,76,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/jsinterop-generator_c48a10f4c02b62207059997b4d18847c40f410ef/java/jsinterop/generator/visitor/MembersClassCleaner.java,jsinterop.generator.visitor.MembersClassCleaner,class,15,17,2,15,34,2,0,36,60,0.75,0.14285715,0.14285715,12,4,7,5,0,0,7,0,0,0,1,0,0,1,0,0,0,0,5,105,10,5,6,0,0,2,3,9,2,8,2,0,3,0,135,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/jsinterop-generator_c48a10f4c02b62207059997b4d18847c40f410ef/javatests/jsinterop/generator/externs/uniontypes/Child.java,jsinterop.generator.externs.uniontypes.Child$ParentMethod2BarUnionType,interface,3,3,0,3,5,1,0,3,10,0.0,0.0,0.0,5,1,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,17,5,0,0,0,0,1,0,0,0,0,0,0,0,0,13,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/jsinterop-generator_c48a10f4c02b62207059997b4d18847c40f410ef/java/jsinterop/generator/visitor/IntegerEntitiesConverter.java,jsinterop.generator.visitor.IntegerEntitiesConverter,class,9,11,2,9,9,2,0,9,0,0.5416667,0.47619048,1.0,8,0,7,1,0,0,7,0,0,0,3,0,0,3,0,0,2,0,0,37,7,0,0,0,0,1,0,5,0,3,1,0,0,0,49,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/jsinterop-generator_c48a10f4c02b62207059997b4d18847c40f410ef/javatests/jsinterop/generator/externs/functiontype/Global.java,jsinterop.generator.externs.functiontype.Global$BazFn,interface,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/jsinterop-generator_c48a10f4c02b62207059997b4d18847c40f410ef/javatests/jsinterop/generator/externs/uniontypes/Child.java,jsinterop.generator.externs.uniontypes.Child$Method4BarCallbackFn$P0UnionType,interface,5,5,0,5,3,1,0,1,3,0.0,0.0,0.0,3,1,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,1,0,0,0,0,0,0,0,0,8,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/jsinterop-generator_c48a10f4c02b62207059997b4d18847c40f410ef/javatests/jsinterop/generator/externs/inheritance/GreatParentInterface.java,jsinterop.generator.externs.inheritance.GreatParentInterface,interface,2,3,1,2,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/jsinterop-generator_c48a10f4c02b62207059997b4d18847c40f410ef/java/jsinterop/generator/model/InstanceOfExpression.java,jsinterop.generator.model.InstanceOfExpression,class,4,7,3,4,5,1,0,3,0,0.25,0.8333333,1.0,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,1,0,0,21,3,0,0,0,0,0,0,3,0,2,1,0,0,0,18,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/jsinterop-generator_c48a10f4c02b62207059997b4d18847c40f410ef/javatests/jsinterop/generator/externs/integerentities/Foo.java,jsinterop.generator.externs.integerentities.Foo$FooCallbackFn,interface,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/jsinterop-generator_c48a10f4c02b62207059997b4d18847c40f410ef/java/jsinterop/generator/model/TypeReference.java,jsinterop.generator.model.TypeReference,interface,4,52,48,4,9,1,0,2,36,0.0,0.0,0.0,9,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,92,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/jsinterop-generator_c48a10f4c02b62207059997b4d18847c40f410ef/java/jsinterop/generator/visitor/FixTypeParametersOfReferencesToSyntheticTypes.java,jsinterop.generator.visitor.FixTypeParametersOfReferencesToSyntheticTypes,class,11,13,2,11,20,2,0,15,22,0.6666667,0.25,0.35714287,9,1,8,1,0,0,8,0,0,0,2,0,0,2,0,0,0,0,3,57,11,0,5,0,3,3,0,8,0,6,2,0,0,0,57,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/jsinterop-generator_c48a10f4c02b62207059997b4d18847c40f410ef/javatests/jsinterop/generator/externs/dictionarytype/SimpleDictionaryType.java,jsinterop.generator.externs.dictionarytype.SimpleDictionaryType$BazFn$P0Type,interface,4,4,0,4,5,1,0,2,10,0.0,0.0,0.0,5,1,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,11,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/jsinterop-generator_c48a10f4c02b62207059997b4d18847c40f410ef/java/jsinterop/generator/model/AbstractStatement.java,jsinterop.generator.model.AbstractStatement,class,1,4,3,1,3,1,2,0,1,0.33333334,0.33333334,0.33333334,3,0,2,0,0,1,3,0,0,0,1,0,0,1,0,0,0,0,0,11,1,0,0,0,0,0,0,1,0,1,0,0,0,0,10,1025,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/jsinterop-generator_c48a10f4c02b62207059997b4d18847c40f410ef/java/jsinterop/generator/model/ReturnStatement.java,jsinterop.generator.model.ReturnStatement,class,5,11,6,5,4,2,0,2,0,0.0,1.0,1.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,1,0,0,15,2,0,0,0,0,0,0,1,0,1,1,0,0,0,13,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/jsinterop-generator_c48a10f4c02b62207059997b4d18847c40f410ef/java/jsinterop/generator/model/Entity.java,jsinterop.generator.model.Entity,class,7,46,39,7,30,1,3,20,140,0.82993203,0.08095238,0.08095238,21,1,19,0,2,0,21,0,0,0,7,0,0,7,0,0,0,0,4,95,18,2,7,0,0,1,1,10,1,9,2,0,0,0,49,1025,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/jsinterop-generator_c48a10f4c02b62207059997b4d18847c40f410ef/javatests/jsinterop/generator/externs/uniontypes/Child.java,jsinterop.generator.externs.uniontypes.Child$Method2FooUnionType,interface,4,4,0,4,7,1,0,3,21,0.0,0.0,0.0,7,1,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,23,7,0,0,0,0,1,0,0,0,0,0,0,0,0,13,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/jsinterop-generator_c48a10f4c02b62207059997b4d18847c40f410ef/javatests/jsinterop/generator/externs/inheritance/InterfaceWithStructuralTypeImpl.java,jsinterop.generator.externs.inheritance.InterfaceWithStructuralTypeImpl$Bar4Param1UnionType,interface,3,3,0,3,5,1,0,3,10,0.0,0.0,0.0,5,1,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,17,5,0,0,0,0,1,0,0,0,0,0,0,0,0,12,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/jsinterop-generator_c48a10f4c02b62207059997b4d18847c40f410ef/javatests/jsinterop/generator/externs/uniontypes/Child.java,jsinterop.generator.externs.uniontypes.Child$Method3FooUnionType,interface,6,6,0,6,6,1,0,2,15,0.0,0.0,0.0,6,1,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,20,6,0,0,0,0,1,0,0,0,0,0,0,0,0,12,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/jsinterop-generator_c48a10f4c02b62207059997b4d18847c40f410ef/javatests/jsinterop/generator/externs/uniontypes/ParentInterface.java,jsinterop.generator.externs.uniontypes.ParentInterface$ParentMethod2FooUnionType,interface,3,3,0,3,5,1,0,3,10,0.0,0.0,0.0,5,1,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,17,5,0,0,0,0,1,0,0,0,0,0,0,0,0,13,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/jsinterop-generator_c48a10f4c02b62207059997b4d18847c40f410ef/javatests/jsinterop/generator/externs/inheritance/Parent1Interface.java,jsinterop.generator.externs.inheritance.Parent1Interface,interface,3,4,1,3,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/jsinterop-generator_c48a10f4c02b62207059997b4d18847c40f410ef/javatests/jsinterop/generator/externs/uniontypes/Child.java,jsinterop.generator.externs.uniontypes.Child$Method1BarUnionType,interface,3,3,0,3,7,1,0,4,21,0.0,0.0,0.0,7,1,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,23,7,0,0,0,0,1,0,0,0,0,0,0,0,0,13,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/jsinterop-generator_c48a10f4c02b62207059997b4d18847c40f410ef/javatests/jsinterop/generator/externs/uniontypes/Child.java,jsinterop.generator.externs.uniontypes.Child$Method4FooUnionType,interface,5,5,0,5,3,1,0,1,3,0.0,0.0,0.0,3,1,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,1,0,0,0,0,0,0,0,0,8,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/jsinterop-generator_c48a10f4c02b62207059997b4d18847c40f410ef/javatests/jsinterop/generator/externs/structuraltypes/SimpleClass.java,jsinterop.generator.externs.structuraltypes.SimpleClass,class,12,13,1,12,10,1,0,4,45,1.0,0.0,0.0,10,0,10,0,0,0,10,0,4,0,1,0,1,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,1,0,0,6,0,26,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/jsinterop-generator_c48a10f4c02b62207059997b4d18847c40f410ef/java/jsinterop/generator/closure/visitor/AnonymousTypeCollector.java,jsinterop.generator.closure.visitor.AnonymousTypeCollector,class,15,17,2,15,19,2,0,42,62,0.8833334,0.0,0.0,12,0,1,5,6,0,7,0,0,0,5,3,0,5,0,0,3,0,10,84,11,0,1,0,0,18,1,14,2,12,1,0,0,0,114,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/jsinterop-generator_c48a10f4c02b62207059997b4d18847c40f410ef/javatests/jsinterop/generator/externs/structuraltypes/Global.java,jsinterop.generator.externs.structuraltypes.Global$Method2FooType$FooFieldType,interface,5,5,0,5,3,1,0,2,3,0.0,0.0,0.0,3,1,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,1,0,0,0,0,0,0,1,0,10,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/jsinterop-generator_c48a10f4c02b62207059997b4d18847c40f410ef/java/jsinterop/generator/model/ExpressionStatement.java,jsinterop.generator.model.ExpressionStatement,class,5,9,4,5,4,2,0,2,0,0.0,1.0,1.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,1,0,0,15,2,0,0,0,0,0,0,1,0,1,1,0,0,0,16,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/jsinterop-generator_c48a10f4c02b62207059997b4d18847c40f410ef/javatests/jsinterop/generator/externs/functiontype/Global.java,jsinterop.generator.externs.functiontype.Global$Method6FooCallbackFn,interface,4,4,0,4,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/jsinterop-generator_c48a10f4c02b62207059997b4d18847c40f410ef/javatests/jsinterop/generator/externs/dictionarytype/DictionaryType.java,jsinterop.generator.externs.dictionarytype.DictionaryType,interface,4,5,1,4,5,1,0,2,10,0.0,0.0,0.0,5,1,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/jsinterop-generator_c48a10f4c02b62207059997b4d18847c40f410ef/javatests/jsinterop/generator/externs/functiontype/Global.java,jsinterop.generator.externs.functiontype.Global$Method7FooCallbackFn,interface,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,1,0
