file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/knox_8a504c7c7f8e6a07ded65c671b64ccd702f47668/gateway-shell/src/main/java/org/apache/knox/gateway/shell/ClientContext.java,org.apache.knox.gateway.shell.ClientContext$Context,innerclass,3,3,0,3,2,1,0,0,0,0.25,NaN,NaN,2,0,1,1,0,0,1,0,0,0,2,0,0,1,1,0,2,0,0,11,1,0,0,0,0,0,0,2,0,2,0,0,0,0,8,10,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/knox_8a504c7c7f8e6a07ded65c671b64ccd702f47668/gateway-server/src/test/java/org/apache/knox/gateway/deploy/DeploymentFactoryTest.java,org.apache.knox.gateway.deploy.DeploymentFactoryTest,class,8,8,0,8,13,1,0,18,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,261,0,0,0,10,0,117,0,56,10,9,1,0,0,0,56,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/knox_8a504c7c7f8e6a07ded65c671b64ccd702f47668/gateway-provider-rewrite/src/main/java/org/apache/knox/gateway/filter/rewrite/api/UrlRewriteEnvironment.java,org.apache.knox.gateway.filter.rewrite.api.UrlRewriteEnvironment,interface,2,35,33,2,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/knox_8a504c7c7f8e6a07ded65c671b64ccd702f47668/gateway-server/src/main/java/org/apache/knox/gateway/topology/simple/SimpleDescriptorImpl.java,org.apache.knox.gateway.topology.simple.SimpleDescriptorImpl$ServiceImpl,innerclass,2,2,0,2,4,1,0,0,6,0.75,0.0,0.0,4,0,4,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,18,4,0,0,0,0,4,0,0,0,4,0,0,0,0,13,9,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/knox_8a504c7c7f8e6a07ded65c671b64ccd702f47668/gateway-spi/src/main/java/org/apache/knox/gateway/topology/ClusterConfigurationMonitorService.java,org.apache.knox.gateway.topology.ClusterConfigurationMonitorService,interface,3,3,0,3,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/knox_8a504c7c7f8e6a07ded65c671b64ccd702f47668/gateway-provider-security-preauth/src/main/java/org/apache/knox/gateway/preauth/filter/PreAuthValidator.java,org.apache.knox.gateway.preauth.filter.PreAuthValidator,interface,2,10,8,2,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/knox_8a504c7c7f8e6a07ded65c671b64ccd702f47668/gateway-spi/src/main/java/org/apache/knox/gateway/services/security/EncryptionResult.java,org.apache.knox.gateway.services.security.EncryptionResult,class,2,7,5,2,4,1,0,8,0,0.25,0.16666667,0.16666667,4,1,4,0,0,0,4,0,0,0,3,0,3,0,0,0,0,0,2,33,2,0,0,0,0,0,1,13,1,10,0,0,0,0,17,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/knox_8a504c7c7f8e6a07ded65c671b64ccd702f47668/gateway-provider-security-jwt/src/main/java/org/apache/knox/gateway/provider/federation/jwt/filter/SSOCookieFederationFilter.java,org.apache.knox.gateway.provider.federation.jwt.filter.SSOCookieFederationFilter,class,15,19,4,15,28,2,3,47,24,0.8472223,0.23809524,0.47619048,9,0,4,2,3,0,7,0,0,0,16,13,7,9,0,0,12,0,2,134,5,1,10,1,4,22,0,43,2,34,3,0,0,0,146,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/knox_8a504c7c7f8e6a07ded65c671b64ccd702f47668/gateway-test/src/test/java/org/apache/knox/gateway/GatewaySslFuncTest.java,org.apache.knox.gateway.GatewaySslFuncTest$TrustAllHosts,innerclass,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/knox_8a504c7c7f8e6a07ded65c671b64ccd702f47668/gateway-spi/src/main/java/org/apache/knox/gateway/dispatch/DefaultHttpClientFactory.java,org.apache.knox.gateway.dispatch.DefaultHttpClientFactory$NoCookieStore,innerclass,2,2,0,2,4,1,0,1,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/knox_8a504c7c7f8e6a07ded65c671b64ccd702f47668/gateway-server/src/main/java/org/apache/knox/gateway/GatewayResources.java,org.apache.knox.gateway.GatewayResources,interface,2,8,6,2,26,1,0,0,325,0.0,0.0,0.0,26,0,0,0,0,26,26,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,26,0,0,0,0,0,0,0,0,121,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/knox_8a504c7c7f8e6a07ded65c671b64ccd702f47668/gateway-service-remoteconfig/src/main/java/org/apache/knox/gateway/service/config/remote/config/DefaultRemoteConfigurationRegistries.java,org.apache.knox.gateway.service.config.remote.config.DefaultRemoteConfigurationRegistries,class,4,7,3,4,8,2,0,19,4,0.6666667,1.0,1.0,4,2,0,2,0,2,2,0,0,0,3,2,0,3,0,0,2,0,4,42,3,2,1,0,1,2,3,11,0,11,2,0,0,0,69,0,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/knox_8a504c7c7f8e6a07ded65c671b64ccd702f47668/gateway-util-common/src/test/java/org/apache/knox/gateway/audit/JdbmQueueTest.java,org.apache.knox.gateway.audit.JdbmQueueTest$Processor$Anonymous2,anonymous,0,0,0,0,3,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,15,1,0,1,0,0,1,1,0,1,0,1,0,0,0,4,-1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/knox_8a504c7c7f8e6a07ded65c671b64ccd702f47668/gateway-shell/src/main/java/org/apache/knox/gateway/shell/KnoxSession.java,org.apache.knox.gateway.shell.KnoxSession$JAASClientConfig,innerclass,1,1,0,1,5,2,0,4,0,0.25,1.0,1.0,2,0,1,0,0,1,2,0,0,0,2,1,0,2,0,0,1,0,2,19,1,0,3,0,0,0,0,5,0,3,1,0,0,0,19,26,0
