file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/knox_8a504c7c7f8e6a07ded65c671b64ccd702f47668/gateway-shell/src/main/java/org/apache/knox/gateway/shell/ClientContext.java,org.apache.knox.gateway.shell.ClientContext$Context,"Context/2[org.apache.knox.gateway.shell.ClientContext,java.lang.String]",true,46,2,0,0,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,2,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/knox_8a504c7c7f8e6a07ded65c671b64ccd702f47668/gateway-shell/src/main/java/org/apache/knox/gateway/shell/ClientContext.java,org.apache.knox.gateway.shell.ClientContext$Context,end/0,false,51,1,6,6,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/knox_8a504c7c7f8e6a07ded65c671b64ccd702f47668/gateway-server/src/test/java/org/apache/knox/gateway/deploy/DeploymentFactoryTest.java,org.apache.knox.gateway.deploy.DeploymentFactoryTest,test_validateNoAppsWithRootUrlsInServicesTopology/0,false,58,4,0,0,0,5,9,86,0,3,0,9,0,0,0,0,4,0,38,0,16,4,1,0,0,0,31,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/knox_8a504c7c7f8e6a07ded65c671b64ccd702f47668/gateway-server/src/test/java/org/apache/knox/gateway/deploy/DeploymentFactoryTest.java,org.apache.knox.gateway.deploy.DeploymentFactoryTest,testEmptyTopology/0,false,44,6,1,0,1,1,9,9,0,4,0,9,0,0,0,0,0,0,5,0,4,0,0,0,0,0,25,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/knox_8a504c7c7f8e6a07ded65c671b64ccd702f47668/gateway-server/src/test/java/org/apache/knox/gateway/deploy/DeploymentFactoryTest.java,org.apache.knox.gateway.deploy.DeploymentFactoryTest,test_validateNoAppsWithDuplicateUrlsInTopology/0,false,161,3,0,0,0,7,7,164,0,2,0,7,0,0,0,0,6,0,74,0,36,6,1,0,0,0,26,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/knox_8a504c7c7f8e6a07ded65c671b64ccd702f47668/gateway-provider-rewrite/src/main/java/org/apache/knox/gateway/filter/rewrite/api/UrlRewriteEnvironment.java,org.apache.knox.gateway.filter.rewrite.api.UrlRewriteEnvironment,getAttribute/1[java.lang.String],false,29,1,9,9,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/knox_8a504c7c7f8e6a07ded65c671b64ccd702f47668/gateway-provider-rewrite/src/main/java/org/apache/knox/gateway/filter/rewrite/api/UrlRewriteEnvironment.java,org.apache.knox.gateway.filter.rewrite.api.UrlRewriteEnvironment,getResource/1[java.lang.String],false,27,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/knox_8a504c7c7f8e6a07ded65c671b64ccd702f47668/gateway-server/src/main/java/org/apache/knox/gateway/topology/simple/SimpleDescriptorImpl.java,org.apache.knox.gateway.topology.simple.SimpleDescriptorImpl$ServiceImpl,getName/0,false,125,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/knox_8a504c7c7f8e6a07ded65c671b64ccd702f47668/gateway-server/src/main/java/org/apache/knox/gateway/topology/simple/SimpleDescriptorImpl.java,org.apache.knox.gateway.topology.simple.SimpleDescriptorImpl$ServiceImpl,getURLs/0,false,140,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/knox_8a504c7c7f8e6a07ded65c671b64ccd702f47668/gateway-server/src/main/java/org/apache/knox/gateway/topology/simple/SimpleDescriptorImpl.java,org.apache.knox.gateway.topology.simple.SimpleDescriptorImpl$ServiceImpl,getVersion/0,false,130,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
