file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/lens_f64a0f5984216a61f0a2c5ef90510a88390acde0/lens-cube/src/main/java/org/apache/lens/cube/parse/ColumnLifetimeChecker.java,org.apache.lens.cube.parse.ColumnLifetimeChecker,rewriteContext/1[org.apache.lens.cube.parse.CubeQueryContext],false,38,2,1,0,1,2,2,6,1,0,1,2,1,2,0,1,0,0,0,0,0,0,1,0,0,0,12,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/lens_f64a0f5984216a61f0a2c5ef90510a88390acde0/lens-cube/src/main/java/org/apache/lens/cube/parse/ColumnLifetimeChecker.java,org.apache.lens.cube.parse.ColumnLifetimeChecker,throwException/1[org.apache.lens.cube.metadata.CubeColumn],false,112,3,6,1,5,3,5,6,0,3,1,5,0,0,0,0,0,1,0,0,3,0,0,0,0,0,17,2,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/lens_f64a0f5984216a61f0a2c5ef90510a88390acde0/lens-cube/src/main/java/org/apache/lens/cube/parse/ColumnLifetimeChecker.java,org.apache.lens.cube.parse.ColumnLifetimeChecker,doColLifeValidation/1[org.apache.lens.cube.parse.CubeQueryContext],false,46,10,8,1,7,18,25,51,3,9,1,25,1,1,6,4,0,0,5,0,9,1,7,0,0,0,51,2,2,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/lens_f64a0f5984216a61f0a2c5ef90510a88390acde0/lens-server/src/main/java/org/apache/lens/server/session/SessionClassLoader.java,org.apache.lens.server.session.SessionClassLoader,SessionClassLoader/1[java.net.URL[]],true,38,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/lens_f64a0f5984216a61f0a2c5ef90510a88390acde0/lens-server/src/main/java/org/apache/lens/server/session/SessionClassLoader.java,org.apache.lens.server.session.SessionClassLoader,close/0,false,47,0,0,0,0,1,2,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/lens_f64a0f5984216a61f0a2c5ef90510a88390acde0/lens-server/src/main/java/org/apache/lens/server/session/SessionClassLoader.java,org.apache.lens.server.session.SessionClassLoader,"SessionClassLoader/2[java.net.URL[],java.lang.ClassLoader]",true,42,0,1,1,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/lens_f64a0f5984216a61f0a2c5ef90510a88390acde0/lens-server/src/main/java/org/apache/lens/server/session/SessionClassLoader.java,org.apache.lens.server.session.SessionClassLoader,addURL/1[java.net.URL],false,53,0,1,1,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/lens_f64a0f5984216a61f0a2c5ef90510a88390acde0/lens-cube/src/test/java/org/apache/lens/cube/parse/TestCubeRewriter.java,org.apache.lens.cube.parse.TestCubeRewriter,testFactsWithTimedDimension/0,false,1343,4,5,0,5,1,5,11,0,2,0,5,2,1,0,0,0,0,26,0,6,6,0,0,0,0,34,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/lens_f64a0f5984216a61f0a2c5ef90510a88390acde0/lens-cube/src/test/java/org/apache/lens/cube/parse/TestCubeRewriter.java,org.apache.lens.cube.parse.TestCubeRewriter,"runExplain/2[java.lang.String,org.apache.lens.cube.metadata.HiveConf]",false,1789,3,1,1,0,2,6,12,1,3,2,6,0,0,1,0,0,0,2,0,3,1,1,0,0,0,23,2,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/lens_f64a0f5984216a61f0a2c5ef90510a88390acde0/lens-cube/src/test/java/org/apache/lens/cube/parse/TestCubeRewriter.java,org.apache.lens.cube.parse.TestCubeRewriter,testSelectExprPromotionToGroupByWithSpacesInDimensionAliasAndWithAsKeywordBwColAndAlias/0,false,875,4,4,0,4,1,5,6,0,3,0,5,0,0,0,0,0,0,7,1,3,3,0,0,0,0,64,1,0,false
