file,class,method,variable,usage
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/leshan_eb75fc8b7d5560944e6d532f1a09d5e5c6e54559/leshan-server-core/src/main/java/org/eclipse/leshan/server/security/DefaultAuthorizer.java,org.eclipse.leshan.server.security.DefaultAuthorizer,"DefaultAuthorizer/2[org.eclipse.leshan.server.security.SecurityStore,org.eclipse.leshan.server.security.SecurityChecker]",securityChecker,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/leshan_eb75fc8b7d5560944e6d532f1a09d5e5c6e54559/leshan-server-core/src/main/java/org/eclipse/leshan/server/security/DefaultAuthorizer.java,org.eclipse.leshan.server.security.DefaultAuthorizer,"DefaultAuthorizer/2[org.eclipse.leshan.server.security.SecurityStore,org.eclipse.leshan.server.security.SecurityChecker]",securityStore,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/leshan_eb75fc8b7d5560944e6d532f1a09d5e5c6e54559/leshan-server-core/src/main/java/org/eclipse/leshan/server/security/DefaultAuthorizer.java,org.eclipse.leshan.server.security.DefaultAuthorizer,"isAuthorized/3[org.eclipse.leshan.core.request.UplinkRequest<?>,org.eclipse.leshan.server.registration.Registration,org.eclipse.leshan.core.request.Identity]",securityChecker,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/leshan_eb75fc8b7d5560944e6d532f1a09d5e5c6e54559/leshan-server-core/src/main/java/org/eclipse/leshan/server/security/DefaultAuthorizer.java,org.eclipse.leshan.server.security.DefaultAuthorizer,"isAuthorized/3[org.eclipse.leshan.core.request.UplinkRequest<?>,org.eclipse.leshan.server.registration.Registration,org.eclipse.leshan.core.request.Identity]",securityStore,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/leshan_eb75fc8b7d5560944e6d532f1a09d5e5c6e54559/leshan-core/src/test/java/org/eclipse/leshan/core/node/codec/LwM2mNodeEncoderTest.java,org.eclipse.leshan.core.node.codec.LwM2mNodeEncoderTest,tlv_encode_device_object_instance_as_instance/0,ENCODED_DEVICE_WITH_INSTANCE,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/leshan_eb75fc8b7d5560944e6d532f1a09d5e5c6e54559/leshan-core/src/test/java/org/eclipse/leshan/core/node/codec/LwM2mNodeEncoderTest.java,org.eclipse.leshan.core.node.codec.LwM2mNodeEncoderTest,tlv_encode_device_object_instance_as_instance/0,model,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/leshan_eb75fc8b7d5560944e6d532f1a09d5e5c6e54559/leshan-core/src/test/java/org/eclipse/leshan/core/node/codec/LwM2mNodeEncoderTest.java,org.eclipse.leshan.core.node.codec.LwM2mNodeEncoderTest,tlv_encode_device_object_instance_as_instance/0,encoder,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/leshan_eb75fc8b7d5560944e6d532f1a09d5e5c6e54559/leshan-core/src/test/java/org/eclipse/leshan/core/node/codec/LwM2mNodeEncoderTest.java,org.eclipse.leshan.core.node.codec.LwM2mNodeEncoderTest,tlv_encode_device_object/0,ENCODED_DEVICE_WITH_INSTANCE,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/leshan_eb75fc8b7d5560944e6d532f1a09d5e5c6e54559/leshan-core/src/test/java/org/eclipse/leshan/core/node/codec/LwM2mNodeEncoderTest.java,org.eclipse.leshan.core.node.codec.LwM2mNodeEncoderTest,tlv_encode_device_object/0,model,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/leshan_eb75fc8b7d5560944e6d532f1a09d5e5c6e54559/leshan-core/src/test/java/org/eclipse/leshan/core/node/codec/LwM2mNodeEncoderTest.java,org.eclipse.leshan.core.node.codec.LwM2mNodeEncoderTest,tlv_encode_device_object/0,encoder,1
