file,class,method,variable,usage
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/litho_19503b819b97e17d02f584633508dca8c646911a/sample/src/main/java/com/facebook/samples/litho/animations/bounds/BoundsAnimationComponentSpec.java,com.facebook.samples.litho.animations.bounds.BoundsAnimationComponentSpec,"animate/2[com.facebook.litho.ComponentContext,boolean]",TRANSITION_KEY_CONTAINER_4_2,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/litho_19503b819b97e17d02f584633508dca8c646911a/sample/src/main/java/com/facebook/samples/litho/animations/bounds/BoundsAnimationComponentSpec.java,com.facebook.samples.litho.animations.bounds.BoundsAnimationComponentSpec,"animate/2[com.facebook.litho.ComponentContext,boolean]",TRANSITION_KEY_CONTAINER_1,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/litho_19503b819b97e17d02f584633508dca8c646911a/sample/src/main/java/com/facebook/samples/litho/animations/bounds/BoundsAnimationComponentSpec.java,com.facebook.samples.litho.animations.bounds.BoundsAnimationComponentSpec,"animate/2[com.facebook.litho.ComponentContext,boolean]",TRANSITION_KEY_CONTAINER_4_1,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/litho_19503b819b97e17d02f584633508dca8c646911a/sample/src/main/java/com/facebook/samples/litho/animations/bounds/BoundsAnimationComponentSpec.java,com.facebook.samples.litho.animations.bounds.BoundsAnimationComponentSpec,"animate/2[com.facebook.litho.ComponentContext,boolean]",TRANSITION_KEY_CHILD_1_1,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/litho_19503b819b97e17d02f584633508dca8c646911a/sample/src/main/java/com/facebook/samples/litho/animations/bounds/BoundsAnimationComponentSpec.java,com.facebook.samples.litho.animations.bounds.BoundsAnimationComponentSpec,"animate/2[com.facebook.litho.ComponentContext,boolean]",TRANSITION_KEY_CONTAINER_2,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/litho_19503b819b97e17d02f584633508dca8c646911a/sample/src/main/java/com/facebook/samples/litho/animations/bounds/BoundsAnimationComponentSpec.java,com.facebook.samples.litho.animations.bounds.BoundsAnimationComponentSpec,"animate/2[com.facebook.litho.ComponentContext,boolean]",TRANSITION_KEY_CHILD_1_2,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/litho_19503b819b97e17d02f584633508dca8c646911a/sample/src/main/java/com/facebook/samples/litho/animations/bounds/BoundsAnimationComponentSpec.java,com.facebook.samples.litho.animations.bounds.BoundsAnimationComponentSpec,"animate/2[com.facebook.litho.ComponentContext,boolean]",TRANSITION_KEY_CHILD_2_1,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/litho_19503b819b97e17d02f584633508dca8c646911a/sample/src/main/java/com/facebook/samples/litho/animations/bounds/BoundsAnimationComponentSpec.java,com.facebook.samples.litho.animations.bounds.BoundsAnimationComponentSpec,"animate/2[com.facebook.litho.ComponentContext,boolean]",TRANSITION_KEY_CONTAINER_3,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/litho_19503b819b97e17d02f584633508dca8c646911a/sample/src/main/java/com/facebook/samples/litho/animations/bounds/BoundsAnimationComponentSpec.java,com.facebook.samples.litho.animations.bounds.BoundsAnimationComponentSpec,"animate/2[com.facebook.litho.ComponentContext,boolean]",TRANSITION_KEY_CONTAINER_4,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/litho_19503b819b97e17d02f584633508dca8c646911a/sample/src/main/java/com/facebook/samples/litho/animations/bounds/BoundsAnimationComponentSpec.java,com.facebook.samples.litho.animations.bounds.BoundsAnimationComponentSpec,"animate/2[com.facebook.litho.ComponentContext,boolean]",TRANSITION_KEY_CHILD_4_1_1,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/litho_19503b819b97e17d02f584633508dca8c646911a/sample/src/main/java/com/facebook/samples/litho/animations/bounds/BoundsAnimationComponentSpec.java,com.facebook.samples.litho.animations.bounds.BoundsAnimationComponentSpec,"animate/2[com.facebook.litho.ComponentContext,boolean]",TRANSITION_KEY_CHILD_1_3,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/litho_19503b819b97e17d02f584633508dca8c646911a/sample/src/main/java/com/facebook/samples/litho/animations/bounds/BoundsAnimationComponentSpec.java,com.facebook.samples.litho.animations.bounds.BoundsAnimationComponentSpec,"animate/2[com.facebook.litho.ComponentContext,boolean]",TRANSITION_KEY_CHILD_2_2,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/litho_19503b819b97e17d02f584633508dca8c646911a/sample/src/main/java/com/facebook/samples/litho/animations/bounds/BoundsAnimationComponentSpec.java,com.facebook.samples.litho.animations.bounds.BoundsAnimationComponentSpec,"animate/2[com.facebook.litho.ComponentContext,boolean]",TRANSITION_KEY_CHILD_3_1,2
