file,class,method,variable,usage
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/mahout_b0cf1694e60f643e352182ea03744c34e96dbac4/community/mahout-mr/mr-examples/src/main/java/org/apache/mahout/cf/taste/example/kddcup/track1/EstimateConverter.java,org.apache.mahout.cf.taste.example.kddcup.track1.EstimateConverter,"convert/3[double,long,long]",log,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/mahout_b0cf1694e60f643e352182ea03744c34e96dbac4/community/mahout-mr/mr/src/main/java/org/apache/mahout/math/hadoop/TimesSquaredJob.java,org.apache.mahout.math.hadoop.TimesSquaredJob,"retrieveTimesSquaredOutputVector/2[org.apache.mahout.math.hadoop.Path,org.apache.mahout.math.hadoop.Configuration]",OUTPUT_VECTOR_FILENAME,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/mahout_b0cf1694e60f643e352182ea03744c34e96dbac4/community/mahout-mr/mr/src/main/java/org/apache/mahout/math/hadoop/TimesSquaredJob.java,org.apache.mahout.math.hadoop.TimesSquaredJob,"createTimesSquaredJob/7[org.apache.mahout.math.hadoop.Configuration,org.apache.mahout.math.hadoop.Vector,int,org.apache.mahout.math.hadoop.Path,org.apache.mahout.math.hadoop.Path,java.lang.Class<? extends org.apache.mahout.math.hadoop.TimesSquaredJob.TimesSquaredMapper>,java.lang.Class<? extends org.apache.mahout.math.hadoop.TimesSquaredJob.VectorSummingReducer>]",OUTPUT_VECTOR_DIMENSION,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/mahout_b0cf1694e60f643e352182ea03744c34e96dbac4/community/mahout-mr/mr/src/main/java/org/apache/mahout/math/hadoop/TimesSquaredJob.java,org.apache.mahout.math.hadoop.TimesSquaredJob,"createTimesSquaredJob/7[org.apache.mahout.math.hadoop.Configuration,org.apache.mahout.math.hadoop.Vector,int,org.apache.mahout.math.hadoop.Path,org.apache.mahout.math.hadoop.Path,java.lang.Class<? extends org.apache.mahout.math.hadoop.TimesSquaredJob.TimesSquaredMapper>,java.lang.Class<? extends org.apache.mahout.math.hadoop.TimesSquaredJob.VectorSummingReducer>]",OUTPUT_VECTOR_FILENAME,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/mahout_b0cf1694e60f643e352182ea03744c34e96dbac4/community/mahout-mr/mr/src/main/java/org/apache/mahout/math/hadoop/TimesSquaredJob.java,org.apache.mahout.math.hadoop.TimesSquaredJob,"createTimesSquaredJob/7[org.apache.mahout.math.hadoop.Configuration,org.apache.mahout.math.hadoop.Vector,int,org.apache.mahout.math.hadoop.Path,org.apache.mahout.math.hadoop.Path,java.lang.Class<? extends org.apache.mahout.math.hadoop.TimesSquaredJob.TimesSquaredMapper>,java.lang.Class<? extends org.apache.mahout.math.hadoop.TimesSquaredJob.VectorSummingReducer>]",INPUT_VECTOR,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/mahout_b0cf1694e60f643e352182ea03744c34e96dbac4/community/mahout-mr/mr/src/main/java/org/apache/mahout/math/hadoop/TimesSquaredJob.java,org.apache.mahout.math.hadoop.TimesSquaredJob,"createTimesSquaredJob/7[org.apache.mahout.math.hadoop.Configuration,org.apache.mahout.math.hadoop.Vector,int,org.apache.mahout.math.hadoop.Path,org.apache.mahout.math.hadoop.Path,java.lang.Class<? extends org.apache.mahout.math.hadoop.TimesSquaredJob.TimesSquaredMapper>,java.lang.Class<? extends org.apache.mahout.math.hadoop.TimesSquaredJob.VectorSummingReducer>]",IS_SPARSE_OUTPUT,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/mahout_b0cf1694e60f643e352182ea03744c34e96dbac4/community/mahout-mr/integration/src/main/java/org/apache/mahout/utils/vectors/arff/Driver.java,org.apache.mahout.utils.vectors.arff.Driver,main/1[java.lang.String[]],log,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/mahout_b0cf1694e60f643e352182ea03744c34e96dbac4/community/mahout-mr/integration/src/main/java/org/apache/mahout/utils/vectors/arff/Driver.java,org.apache.mahout.utils.vectors.arff.Driver,"writeLabelBindingsJSON/2[java.io.Writer,org.apache.mahout.utils.vectors.arff.ARFFModel]",OBJECT_MAPPER,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/mahout_b0cf1694e60f643e352182ea03744c34e96dbac4/community/mahout-mr/integration/src/main/java/org/apache/mahout/utils/vectors/arff/Driver.java,org.apache.mahout.utils.vectors.arff.Driver,"writeFile/7[java.lang.String,java.io.File,long,org.apache.mahout.utils.vectors.arff.ARFFModel,java.io.File,java.lang.String,boolean]",log,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/mahout_b0cf1694e60f643e352182ea03744c34e96dbac4/community/mahout-mr/mr/src/test/java/org/apache/mahout/common/MahoutTestCase.java,org.apache.mahout.common.MahoutTestCase,setUp/0,fs,1
