file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/manifoldcf_542db79eb8662c086e39ee7deac743da430f5714/framework/connector-common/src/test/java/org/apache/manifoldcf/connectorcommon/throttler/TestThrottler.java,org.apache.manifoldcf.connectorcommon.throttler.TestThrottler$ConnectionFromPoolEvent,innerclass,2,2,0,2,3,2,0,2,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,10,1,0,0,0,0,1,0,0,1,0,0,0,0,0,13,12,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/manifoldcf_542db79eb8662c086e39ee7deac743da430f5714/connectors/filesystem/connector/src/test/java/org/apache/manifoldcf/crawler/connectors/filesystem/tests/BigCrawlTester.java,org.apache.manifoldcf.crawler.connectors.filesystem.tests.BigCrawlTester,class,13,16,3,13,13,1,0,34,4,0.5,0.16666667,0.16666667,4,0,4,0,0,0,4,0,0,0,1,0,0,0,1,0,0,0,12,103,0,5,2,0,0,46,18,30,14,27,5,0,0,0,78,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/manifoldcf_542db79eb8662c086e39ee7deac743da430f5714/framework/pull-agent/src/main/java/org/apache/manifoldcf/crawler/interfaces/BlockingDocuments.java,org.apache.manifoldcf.crawler.interfaces.BlockingDocuments,class,1,7,6,1,4,1,0,7,1,0.6666667,0.33333334,0.33333334,3,0,3,0,0,0,3,0,0,2,2,1,1,0,1,0,1,0,0,14,2,0,1,0,0,1,1,3,0,3,1,0,0,0,75,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/manifoldcf_542db79eb8662c086e39ee7deac743da430f5714/connectors/filesystem/connector/src/test/java/org/apache/manifoldcf/crawler/connectors/filesystem/tests/BaseUIHSQLDB.java,org.apache.manifoldcf.crawler.connectors.filesystem.tests.BaseUIHSQLDB,class,1,3,2,1,6,2,2,0,15,0.0,0.0,0.0,6,0,2,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,20,4,0,0,0,0,4,0,0,0,0,0,0,0,0,24,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/manifoldcf_542db79eb8662c086e39ee7deac743da430f5714/connectors/alfresco/connector/src/main/java/org/apache/manifoldcf/crawler/connectors/alfresco/PropertiesUtils.java,org.apache.manifoldcf.crawler.connectors.alfresco.PropertiesUtils,class,3,6,3,3,51,1,0,25,21,0.85714287,0.0,0.0,7,7,7,0,0,0,7,0,0,0,4,4,0,4,0,0,4,0,6,138,8,6,13,0,0,6,12,35,1,26,6,0,0,0,101,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/manifoldcf_542db79eb8662c086e39ee7deac743da430f5714/framework/pull-agent/src/main/java/org/apache/manifoldcf/authorities/authority/AuthorityConnection.java,org.apache.manifoldcf.authorities.authority.AuthorityConnection,class,3,7,4,3,19,1,0,1,121,0.8631579,0.14619882,0.8947368,19,0,19,0,0,0,19,0,0,0,10,1,1,0,9,0,1,0,0,78,10,0,0,0,0,1,1,28,0,11,0,0,0,0,77,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/manifoldcf_542db79eb8662c086e39ee7deac743da430f5714/framework/pull-agent/src/main/java/org/apache/manifoldcf/authorities/system/MappingRequest.java,org.apache.manifoldcf.authorities.system.MappingRequest,class,1,6,5,1,11,1,0,2,24,0.80952376,0.16666667,0.2777778,9,0,9,0,0,0,9,0,0,0,7,1,1,0,6,0,3,0,0,46,7,0,0,0,0,1,0,10,0,7,2,0,0,0,71,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/manifoldcf_542db79eb8662c086e39ee7deac743da430f5714/connectors/filenet/connector/src/main/java/org/apache/manifoldcf/crawler/connectors/filenet/FilenetConnector.java,org.apache.manifoldcf.crawler.connectors.filenet.FilenetConnector$GetDocumentClassesMetadataFieldsInfoThread,innerclass,3,3,0,3,9,2,0,6,0,0.33333334,0.6666667,1.0,3,0,3,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,0,30,1,0,1,1,0,2,0,6,1,4,5,0,0,0,29,4,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/manifoldcf_542db79eb8662c086e39ee7deac743da430f5714/framework/pull-agent/src/main/java/org/apache/manifoldcf/crawler/jobs/JobManager.java,org.apache.manifoldcf.crawler.jobs.JobManager,class,62,64,2,62,1075,1,0,458,516,0.9323045,0.47616386,0.5867784,180,8,134,0,46,0,180,0,0,0,27,11,1,1,25,0,25,0,518,5367,113,207,241,77,50,1154,471,1290,370,983,6,0,6,0,1163,1,188
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/manifoldcf_542db79eb8662c086e39ee7deac743da430f5714/connectors/webcrawler/connector/src/test/java/org/apache/manifoldcf/crawler/connectors/webcrawler/tests/DocumentContentExclusionHSQLDBIT.java,org.apache.manifoldcf.crawler.connectors.webcrawler.tests.DocumentContentExclusionHSQLDBIT,class,28,29,1,28,16,4,0,54,9,0.75000006,0.33333334,0.33333334,10,0,3,7,0,0,3,0,0,0,10,6,3,6,0,1,5,0,1,150,3,2,2,1,0,34,16,34,6,30,2,0,1,0,108,1,0
