file,class,method,variable,usage
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/marmotta_28c9b8b0791ea1693578af302981a1358e56933d/libraries/ldpath/ldpath-functions-json/src/test/java/org/apache/marmotta/ldpath/model/functions/json/JsonPathFunctionTest.java,org.apache.marmotta.ldpath.model.functions.json.JsonPathFunctionTest,testJsonPathFunction/0,path,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/marmotta_28c9b8b0791ea1693578af302981a1358e56933d/libraries/ldpath/ldpath-functions-json/src/test/java/org/apache/marmotta/ldpath/model/functions/json/JsonPathFunctionTest.java,org.apache.marmotta.ldpath.model.functions.json.JsonPathFunctionTest,testJsonPathFunction/0,answer,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/marmotta_28c9b8b0791ea1693578af302981a1358e56933d/libraries/ldpath/ldpath-core/src/main/java/org/apache/marmotta/ldpath/model/tests/OrTest.java,org.apache.marmotta.ldpath.model.tests.OrTest,"OrTest/2[org.apache.marmotta.ldpath.api.tests.NodeTest<Node>,org.apache.marmotta.ldpath.api.tests.NodeTest<Node>]",left,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/marmotta_28c9b8b0791ea1693578af302981a1358e56933d/libraries/ldpath/ldpath-core/src/main/java/org/apache/marmotta/ldpath/model/tests/OrTest.java,org.apache.marmotta.ldpath.model.tests.OrTest,"OrTest/2[org.apache.marmotta.ldpath.api.tests.NodeTest<Node>,org.apache.marmotta.ldpath.api.tests.NodeTest<Node>]",right,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/marmotta_28c9b8b0791ea1693578af302981a1358e56933d/libraries/ldpath/ldpath-core/src/main/java/org/apache/marmotta/ldpath/model/tests/OrTest.java,org.apache.marmotta.ldpath.model.tests.OrTest,"accept/3[org.apache.marmotta.ldpath.api.backend.RDFBackend<Node>,Node,Node]",left,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/marmotta_28c9b8b0791ea1693578af302981a1358e56933d/libraries/ldpath/ldpath-core/src/main/java/org/apache/marmotta/ldpath/model/tests/OrTest.java,org.apache.marmotta.ldpath.model.tests.OrTest,"accept/3[org.apache.marmotta.ldpath.api.backend.RDFBackend<Node>,Node,Node]",right,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/marmotta_28c9b8b0791ea1693578af302981a1358e56933d/libraries/ldpath/ldpath-core/src/main/java/org/apache/marmotta/ldpath/model/tests/OrTest.java,org.apache.marmotta.ldpath.model.tests.OrTest,hashCode/0,left,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/marmotta_28c9b8b0791ea1693578af302981a1358e56933d/libraries/ldpath/ldpath-core/src/main/java/org/apache/marmotta/ldpath/model/tests/OrTest.java,org.apache.marmotta.ldpath.model.tests.OrTest,hashCode/0,right,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/marmotta_28c9b8b0791ea1693578af302981a1358e56933d/libraries/ldpath/ldpath-core/src/main/java/org/apache/marmotta/ldpath/model/tests/OrTest.java,org.apache.marmotta.ldpath.model.tests.OrTest,getPathExpression/1[org.apache.marmotta.ldpath.api.backend.NodeBackend<Node>],left,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/marmotta_28c9b8b0791ea1693578af302981a1358e56933d/libraries/ldpath/ldpath-core/src/main/java/org/apache/marmotta/ldpath/model/tests/OrTest.java,org.apache.marmotta.ldpath.model.tests.OrTest,getPathExpression/1[org.apache.marmotta.ldpath.api.backend.NodeBackend<Node>],right,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/marmotta_28c9b8b0791ea1693578af302981a1358e56933d/libraries/ldpath/ldpath-core/src/main/java/org/apache/marmotta/ldpath/model/tests/OrTest.java,org.apache.marmotta.ldpath.model.tests.OrTest,getLeft/0,left,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/marmotta_28c9b8b0791ea1693578af302981a1358e56933d/libraries/ldpath/ldpath-core/src/main/java/org/apache/marmotta/ldpath/model/tests/OrTest.java,org.apache.marmotta.ldpath.model.tests.OrTest,getRight/0,right,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/marmotta_28c9b8b0791ea1693578af302981a1358e56933d/libraries/ldpath/ldpath-core/src/main/java/org/apache/marmotta/ldpath/model/tests/OrTest.java,org.apache.marmotta.ldpath.model.tests.OrTest,equals/1[java.lang.Object],left,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/marmotta_28c9b8b0791ea1693578af302981a1358e56933d/libraries/ldpath/ldpath-core/src/main/java/org/apache/marmotta/ldpath/model/tests/OrTest.java,org.apache.marmotta.ldpath.model.tests.OrTest,equals/1[java.lang.Object],right,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/marmotta_28c9b8b0791ea1693578af302981a1358e56933d/libraries/ostrich/client/src/main/java/org/apache/marmotta/ostrich/sail/OstrichSailConnection.java,org.apache.marmotta.ostrich.sail.OstrichSailConnection$CMarmottaTripleSource,"getStatements/4[org.apache.marmotta.ostrich.model.Resource,org.apache.marmotta.ostrich.model.URI,org.apache.marmotta.ostrich.model.Value,org.apache.marmotta.ostrich.model.Resource[]]",inferred,1
