file,class,method,variable,usage
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/meecrowave_d1392c88faf48c8a3a3c544949d6ebcdfbd25229/meecrowave-jta/src/main/java/org/apache/meecrowave/jta/TransactionContext.java,org.apache.meecrowave.jta.TransactionContext$BeanInstanceBag,create/1[org.apache.meecrowave.jta.Contextual<T>],beanInstance,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/meecrowave_d1392c88faf48c8a3a3c544949d6ebcdfbd25229/meecrowave-jta/src/main/java/org/apache/meecrowave/jta/TransactionContext.java,org.apache.meecrowave.jta.TransactionContext$BeanInstanceBag,create/1[org.apache.meecrowave.jta.Contextual<T>],beanCreationalContext,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/meecrowave_d1392c88faf48c8a3a3c544949d6ebcdfbd25229/meecrowave-jta/src/main/java/org/apache/meecrowave/jta/TransactionContext.java,org.apache.meecrowave.jta.TransactionContext$BeanInstanceBag,BeanInstanceBag/1[org.apache.meecrowave.jta.CreationalContext<T>],beanCreationalContext,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/meecrowave_d1392c88faf48c8a3a3c544949d6ebcdfbd25229/meecrowave-core/src/main/java/org/apache/meecrowave/cxf/MeecrowaveClientLifecycleListener.java,org.apache.meecrowave.cxf.MeecrowaveClientLifecycleListener,MeecrowaveClientLifecycleListener/0,delegate,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/meecrowave_d1392c88faf48c8a3a3c544949d6ebcdfbd25229/meecrowave-core/src/main/java/org/apache/meecrowave/cxf/MeecrowaveClientLifecycleListener.java,org.apache.meecrowave.cxf.MeecrowaveClientLifecycleListener,MeecrowaveClientLifecycleListener/0,instance,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/meecrowave_d1392c88faf48c8a3a3c544949d6ebcdfbd25229/meecrowave-core/src/main/java/org/apache/meecrowave/cxf/MeecrowaveClientLifecycleListener.java,org.apache.meecrowave.cxf.MeecrowaveClientLifecycleListener,MeecrowaveClientLifecycleListener/0,getReadersWriters,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/meecrowave_d1392c88faf48c8a3a3c544949d6ebcdfbd25229/meecrowave-core/src/main/java/org/apache/meecrowave/cxf/MeecrowaveClientLifecycleListener.java,org.apache.meecrowave.cxf.MeecrowaveClientLifecycleListener,clientDestroyed/1[org.apache.meecrowave.cxf.Client],delegate,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/meecrowave_d1392c88faf48c8a3a3c544949d6ebcdfbd25229/meecrowave-core/src/main/java/org/apache/meecrowave/cxf/MeecrowaveClientLifecycleListener.java,org.apache.meecrowave.cxf.MeecrowaveClientLifecycleListener,clientDestroyed/1[org.apache.meecrowave.cxf.Client],instance,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/meecrowave_d1392c88faf48c8a3a3c544949d6ebcdfbd25229/meecrowave-core/src/main/java/org/apache/meecrowave/cxf/MeecrowaveClientLifecycleListener.java,org.apache.meecrowave.cxf.MeecrowaveClientLifecycleListener,clientDestroyed/1[org.apache.meecrowave.cxf.Client],getReadersWriters,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/meecrowave_d1392c88faf48c8a3a3c544949d6ebcdfbd25229/meecrowave-core/src/main/java/org/apache/meecrowave/tomcat/MeecrowaveContextConfig.java,org.apache.meecrowave.tomcat.MeecrowaveContextConfig,getGlobalWebXmlSource/0,DEFAULT_WEB_XML,1
