file,class,method,variable,usage
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/metamodel_ccafcf27f4e3be03dad42791d4c1a31038433925/core/src/main/java/org/apache/metamodel/schema/builder/SimpleTableDefSchemaBuilder.java,org.apache.metamodel.schema.builder.SimpleTableDefSchemaBuilder,"SimpleTableDefSchemaBuilder/2[java.lang.String,org.apache.metamodel.schema.builder.SimpleTableDef[]]",_schemaName,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/metamodel_ccafcf27f4e3be03dad42791d4c1a31038433925/core/src/main/java/org/apache/metamodel/schema/builder/SimpleTableDefSchemaBuilder.java,org.apache.metamodel.schema.builder.SimpleTableDefSchemaBuilder,"SimpleTableDefSchemaBuilder/2[java.lang.String,org.apache.metamodel.schema.builder.SimpleTableDef[]]",_simpleTableDefs,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/metamodel_ccafcf27f4e3be03dad42791d4c1a31038433925/core/src/main/java/org/apache/metamodel/schema/builder/SimpleTableDefSchemaBuilder.java,org.apache.metamodel.schema.builder.SimpleTableDefSchemaBuilder,getSchemaName/0,_schemaName,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/metamodel_ccafcf27f4e3be03dad42791d4c1a31038433925/core/src/main/java/org/apache/metamodel/schema/builder/SimpleTableDefSchemaBuilder.java,org.apache.metamodel.schema.builder.SimpleTableDefSchemaBuilder,build/0,_schemaName,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/metamodel_ccafcf27f4e3be03dad42791d4c1a31038433925/core/src/main/java/org/apache/metamodel/schema/builder/SimpleTableDefSchemaBuilder.java,org.apache.metamodel.schema.builder.SimpleTableDefSchemaBuilder,build/0,_simpleTableDefs,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/metamodel_ccafcf27f4e3be03dad42791d4c1a31038433925/xml/src/main/java/org/apache/metamodel/xml/XmlSaxTableDef.java,org.apache.metamodel.xml.XmlSaxTableDef,"XmlSaxTableDef/2[java.lang.String,java.lang.String[]]",_valueXpaths,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/metamodel_ccafcf27f4e3be03dad42791d4c1a31038433925/xml/src/main/java/org/apache/metamodel/xml/XmlSaxTableDef.java,org.apache.metamodel.xml.XmlSaxTableDef,"XmlSaxTableDef/2[java.lang.String,java.lang.String[]]",_rowXpath,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/metamodel_ccafcf27f4e3be03dad42791d4c1a31038433925/xml/src/main/java/org/apache/metamodel/xml/XmlSaxTableDef.java,org.apache.metamodel.xml.XmlSaxTableDef,getRowXpath/0,_rowXpath,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/metamodel_ccafcf27f4e3be03dad42791d4c1a31038433925/xml/src/main/java/org/apache/metamodel/xml/XmlSaxTableDef.java,org.apache.metamodel.xml.XmlSaxTableDef,getValueXpaths/0,_valueXpaths,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/metamodel_ccafcf27f4e3be03dad42791d4c1a31038433925/xml/src/main/java/org/apache/metamodel/xml/XmlSaxTableDef.java,org.apache.metamodel.xml.XmlSaxTableDef,equals/1[java.lang.Object],_valueXpaths,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/metamodel_ccafcf27f4e3be03dad42791d4c1a31038433925/xml/src/main/java/org/apache/metamodel/xml/XmlSaxTableDef.java,org.apache.metamodel.xml.XmlSaxTableDef,equals/1[java.lang.Object],_rowXpath,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/metamodel_ccafcf27f4e3be03dad42791d4c1a31038433925/xml/src/main/java/org/apache/metamodel/xml/XmlSaxTableDef.java,org.apache.metamodel.xml.XmlSaxTableDef,toString/0,_valueXpaths,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/metamodel_ccafcf27f4e3be03dad42791d4c1a31038433925/xml/src/main/java/org/apache/metamodel/xml/XmlSaxTableDef.java,org.apache.metamodel.xml.XmlSaxTableDef,toString/0,_rowXpath,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/metamodel_ccafcf27f4e3be03dad42791d4c1a31038433925/xml/src/main/java/org/apache/metamodel/xml/XmlSaxTableDef.java,org.apache.metamodel.xml.XmlSaxTableDef,hashCode/0,_rowXpath,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/metamodel_ccafcf27f4e3be03dad42791d4c1a31038433925/mongodb/mongo2/src/main/java/org/apache/metamodel/mongodb/mongo2/MongoDbDataSet.java,org.apache.metamodel.mongodb.mongo2.MongoDbDataSet,isQueryPostProcessed/0,_queryPostProcessed,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/metamodel_ccafcf27f4e3be03dad42791d4c1a31038433925/mongodb/mongo2/src/main/java/org/apache/metamodel/mongodb/mongo2/MongoDbDataSet.java,org.apache.metamodel.mongodb.mongo2.MongoDbDataSet,next/0,_cursor,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/metamodel_ccafcf27f4e3be03dad42791d4c1a31038433925/mongodb/mongo2/src/main/java/org/apache/metamodel/mongodb/mongo2/MongoDbDataSet.java,org.apache.metamodel.mongodb.mongo2.MongoDbDataSet,next/0,_dbObject,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/metamodel_ccafcf27f4e3be03dad42791d4c1a31038433925/mongodb/mongo2/src/main/java/org/apache/metamodel/mongodb/mongo2/MongoDbDataSet.java,org.apache.metamodel.mongodb.mongo2.MongoDbDataSet,"MongoDbDataSet/3[org.apache.metamodel.mongodb.mongo2.DBCursor,java.util.List<org.apache.metamodel.query.SelectItem>,boolean]",_queryPostProcessed,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/metamodel_ccafcf27f4e3be03dad42791d4c1a31038433925/mongodb/mongo2/src/main/java/org/apache/metamodel/mongodb/mongo2/MongoDbDataSet.java,org.apache.metamodel.mongodb.mongo2.MongoDbDataSet,"MongoDbDataSet/3[org.apache.metamodel.mongodb.mongo2.DBCursor,java.util.List<org.apache.metamodel.query.SelectItem>,boolean]",_cursor,1
