file,class,method,variable,usage
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/metamodel_ccafcf27f4e3be03dad42791d4c1a31038433925/core/src/main/java/org/apache/metamodel/schema/builder/SimpleTableDefSchemaBuilder.java,org.apache.metamodel.schema.builder.SimpleTableDefSchemaBuilder,offerSources/1[org.apache.metamodel.schema.builder.DocumentSourceProvider],documentSource,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/metamodel_ccafcf27f4e3be03dad42791d4c1a31038433925/core/src/main/java/org/apache/metamodel/schema/builder/SimpleTableDefSchemaBuilder.java,org.apache.metamodel.schema.builder.SimpleTableDefSchemaBuilder,"SimpleTableDefSchemaBuilder/2[java.lang.String,org.apache.metamodel.schema.builder.SimpleTableDef[]]",simpleTableDefs,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/metamodel_ccafcf27f4e3be03dad42791d4c1a31038433925/core/src/main/java/org/apache/metamodel/schema/builder/SimpleTableDefSchemaBuilder.java,org.apache.metamodel.schema.builder.SimpleTableDefSchemaBuilder,"SimpleTableDefSchemaBuilder/2[java.lang.String,org.apache.metamodel.schema.builder.SimpleTableDef[]]",schemaName,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/metamodel_ccafcf27f4e3be03dad42791d4c1a31038433925/core/src/main/java/org/apache/metamodel/schema/builder/SimpleTableDefSchemaBuilder.java,org.apache.metamodel.schema.builder.SimpleTableDefSchemaBuilder,getDocumentConverter/1[org.apache.metamodel.schema.Table],table,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/metamodel_ccafcf27f4e3be03dad42791d4c1a31038433925/core/src/main/java/org/apache/metamodel/schema/builder/SimpleTableDefSchemaBuilder.java,org.apache.metamodel.schema.builder.SimpleTableDefSchemaBuilder,build/0,schema,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/metamodel_ccafcf27f4e3be03dad42791d4c1a31038433925/core/src/main/java/org/apache/metamodel/schema/builder/SimpleTableDefSchemaBuilder.java,org.apache.metamodel.schema.builder.SimpleTableDefSchemaBuilder,build/0,simpleTableDef,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/metamodel_ccafcf27f4e3be03dad42791d4c1a31038433925/core/src/main/java/org/apache/metamodel/schema/builder/SimpleTableDefSchemaBuilder.java,org.apache.metamodel.schema.builder.SimpleTableDefSchemaBuilder,build/0,table,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/metamodel_ccafcf27f4e3be03dad42791d4c1a31038433925/jdbc/src/test/java/org/apache/metamodel/jdbc/integrationtests/FirebirdTest.java,org.apache.metamodel.jdbc.integrationtests.FirebirdTest,testGetSchemas/0,schema,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/metamodel_ccafcf27f4e3be03dad42791d4c1a31038433925/jdbc/src/test/java/org/apache/metamodel/jdbc/integrationtests/FirebirdTest.java,org.apache.metamodel.jdbc.integrationtests.FirebirdTest,testGetSchemas/0,schemas,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/metamodel_ccafcf27f4e3be03dad42791d4c1a31038433925/jdbc/src/test/java/org/apache/metamodel/jdbc/integrationtests/FirebirdTest.java,org.apache.metamodel.jdbc.integrationtests.FirebirdTest,testGetSchemas/0,dataContext,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/metamodel_ccafcf27f4e3be03dad42791d4c1a31038433925/jdbc/src/test/java/org/apache/metamodel/jdbc/integrationtests/FirebirdTest.java,org.apache.metamodel.jdbc.integrationtests.FirebirdTest,testGetSchemas/0,rel,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/metamodel_ccafcf27f4e3be03dad42791d4c1a31038433925/jdbc/src/test/java/org/apache/metamodel/jdbc/integrationtests/FirebirdTest.java,org.apache.metamodel.jdbc.integrationtests.FirebirdTest,testGetSchemas/0,referenceRelationStrings,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/metamodel_ccafcf27f4e3be03dad42791d4c1a31038433925/jdbc/src/test/java/org/apache/metamodel/jdbc/integrationtests/FirebirdTest.java,org.apache.metamodel.jdbc.integrationtests.FirebirdTest,testGetSchemas/0,relationStrings,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/metamodel_ccafcf27f4e3be03dad42791d4c1a31038433925/jdbc/src/test/java/org/apache/metamodel/jdbc/integrationtests/FirebirdTest.java,org.apache.metamodel.jdbc.integrationtests.FirebirdTest,testExecuteQuery/0,schema,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/metamodel_ccafcf27f4e3be03dad42791d4c1a31038433925/jdbc/src/test/java/org/apache/metamodel/jdbc/integrationtests/FirebirdTest.java,org.apache.metamodel.jdbc.integrationtests.FirebirdTest,testExecuteQuery/0,date,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/metamodel_ccafcf27f4e3be03dad42791d4c1a31038433925/jdbc/src/test/java/org/apache/metamodel/jdbc/integrationtests/FirebirdTest.java,org.apache.metamodel.jdbc.integrationtests.FirebirdTest,testExecuteQuery/0,q,4
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/metamodel_ccafcf27f4e3be03dad42791d4c1a31038433925/jdbc/src/test/java/org/apache/metamodel/jdbc/integrationtests/FirebirdTest.java,org.apache.metamodel.jdbc.integrationtests.FirebirdTest,testExecuteQuery/0,departmentTable,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/metamodel_ccafcf27f4e3be03dad42791d4c1a31038433925/jdbc/src/test/java/org/apache/metamodel/jdbc/integrationtests/FirebirdTest.java,org.apache.metamodel.jdbc.integrationtests.FirebirdTest,testExecuteQuery/0,data,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/metamodel_ccafcf27f4e3be03dad42791d4c1a31038433925/jdbc/src/test/java/org/apache/metamodel/jdbc/integrationtests/FirebirdTest.java,org.apache.metamodel.jdbc.integrationtests.FirebirdTest,testExecuteQuery/0,employeeTable,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/metamodel_ccafcf27f4e3be03dad42791d4c1a31038433925/jdbc/src/test/java/org/apache/metamodel/jdbc/integrationtests/FirebirdTest.java,org.apache.metamodel.jdbc.integrationtests.FirebirdTest,testExecuteQuery/0,dataContext,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/metamodel_ccafcf27f4e3be03dad42791d4c1a31038433925/jdbc/src/test/java/org/apache/metamodel/jdbc/integrationtests/FirebirdTest.java,org.apache.metamodel.jdbc.integrationtests.FirebirdTest,testExecuteQuery/0,tableModel,4
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/metamodel_ccafcf27f4e3be03dad42791d4c1a31038433925/xml/src/main/java/org/apache/metamodel/xml/XmlSaxTableDef.java,org.apache.metamodel.xml.XmlSaxTableDef,"XmlSaxTableDef/2[java.lang.String,java.lang.String[]]",rowXpath,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/metamodel_ccafcf27f4e3be03dad42791d4c1a31038433925/xml/src/main/java/org/apache/metamodel/xml/XmlSaxTableDef.java,org.apache.metamodel.xml.XmlSaxTableDef,"XmlSaxTableDef/2[java.lang.String,java.lang.String[]]",valueXpaths,1
