file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/mina_daf2a33fed5fccb096ce75ab9263ec9a48561942/protobuf/src/main/java/org/apache/mina/codec/delimited/ProtobufEncoder.java,org.apache.mina.codec.delimited.ProtobufEncoder,newInstance/1[java.lang.Class<L>],false,36,2,2,1,1,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/mina_daf2a33fed5fccb096ce75ab9263ec9a48561942/protobuf/src/main/java/org/apache/mina/codec/delimited/ProtobufEncoder.java,org.apache.mina.codec.delimited.ProtobufEncoder,ProtobufEncoder/1[java.lang.Class<INPUT>],true,40,3,3,0,3,1,2,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/mina_daf2a33fed5fccb096ce75ab9263ec9a48561942/protobuf/src/test/java/org/apache/mina/generated/protoc/AddressBookProtos.java,org.apache.mina.generated.protoc.AddressBookProtos$Person$PhoneNumber,getNumberBytes/0,false,491,2,2,2,0,2,1,11,2,2,0,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,10,1,0,true
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/mina_daf2a33fed5fccb096ce75ab9263ec9a48561942/protobuf/src/test/java/org/apache/mina/generated/protoc/AddressBookProtos.java,org.apache.mina.generated.protoc.AddressBookProtos$Person$PhoneNumber,writeReplace/0,false,575,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/mina_daf2a33fed5fccb096ce75ab9263ec9a48561942/protobuf/src/test/java/org/apache/mina/generated/protoc/AddressBookProtos.java,org.apache.mina.generated.protoc.AddressBookProtos$Person$PhoneNumber,hasType/0,false,511,0,1,1,0,2,0,3,1,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,9,1,0,true
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/mina_daf2a33fed5fccb096ce75ab9263ec9a48561942/protobuf/src/test/java/org/apache/mina/generated/protoc/AddressBookProtos.java,org.apache.mina.generated.protoc.AddressBookProtos$Person$PhoneNumber,(initializer 1),false,909,1,9,0,9,1,1,4,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,5,8,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/mina_daf2a33fed5fccb096ce75ab9263ec9a48561942/protobuf/src/test/java/org/apache/mina/generated/protoc/AddressBookProtos.java,org.apache.mina.generated.protoc.AddressBookProtos$Person$PhoneNumber,parseDelimitedFrom/1[java.io.InputStream],false,613,1,0,0,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/mina_daf2a33fed5fccb096ce75ab9263ec9a48561942/protobuf/src/test/java/org/apache/mina/generated/protoc/AddressBookProtos.java,org.apache.mina.generated.protoc.AddressBookProtos$Person$PhoneNumber,getDefaultInstance/0,false,367,1,5,5,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/mina_daf2a33fed5fccb096ce75ab9263ec9a48561942/protobuf/src/test/java/org/apache/mina/generated/protoc/AddressBookProtos.java,org.apache.mina.generated.protoc.AddressBookProtos$Person$PhoneNumber,initFields/0,false,522,0,2,2,0,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,5,2,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/mina_daf2a33fed5fccb096ce75ab9263ec9a48561942/protobuf/src/test/java/org/apache/mina/generated/protoc/AddressBookProtos.java,org.apache.mina.generated.protoc.AddressBookProtos$Person$PhoneNumber,PhoneNumber/1[boolean],true,361,0,2,2,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,2,0,false
