file,class,method,variable,usage
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/nifi-registry_563bfeda9766b7fe9d4480c55ac7212679db10c8/nifi-registry-core/nifi-registry-web-api/src/main/java/org/apache/nifi/registry/web/api/ItemResource.java,org.apache.nifi.registry.web.api.ItemResource,"ItemResource/5[org.apache.nifi.registry.web.api.RegistryService,org.apache.nifi.registry.web.link.LinkService,org.apache.nifi.registry.web.security.PermissionsService,org.apache.nifi.registry.web.api.AuthorizationService,org.apache.nifi.registry.web.api.EventService]",linkService,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/nifi-registry_563bfeda9766b7fe9d4480c55ac7212679db10c8/nifi-registry-core/nifi-registry-web-api/src/main/java/org/apache/nifi/registry/web/api/ItemResource.java,org.apache.nifi.registry.web.api.ItemResource,"ItemResource/5[org.apache.nifi.registry.web.api.RegistryService,org.apache.nifi.registry.web.link.LinkService,org.apache.nifi.registry.web.security.PermissionsService,org.apache.nifi.registry.web.api.AuthorizationService,org.apache.nifi.registry.web.api.EventService]",registryService,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/nifi-registry_563bfeda9766b7fe9d4480c55ac7212679db10c8/nifi-registry-core/nifi-registry-web-api/src/main/java/org/apache/nifi/registry/web/api/ItemResource.java,org.apache.nifi.registry.web.api.ItemResource,"ItemResource/5[org.apache.nifi.registry.web.api.RegistryService,org.apache.nifi.registry.web.link.LinkService,org.apache.nifi.registry.web.security.PermissionsService,org.apache.nifi.registry.web.api.AuthorizationService,org.apache.nifi.registry.web.api.EventService]",permissionsService,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/nifi-registry_563bfeda9766b7fe9d4480c55ac7212679db10c8/nifi-registry-core/nifi-registry-web-api/src/main/java/org/apache/nifi/registry/web/api/ItemResource.java,org.apache.nifi.registry.web.api.ItemResource,getItems/0,linkService,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/nifi-registry_563bfeda9766b7fe9d4480c55ac7212679db10c8/nifi-registry-core/nifi-registry-web-api/src/main/java/org/apache/nifi/registry/web/api/ItemResource.java,org.apache.nifi.registry.web.api.ItemResource,getItems/0,registryService,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/nifi-registry_563bfeda9766b7fe9d4480c55ac7212679db10c8/nifi-registry-core/nifi-registry-web-api/src/main/java/org/apache/nifi/registry/web/api/ItemResource.java,org.apache.nifi.registry.web.api.ItemResource,getItems/0,permissionsService,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/nifi-registry_563bfeda9766b7fe9d4480c55ac7212679db10c8/nifi-registry-core/nifi-registry-web-api/src/main/java/org/apache/nifi/registry/web/api/ItemResource.java,org.apache.nifi.registry.web.api.ItemResource,getItems/1[java.lang.String],linkService,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/nifi-registry_563bfeda9766b7fe9d4480c55ac7212679db10c8/nifi-registry-core/nifi-registry-web-api/src/main/java/org/apache/nifi/registry/web/api/ItemResource.java,org.apache.nifi.registry.web.api.ItemResource,getItems/1[java.lang.String],registryService,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/nifi-registry_563bfeda9766b7fe9d4480c55ac7212679db10c8/nifi-registry-core/nifi-registry-web-api/src/main/java/org/apache/nifi/registry/web/api/ItemResource.java,org.apache.nifi.registry.web.api.ItemResource,getItems/1[java.lang.String],permissionsService,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/nifi-registry_563bfeda9766b7fe9d4480c55ac7212679db10c8/nifi-registry-core/nifi-registry-web-api/src/main/java/org/apache/nifi/registry/web/api/ItemResource.java,org.apache.nifi.registry.web.api.ItemResource,getAvailableBucketItemFields/0,registryService,1
