file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ode_b2ddc6436891f84f716ffcbed8c1cd1e374bd805/bpel-dao/src/main/java/org/apache/ode/bpel/dao/PartnerLinkDAO.java,org.apache.ode.bpel.dao.PartnerLinkDAO,interface,1,12,11,1,14,1,0,0,91,0.0,0.0,0.0,14,0,14,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ode_b2ddc6436891f84f716ffcbed8c1cd1e374bd805/bpel-api/src/main/java/org/apache/ode/bpel/evt/ActivityExecEndEvent.java,org.apache.ode.bpel.evt.ActivityExecEndEvent,class,1,1,0,1,0,6,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,3,0,0,0,0,0,0,1,1,0,1,0,0,0,0,16,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ode_b2ddc6436891f84f716ffcbed8c1cd1e374bd805/bpel-compiler/src/main/java/org/apache/ode/bpel/compiler/bom/AssignActivity.java,org.apache.ode.bpel.compiler.bom.AssignActivity,class,6,10,4,6,7,3,0,2,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,23,3,1,0,0,2,0,0,2,0,2,2,0,1,0,50,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ode_b2ddc6436891f84f716ffcbed8c1cd1e374bd805/dao-hibernate/src/main/java/org/apache/ode/daohib/bpel/CorrelatorDaoImpl.java,org.apache.ode.daohib.bpel.CorrelatorDaoImpl,class,23,27,4,23,44,2,0,59,5,0.8367347,0.6515151,0.8333333,14,0,12,2,0,0,12,0,0,0,7,6,0,6,0,1,5,0,0,201,9,8,4,4,6,61,12,39,9,35,4,0,0,0,134,0,14
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ode_b2ddc6436891f84f716ffcbed8c1cd1e374bd805/dao-jpa/src/main/java/org/apache/ode/dao/jpa/MessageExchangeDAOImpl.java,org.apache.ode.dao.jpa.MessageExchangeDAOImpl,class,31,37,6,31,78,2,0,24,1762,0.9683057,0.018579235,0.019125683,61,0,59,0,0,2,61,0,0,0,30,3,2,28,0,0,3,0,3,236,32,2,9,1,0,33,3,34,0,32,2,0,0,0,137,1,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ode_b2ddc6436891f84f716ffcbed8c1cd1e374bd805/bpel-test/src/test/java/org/apache/ode/test/ExtensibilityTest.java,org.apache.ode.test.ExtensibilityTest,class,9,9,0,9,7,3,0,11,1,0.2857143,0.47619048,0.47619048,7,0,7,0,0,0,7,0,0,0,1,0,0,1,0,0,0,0,0,89,0,0,0,0,0,9,0,6,0,3,0,0,3,0,43,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ode_b2ddc6436891f84f716ffcbed8c1cd1e374bd805/jca-ra/src/main/java/org/apache/ode/ra/ServiceProviderSession.java,org.apache.ode.ra.ServiceProviderSession,interface,0,1,1,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ode_b2ddc6436891f84f716ffcbed8c1cd1e374bd805/bpel-store/src/main/java/org/apache/ode/store/DeploymentUnitDAO.java,org.apache.ode.store.DeploymentUnitDAO,interface,1,16,15,1,9,1,0,0,36,0.0,0.0,0.0,9,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ode_b2ddc6436891f84f716ffcbed8c1cd1e374bd805/bpel-api/src/main/java/org/apache/ode/bpel/common/Filter.java,org.apache.ode.bpel.common.Filter$Anonymous1,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ode_b2ddc6436891f84f716ffcbed8c1cd1e374bd805/bpel-api/src/main/java/org/apache/ode/bpel/common/OptionalCorrelationKey.java,org.apache.ode.bpel.common.OptionalCorrelationKey,class,2,4,2,2,3,2,0,7,3,1.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,1,0,1,0,0,1,0,1,18,1,0,0,0,0,3,1,2,0,2,0,0,0,0,50,1,0
