file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ofbiz-framework_b1304439219bb04c396f5d000bec9c5fbb194b59/framework/service/src/main/java/org/apache/ofbiz/service/ExecutionServiceException.java,org.apache.ofbiz.service.ExecutionServiceException,class,1,2,1,1,4,3,0,0,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ofbiz-framework_b1304439219bb04c396f5d000bec9c5fbb194b59/applications/product/src/main/java/org/apache/ofbiz/product/promo/PromoServices.java,org.apache.ofbiz.product.promo.PromoServices,class,10,11,1,10,43,1,0,57,0,0.25,1.0,1.0,4,4,4,0,0,0,4,0,0,0,3,3,0,3,0,0,3,0,4,227,17,5,10,9,3,68,8,64,9,53,6,0,0,0,123,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ofbiz-framework_b1304439219bb04c396f5d000bec9c5fbb194b59/framework/minilang/src/main/java/org/apache/ofbiz/minilang/method/entityops/TransactionCommit.java,org.apache.ofbiz.minilang.method.entityops.TransactionCommit$TransactionCommitFactory,innerclass,4,4,0,4,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,1,0,0,0,0,0,0,0,0,21,25,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ofbiz-framework_b1304439219bb04c396f5d000bec9c5fbb194b59/framework/entity/src/main/java/org/apache/ofbiz/entity/model/ModelViewEntity.java,org.apache.ofbiz.entity.model.ModelViewEntity$ComplexAliasField,innerclass,6,6,0,6,11,1,0,13,0,0.0,1.0,1.0,4,0,4,0,0,0,4,0,0,0,5,0,0,5,0,0,5,0,0,54,0,0,2,0,0,13,1,21,4,9,3,0,0,0,43,25,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ofbiz-framework_b1304439219bb04c396f5d000bec9c5fbb194b59/framework/common/src/main/java/org/apache/ofbiz/common/CdyneServices.java,org.apache.ofbiz.common.CdyneServices,class,8,9,1,8,6,1,0,20,1,0.5,NaN,NaN,2,2,1,1,0,0,1,0,0,0,3,3,1,2,0,0,3,0,17,65,5,0,0,1,0,88,0,10,3,10,2,0,0,0,76,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ofbiz-framework_b1304439219bb04c396f5d000bec9c5fbb194b59/framework/widget/src/test/java/org/apache/ofbiz/widget/renderer/macro/MacroCallMatcher.java,org.apache.ofbiz.widget.renderer.macro.MacroCallMatcher,class,6,8,2,6,15,2,0,17,0,0.4642857,0.9047619,1.0,7,3,5,0,2,0,7,0,0,0,4,0,0,4,0,0,3,0,0,55,4,3,1,0,1,9,0,9,3,11,3,0,0,2,36,17,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ofbiz-framework_b1304439219bb04c396f5d000bec9c5fbb194b59/framework/service/src/main/java/org/apache/ofbiz/service/calendar/TemporalExpressionPrinter.java,org.apache.ofbiz.service.calendar.TemporalExpressionPrinter,class,16,18,2,16,24,1,0,16,128,0.7875,0.1631579,0.28947368,20,0,16,0,4,0,20,0,0,0,4,0,0,4,0,0,2,0,0,125,1,3,0,0,0,15,4,9,0,5,1,0,0,0,23,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ofbiz-framework_b1304439219bb04c396f5d000bec9c5fbb194b59/framework/base/src/main/java/org/apache/ofbiz/base/config/UrlLoader.java,org.apache.ofbiz.base.config.UrlLoader,class,3,4,1,3,4,2,0,4,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,22,2,0,0,2,0,5,0,4,2,3,1,0,0,0,31,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ofbiz-framework_b1304439219bb04c396f5d000bec9c5fbb194b59/framework/minilang/src/main/java/org/apache/ofbiz/minilang/method/envops/AddError.java,org.apache.ofbiz.minilang.method.envops.AddError$AddErrorFactory,innerclass,4,4,0,4,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,1,0,0,0,0,0,0,0,0,21,25,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ofbiz-framework_b1304439219bb04c396f5d000bec9c5fbb194b59/applications/content/src/main/java/org/apache/ofbiz/content/content/ContentWorker.java,org.apache.ofbiz.content.content.ContentWorker,class,27,64,37,27,330,1,0,158,1759,0.8951613,0.034902167,0.034902167,62,54,62,0,0,0,62,0,0,0,2,2,0,1,0,1,2,0,152,1403,72,24,89,24,7,460,37,385,48,276,6,0,0,0,321,1,0
