file,class,method,variable,usage
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/olingo-jpa-processor-v4_e61b432b876e60c093ba626a00432d4826893e10/jpa/odata-jpa-processor/src/main/java/com/sap/olingo/jpa/processor/core/filter/JPALambdaAllOperation.java,com.sap.olingo.jpa.processor.core.filter.JPALambdaAllOperation,"JPALambdaAllOperation/2[com.sap.olingo.jpa.processor.core.filter.JPAFilterComplierAccess,com.sap.olingo.jpa.processor.core.filter.Member]",jpaComplier,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/olingo-jpa-processor-v4_e61b432b876e60c093ba626a00432d4826893e10/jpa/odata-jpa-processor/src/main/java/com/sap/olingo/jpa/processor/core/filter/JPALambdaAllOperation.java,com.sap.olingo.jpa.processor.core.filter.JPALambdaAllOperation,"JPALambdaAllOperation/2[com.sap.olingo.jpa.processor.core.filter.JPAFilterComplierAccess,com.sap.olingo.jpa.processor.core.filter.Member]",member,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/olingo-jpa-processor-v4_e61b432b876e60c093ba626a00432d4826893e10/jpa/odata-jpa-processor/src/main/java/com/sap/olingo/jpa/processor/core/filter/JPALambdaAllOperation.java,com.sap.olingo.jpa.processor.core.filter.JPALambdaAllOperation,get/0,cb,5
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/olingo-jpa-processor-v4_e61b432b876e60c093ba626a00432d4826893e10/jpa/odata-jpa-test/src/main/java/com/sap/olingo/jpa/processor/core/testmodel/CountryKey.java,com.sap.olingo.jpa.processor.core.testmodel.CountryKey,equals/1[java.lang.Object],other,4
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/olingo-jpa-processor-v4_e61b432b876e60c093ba626a00432d4826893e10/jpa/odata-jpa-test/src/main/java/com/sap/olingo/jpa/processor/core/testmodel/CountryKey.java,com.sap.olingo.jpa.processor.core.testmodel.CountryKey,equals/1[java.lang.Object],obj,4
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/olingo-jpa-processor-v4_e61b432b876e60c093ba626a00432d4826893e10/jpa/odata-jpa-test/src/main/java/com/sap/olingo/jpa/processor/core/testmodel/CountryKey.java,com.sap.olingo.jpa.processor.core.testmodel.CountryKey,hashCode/0,prime,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/olingo-jpa-processor-v4_e61b432b876e60c093ba626a00432d4826893e10/jpa/odata-jpa-test/src/main/java/com/sap/olingo/jpa/processor/core/testmodel/CountryKey.java,com.sap.olingo.jpa.processor.core.testmodel.CountryKey,hashCode/0,result,5
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/olingo-jpa-processor-v4_e61b432b876e60c093ba626a00432d4826893e10/jpa/odata-jpa-processor/src/test/java/com/sap/olingo/jpa/processor/core/processor/TestCreateRequestEntity.java,com.sap.olingo.jpa.processor.core.processor.TestCreateRequestEntity,testCreateWithLinkToMany/0,bindingLinks,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/olingo-jpa-processor-v4_e61b432b876e60c093ba626a00432d4826893e10/jpa/odata-jpa-processor/src/test/java/com/sap/olingo/jpa/processor/core/processor/TestCreateRequestEntity.java,com.sap.olingo.jpa.processor.core.processor.TestCreateRequestEntity,testCreateWithLinkToMany/0,act,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/olingo-jpa-processor-v4_e61b432b876e60c093ba626a00432d4826893e10/jpa/odata-jpa-processor/src/test/java/com/sap/olingo/jpa/processor/core/processor/TestCreateRequestEntity.java,com.sap.olingo.jpa.processor.core.processor.TestCreateRequestEntity,testCreateWithLinkToMany/0,actValue,3
