file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/openjpa_8c0b843f6e6e0dd86a31e485928e61f2ba4c8f29/openjpa-persistence-jdbc/src/test/java/org/apache/openjpa/persistence/meta/TestFactoryMethod.java,org.apache.openjpa.persistence.meta.TestFactoryMethod,class,8,9,1,8,9,3,0,11,0,0.5555556,0.5833333,0.5833333,9,0,8,0,1,0,9,0,0,0,2,0,0,2,0,0,0,0,0,70,1,0,0,0,0,31,12,30,6,28,0,0,0,0,88,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/openjpa_8c0b843f6e6e0dd86a31e485928e61f2ba4c8f29/openjpa-persistence-jdbc/src/test/java/org/apache/openjpa/persistence/query/Customer.java,org.apache.openjpa.persistence.query.Customer,class,12,16,4,12,13,1,0,0,46,0.80769235,0.20512821,0.3846154,13,0,13,0,0,0,13,0,0,0,6,0,0,2,0,4,0,0,0,73,6,0,0,0,0,5,1,10,1,6,0,0,2,0,30,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/openjpa_8c0b843f6e6e0dd86a31e485928e61f2ba4c8f29/openjpa-persistence-jdbc/src/test/java/org/apache/openjpa/persistence/jdbc/xml/TestNonstandardMappingXML.java,org.apache.openjpa.persistence.jdbc.xml.TestNonstandardMappingXML,class,1,1,0,1,2,3,0,1,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,14,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/openjpa_8c0b843f6e6e0dd86a31e485928e61f2ba4c8f29/openjpa-persistence-jdbc/src/test/java/org/apache/openjpa/persistence/embed/Embed_Embed_ToMany.java,org.apache.openjpa.persistence.embed.Embed_Embed_ToMany,class,3,7,4,3,8,1,0,0,20,0.75,0.14285715,0.14285715,8,0,8,0,0,0,8,0,0,0,4,0,0,0,4,0,0,0,0,30,4,0,0,0,0,0,0,4,0,4,0,0,0,0,12,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/openjpa_8c0b843f6e6e0dd86a31e485928e61f2ba4c8f29/openjpa-persistence-jdbc/src/test/java/org/apache/openjpa/persistence/annotations/xml/EntityA.java,org.apache.openjpa.persistence.annotations.xml.EntityA,class,5,7,2,5,3,1,1,0,1,0.5,0.33333334,0.33333334,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,0,0,0,13,2,0,0,0,0,0,0,1,0,2,0,0,0,0,33,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/openjpa_8c0b843f6e6e0dd86a31e485928e61f2ba4c8f29/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/ConstGetObjectId.java,org.apache.openjpa.jdbc.kernel.exps.ConstGetObjectId$ConstGetObjectIdExpState,innerclass,2,2,0,2,1,2,0,0,0,0.6666667,NaN,NaN,1,0,1,0,0,0,1,0,0,0,3,0,3,0,0,0,1,0,0,8,0,0,0,0,0,0,1,3,0,3,0,0,0,0,13,10,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/openjpa_8c0b843f6e6e0dd86a31e485928e61f2ba4c8f29/openjpa-xmlstore/src/test/java/org/apache/openjpa/xmlstore/simple/Place.java,org.apache.openjpa.xmlstore.simple.Place,class,2,3,1,2,2,1,0,0,0,0.5,1.0,1.0,2,0,2,0,0,0,2,0,0,0,2,1,0,2,0,0,1,0,0,10,1,0,0,0,0,0,1,2,0,2,0,0,0,0,13,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/openjpa_8c0b843f6e6e0dd86a31e485928e61f2ba4c8f29/openjpa-examples/jest/src/main/java/demo/Actor.java,Gender,enum,0,1,1,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/openjpa_8c0b843f6e6e0dd86a31e485928e61f2ba4c8f29/openjpa-kernel/src/main/java/org/apache/openjpa/meta/ClassMetaData.java,org.apache.openjpa.meta.ClassMetaData,class,50,144,94,50,606,2,0,271,11772,0.9777131,0.06910073,0.5625653,168,1,135,16,14,3,152,0,0,0,86,13,8,77,1,0,17,0,49,1510,171,42,233,3,33,54,94,447,11,241,10,0,1,0,687,1,5
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/openjpa_8c0b843f6e6e0dd86a31e485928e61f2ba4c8f29/openjpa-persistence-jdbc/src/test/java/org/apache/openjpa/persistence/foreign/keys/SimpleEntity.java,org.apache.openjpa.persistence.foreign.keys.SimpleEntity,class,3,5,2,3,4,1,0,0,2,0.6666667,0.33333334,0.33333334,4,0,4,0,0,0,4,0,0,0,3,1,0,3,0,0,1,0,0,17,2,0,0,0,0,1,1,3,0,3,0,0,0,0,16,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/openjpa_8c0b843f6e6e0dd86a31e485928e61f2ba4c8f29/openjpa-persistence/src/main/java/org/apache/openjpa/persistence/criteria/Joins.java,org.apache.openjpa.persistence.criteria.Joins$Collection,innerclass,10,10,0,10,5,6,0,0,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,0,0,0,3,0,0,0,0,0,0,0,0,30,8,0
