file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/openwebbeans_7831798861478a035c9e9dcca151b5a67e4a28a3/webbeans-impl/src/main/java/org/apache/webbeans/portable/events/generics/GProcessObserverMethod.java,org.apache.webbeans.portable.events.generics.GProcessObserverMethod,class,6,9,3,6,3,3,1,4,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,11,2,0,0,0,0,1,0,0,0,0,0,0,0,0,17,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/openwebbeans_7831798861478a035c9e9dcca151b5a67e4a28a3/webbeans-web/src/main/java/org/apache/webbeans/web/lifecycle/test/EnterpriseTestLifeCycle.java,org.apache.webbeans.web.lifecycle.test.EnterpriseTestLifeCycle,class,11,11,0,11,5,2,0,7,4,0.5,0.16666667,0.16666667,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,0,0,0,32,0,0,1,0,0,0,0,8,0,7,1,0,0,0,58,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/openwebbeans_7831798861478a035c9e9dcca151b5a67e4a28a3/samples/reservation/src/main/java/org/apache/webbeans/reservation/intercept/TransactionalInterceptor.java,org.apache.webbeans.reservation.intercept.TransactionalInterceptor,class,10,10,0,10,6,1,0,7,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,25,1,0,2,1,0,1,0,1,0,3,2,0,0,0,20,1,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/openwebbeans_7831798861478a035c9e9dcca151b5a67e4a28a3/webbeans-impl/src/test/java/org/apache/webbeans/test/definition/proxyable/beans/NonAbstractSubClassBean.java,org.apache.webbeans.test.definition.proxyable.beans.NonAbstractSubClassBean,class,2,3,1,2,2,2,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,1,1,0,0,0,0,0,0,0,11,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/openwebbeans_7831798861478a035c9e9dcca151b5a67e4a28a3/webbeans-gradle/src/main/java/org/apache/openwebbeans/gradle/shadow/OpenWebBeansPropertiesTransformer.java,org.apache.openwebbeans.gradle.shadow.OpenWebBeansPropertiesTransformer,class,6,7,1,6,22,1,0,18,37,0.78181815,0.21428572,0.35714287,11,1,8,3,0,0,8,0,0,0,5,0,0,5,0,0,1,0,2,75,6,3,1,2,2,4,3,16,1,13,3,0,0,0,59,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/openwebbeans_7831798861478a035c9e9dcca151b5a67e4a28a3/webbeans-impl/src/test/java/org/apache/webbeans/test/injection/serialization/beans/SerializableDependentInjectionTarget.java,org.apache.webbeans.test.injection.serialization.beans.SerializableDependentInjectionTarget,class,3,4,1,3,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,9,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/openwebbeans_7831798861478a035c9e9dcca151b5a67e4a28a3/webbeans-impl/src/test/java/org/apache/webbeans/test/events/container/WildcardExtensionMatchingTest.java,org.apache.webbeans.test.events.container.WildcardExtensionMatchingTest,class,7,7,0,7,1,2,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,1,1,0,1,0,1,2,0,23,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/openwebbeans_7831798861478a035c9e9dcca151b5a67e4a28a3/webbeans-web/src/main/java/org/apache/webbeans/web/util/ServletCompatibilityUtil.java,org.apache.webbeans.web.util.ServletCompatibilityUtil,class,1,4,3,1,6,1,0,4,1,0.0,NaN,NaN,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17,3,0,2,0,0,1,3,0,0,0,2,0,0,0,33,17,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/openwebbeans_7831798861478a035c9e9dcca151b5a67e4a28a3/webbeans-impl/src/test/java/org/apache/webbeans/test/unittests/library/LibraryComponentTest.java,org.apache.webbeans.test.unittests.library.LibraryComponentTest,class,5,5,0,5,1,2,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,1,0,1,0,1,0,0,1,0,15,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/openwebbeans_7831798861478a035c9e9dcca151b5a67e4a28a3/webbeans-impl/src/test/java/org/apache/webbeans/test/events/injectiontarget/ProcessBeanAttributesTest.java,org.apache.webbeans.test.events.injectiontarget.ProcessBeanAttributesTest$ProcessBeanAttributesExtension,innerclass,4,4,0,4,4,1,0,2,6,0.75,0.0,0.0,4,0,4,0,0,0,4,0,0,0,5,0,0,5,0,0,0,0,0,20,0,0,0,0,0,0,0,5,0,5,0,0,0,0,15,9,0
