file,class,method,variable,usage
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/packagedrone_3869c1643cdc6f7cb8b26097a7b6994683b13d7e/bundles/org.eclipse.packagedrone.repo.aspect.mvnosgi.web/src/org/eclipse/packagedrone/repo/aspect/mvnosgi/web/AspectController.java,org.eclipse.packagedrone.repo.aspect.mvnosgi.web.AspectController,config/1[java.lang.String],service,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/packagedrone_3869c1643cdc6f7cb8b26097a7b6994683b13d7e/bundles/org.eclipse.packagedrone.repo.aspect.mvnosgi.web/src/org/eclipse/packagedrone/repo/aspect/mvnosgi/web/AspectController.java,org.eclipse.packagedrone.repo.aspect.mvnosgi.web.AspectController,setService/1[org.eclipse.packagedrone.repo.channel.ChannelService],service,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/packagedrone_3869c1643cdc6f7cb8b26097a7b6994683b13d7e/bundles/org.eclipse.packagedrone.repo.aspect.mvnosgi.web/src/org/eclipse/packagedrone/repo/aspect/mvnosgi/web/AspectController.java,org.eclipse.packagedrone.repo.aspect.mvnosgi.web.AspectController,"configPost/3[java.lang.String,org.eclipse.packagedrone.repo.aspect.mvnosgi.web.Configuration,org.eclipse.packagedrone.repo.aspect.mvnosgi.web.BindingResult]",service,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/packagedrone_3869c1643cdc6f7cb8b26097a7b6994683b13d7e/bundles/org.tukani.xz/src/org/tukaani/xz/lz/Hash234.java,org.tukaani.xz.lz.Hash234,getHash4Pos/0,hash4Value,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/packagedrone_3869c1643cdc6f7cb8b26097a7b6994683b13d7e/bundles/org.tukani.xz/src/org/tukaani/xz/lz/Hash234.java,org.tukaani.xz.lz.Hash234,getHash4Pos/0,hash4Table,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/packagedrone_3869c1643cdc6f7cb8b26097a7b6994683b13d7e/bundles/org.tukani.xz/src/org/tukaani/xz/lz/Hash234.java,org.tukaani.xz.lz.Hash234,updateTables/1[int],hash2Value,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/packagedrone_3869c1643cdc6f7cb8b26097a7b6994683b13d7e/bundles/org.tukani.xz/src/org/tukaani/xz/lz/Hash234.java,org.tukaani.xz.lz.Hash234,updateTables/1[int],hash4Value,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/packagedrone_3869c1643cdc6f7cb8b26097a7b6994683b13d7e/bundles/org.tukani.xz/src/org/tukaani/xz/lz/Hash234.java,org.tukaani.xz.lz.Hash234,updateTables/1[int],hash4Table,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/packagedrone_3869c1643cdc6f7cb8b26097a7b6994683b13d7e/bundles/org.tukani.xz/src/org/tukaani/xz/lz/Hash234.java,org.tukaani.xz.lz.Hash234,updateTables/1[int],hash2Table,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/packagedrone_3869c1643cdc6f7cb8b26097a7b6994683b13d7e/bundles/org.tukani.xz/src/org/tukaani/xz/lz/Hash234.java,org.tukaani.xz.lz.Hash234,updateTables/1[int],hash3Value,1
