file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/packagedrone_3869c1643cdc6f7cb8b26097a7b6994683b13d7e/bundles/org.eclipse.packagedrone.repo.aspect.mvnosgi.web/src/org/eclipse/packagedrone/repo/aspect/mvnosgi/web/AspectController.java,org.eclipse.packagedrone.repo.aspect.mvnosgi.web.AspectController,config/1[java.lang.String],false,65,7,0,0,0,2,5,15,2,3,1,5,0,0,0,0,1,0,5,0,2,0,2,0,0,1,11,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/packagedrone_3869c1643cdc6f7cb8b26097a7b6994683b13d7e/bundles/org.eclipse.packagedrone.repo.aspect.mvnosgi.web/src/org/eclipse/packagedrone/repo/aspect/mvnosgi/web/AspectController.java,org.eclipse.packagedrone.repo.aspect.mvnosgi.web.AspectController,setService/1[org.eclipse.packagedrone.repo.channel.ChannelService],false,59,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/packagedrone_3869c1643cdc6f7cb8b26097a7b6994683b13d7e/bundles/org.eclipse.packagedrone.repo.aspect.mvnosgi.web/src/org/eclipse/packagedrone/repo/aspect/mvnosgi/web/AspectController.java,org.eclipse.packagedrone.repo.aspect.mvnosgi.web.AspectController,"getActions/2[org.eclipse.packagedrone.repo.aspect.mvnosgi.web.HttpServletRequest,java.lang.Object]",false,112,5,2,0,2,4,7,16,4,3,2,7,0,0,0,0,0,1,6,1,3,0,1,0,0,0,18,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/packagedrone_3869c1643cdc6f7cb8b26097a7b6994683b13d7e/bundles/org.eclipse.packagedrone.repo.aspect.mvnosgi.web/src/org/eclipse/packagedrone/repo/aspect/mvnosgi/web/AspectController.java,org.eclipse.packagedrone.repo.aspect.mvnosgi.web.AspectController,"configPost/3[java.lang.String,org.eclipse.packagedrone.repo.aspect.mvnosgi.web.Configuration,org.eclipse.packagedrone.repo.aspect.mvnosgi.web.BindingResult]",false,90,10,0,0,0,3,7,16,3,2,3,7,0,0,0,0,1,0,7,0,1,0,3,0,0,1,15,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/packagedrone_3869c1643cdc6f7cb8b26097a7b6994683b13d7e/bundles/org.eclipse.packagedrone.repo.channel/src/org/eclipse/packagedrone/repo/channel/search/CompositePredicate.java,org.eclipse.packagedrone.repo.channel.search.CompositePredicate,getPredicates/0,false,17,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/packagedrone_3869c1643cdc6f7cb8b26097a7b6994683b13d7e/bundles/org.eclipse.packagedrone.repo.aspect.common/src/org/eclipse/packagedrone/repo/aspect/common/MimeTypeAspectFactory.java,org.eclipse.packagedrone.repo.aspect.common.MimeTypeAspectFactory$ChannelAspectImpl$Anonymous1,getMimeType/1[java.nio.file.Path],false,44,0,1,1,0,2,3,6,2,0,1,3,0,0,0,0,0,0,2,0,0,0,1,0,0,0,8,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/packagedrone_3869c1643cdc6f7cb8b26097a7b6994683b13d7e/bundles/org.eclipse.packagedrone.repo.aspect.common/src/org/eclipse/packagedrone/repo/aspect/common/MimeTypeAspectFactory.java,org.eclipse.packagedrone.repo.aspect.common.MimeTypeAspectFactory$ChannelAspectImpl$Anonymous1,"extractMetaData/2[Extractor.Context,java.util.Map<java.lang.String,java.lang.String>]",false,35,2,3,0,3,2,3,6,0,1,2,3,1,1,0,1,0,0,1,0,1,0,1,0,0,0,10,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/packagedrone_3869c1643cdc6f7cb8b26097a7b6994683b13d7e/bundles/org.eclipse.packagedrone.repo.web.sitemap/src/org/eclipse/packagedrone/repo/web/sitemap/UrlSetContext.java,org.eclipse.packagedrone.repo.web.sitemap.UrlSetContext,"addLocation/4[java.lang.String,java.util.Optional<java.time.Instant>,java.util.Optional<org.eclipse.packagedrone.repo.web.sitemap.ChangeFrequency>,java.util.Optional<java.lang.Double>]",false,25,1,2,2,0,1,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/packagedrone_3869c1643cdc6f7cb8b26097a7b6994683b13d7e/bundles/org.eclipse.packagedrone.repo.web.sitemap/src/org/eclipse/packagedrone/repo/web/sitemap/UrlSetContext.java,org.eclipse.packagedrone.repo.web.sitemap.UrlSetContext,addLocation/1[java.lang.String],false,21,1,1,0,1,1,2,3,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,65537,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/packagedrone_3869c1643cdc6f7cb8b26097a7b6994683b13d7e/bundles/org.eclipse.packagedrone.repo.importer/src/org/eclipse/packagedrone/repo/importer/Importer.java,org.eclipse.packagedrone.repo.importer.Importer,"runImport/2[org.eclipse.packagedrone.repo.importer.ImportContext,java.lang.String]",false,17,1,1,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1,0,true
