file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/pai_43269e7e5c95bea21d0ffae2e16f3e87de4b29b9/subprojects/frameworklauncher/yarn/src/test/java/com/microsoft/frameworklauncher/common/utils/YamlUtilsTest.java,com.microsoft.frameworklauncher.common.utils.YamlUtilsTest,testDefaultValue/0,false,80,3,5,0,5,3,5,9,0,4,0,5,0,0,0,2,0,0,5,0,4,1,0,0,0,0,19,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/pai_43269e7e5c95bea21d0ffae2e16f3e87de4b29b9/subprojects/frameworklauncher/yarn/src/test/java/com/microsoft/frameworklauncher/common/utils/YamlUtilsTest.java,com.microsoft.frameworklauncher.common.utils.YamlUtilsTest,testDeepCopy/0,false,30,4,10,0,10,1,15,23,0,7,0,15,0,0,0,0,0,0,5,4,7,1,0,0,0,0,25,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/pai_43269e7e5c95bea21d0ffae2e16f3e87de4b29b9/subprojects/frameworklauncher/yarn/src/test/java/com/microsoft/frameworklauncher/common/utils/YamlUtilsTest.java,com.microsoft.frameworklauncher.common.utils.YamlUtilsTest,testReadYaml/0,false,97,3,3,0,3,1,4,7,0,4,0,4,0,0,0,0,0,0,3,3,4,1,0,0,0,0,14,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/pai_43269e7e5c95bea21d0ffae2e16f3e87de4b29b9/subprojects/frameworklauncher/yarn/src/test/java/com/microsoft/frameworklauncher/common/utils/YamlUtilsTest.java,com.microsoft.frameworklauncher.common.utils.YamlUtilsTest,testYamlEquals/0,false,110,3,3,0,3,1,4,10,0,4,0,4,0,0,0,0,0,0,1,3,4,0,0,0,0,0,12,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/pai_43269e7e5c95bea21d0ffae2e16f3e87de4b29b9/subprojects/frameworklauncher/yarn/src/test/java/com/microsoft/frameworklauncher/common/utils/YamlUtilsTest.java,com.microsoft.frameworklauncher.common.utils.YamlUtilsTest,testYamlCompatibility/0,false,124,4,9,0,9,1,9,5,0,2,0,9,0,0,0,0,0,0,1,3,2,0,0,0,0,0,13,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/pai_43269e7e5c95bea21d0ffae2e16f3e87de4b29b9/subprojects/frameworklauncher/yarn/src/test/java/com/microsoft/frameworklauncher/testutils/TestUtils.java,com.microsoft.frameworklauncher.testutils.TestUtils,getResourceRoot/0,false,26,1,0,0,0,1,10,8,1,4,0,10,0,0,0,0,0,0,1,3,5,1,0,0,0,0,7,10,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/pai_43269e7e5c95bea21d0ffae2e16f3e87de4b29b9/subprojects/frameworklauncher/yarn/src/main/java/com/microsoft/frameworklauncher/webserver/WebServer.java,com.microsoft.frameworklauncher.webserver.WebServer,stop/1[com.microsoft.frameworklauncher.common.service.StopStatus],false,107,4,8,1,7,4,9,17,0,1,1,9,0,0,0,1,1,0,2,1,1,0,2,0,0,0,11,33,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/pai_43269e7e5c95bea21d0ffae2e16f3e87de4b29b9/subprojects/frameworklauncher/yarn/src/main/java/com/microsoft/frameworklauncher/webserver/WebServer.java,com.microsoft.frameworklauncher.webserver.WebServer,"WebServer/2[com.microsoft.frameworklauncher.common.model.LauncherConfiguration,com.microsoft.frameworklauncher.zookeeperstore.ZookeeperStore]",true,52,3,1,1,0,1,1,5,0,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,15,1,0,true
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/pai_43269e7e5c95bea21d0ffae2e16f3e87de4b29b9/subprojects/frameworklauncher/yarn/src/main/java/com/microsoft/frameworklauncher/webserver/WebServer.java,com.microsoft.frameworklauncher.webserver.WebServer,recover/0,false,81,3,3,0,3,1,2,7,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,4,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/pai_43269e7e5c95bea21d0ffae2e16f3e87de4b29b9/subprojects/frameworklauncher/yarn/src/main/java/com/microsoft/frameworklauncher/webserver/WebServer.java,com.microsoft.frameworklauncher.webserver.WebServer,"onCompletedFrameworkStatusesUpdated/1[java.util.Map<java.lang.String,com.microsoft.frameworklauncher.common.model.FrameworkStatus>]",false,146,2,2,1,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
