file,class,method,variable,usage
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/physical-web_12604319e99b6d6dff451fc5a58a13a271f1dc7a/android/PhysicalWeb/app/src/main/java/org/physical_web/physicalweb/WifiUrlDeviceDiscoverer.java,org.physical_web.physicalweb.WifiUrlDeviceDiscoverer,WifiUrlDeviceDiscoverer/1[org.physical_web.physicalweb.Context],context,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/physical-web_12604319e99b6d6dff451fc5a58a13a271f1dc7a/android/PhysicalWeb/app/src/main/java/org/physical_web/physicalweb/WifiUrlDeviceDiscoverer.java,org.physical_web.physicalweb.WifiUrlDeviceDiscoverer,discoverHelper/1[boolean],retry,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/physical-web_12604319e99b6d6dff451fc5a58a13a271f1dc7a/android/PhysicalWeb/app/src/main/java/org/physical_web/physicalweb/WifiUrlDeviceDiscoverer.java,org.physical_web.physicalweb.WifiUrlDeviceDiscoverer,startScanImpl/0,intentFilter,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/physical-web_12604319e99b6d6dff451fc5a58a13a271f1dc7a/android/PhysicalWeb/app/src/main/java/org/physical_web/physicalweb/SwipeRefreshWidget.java,org.physical_web.physicalweb.SwipeRefreshWidget,canChildScrollUp/0,target,4
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/physical-web_12604319e99b6d6dff451fc5a58a13a271f1dc7a/android/PhysicalWeb/app/src/main/java/org/physical_web/physicalweb/SwipeRefreshWidget.java,org.physical_web.physicalweb.SwipeRefreshWidget,"SwipeRefreshWidget/2[org.physical_web.physicalweb.Context,org.physical_web.physicalweb.AttributeSet]",context,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/physical-web_12604319e99b6d6dff451fc5a58a13a271f1dc7a/android/PhysicalWeb/app/src/main/java/org/physical_web/physicalweb/SwipeRefreshWidget.java,org.physical_web.physicalweb.SwipeRefreshWidget,"SwipeRefreshWidget/2[org.physical_web.physicalweb.Context,org.physical_web.physicalweb.AttributeSet]",attributeSet,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/physical-web_12604319e99b6d6dff451fc5a58a13a271f1dc7a/android/PhysicalWeb/app/src/main/java/org/physical_web/physicalweb/SwipeRefreshWidget.java,org.physical_web.physicalweb.SwipeRefreshWidget,SwipeRefreshWidget/1[org.physical_web.physicalweb.Context],context,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/physical-web_12604319e99b6d6dff451fc5a58a13a271f1dc7a/java/libs/src/main/java/org/physical_web/collection/BitmapRequest.java,org.physical_web.collection.BitmapRequest,readInputStream/1[java.io.InputStream],os,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/physical-web_12604319e99b6d6dff451fc5a58a13a271f1dc7a/java/libs/src/main/java/org/physical_web/collection/BitmapRequest.java,org.physical_web.collection.BitmapRequest,readInputStream/1[java.io.InputStream],len,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/physical-web_12604319e99b6d6dff451fc5a58a13a271f1dc7a/java/libs/src/main/java/org/physical_web/collection/BitmapRequest.java,org.physical_web.collection.BitmapRequest,readInputStream/1[java.io.InputStream],is,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/physical-web_12604319e99b6d6dff451fc5a58a13a271f1dc7a/java/libs/src/main/java/org/physical_web/collection/BitmapRequest.java,org.physical_web.collection.BitmapRequest,readInputStream/1[java.io.InputStream],buffer,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/physical-web_12604319e99b6d6dff451fc5a58a13a271f1dc7a/java/libs/src/main/java/org/physical_web/collection/BitmapRequest.java,org.physical_web.collection.BitmapRequest,"BitmapRequest/2[java.lang.String,org.physical_web.collection.BitmapRequest.RequestCallback]",callback,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/physical-web_12604319e99b6d6dff451fc5a58a13a271f1dc7a/java/libs/src/main/java/org/physical_web/collection/BitmapRequest.java,org.physical_web.collection.BitmapRequest,"BitmapRequest/2[java.lang.String,org.physical_web.collection.BitmapRequest.RequestCallback]",url,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/physical-web_12604319e99b6d6dff451fc5a58a13a271f1dc7a/java/libs/src/main/java/org/physical_web/collection/BitmapRequest.java,org.physical_web.collection.BitmapRequest,writeToUrlConnection/1[java.net.HttpURLConnection],urlConnection,0
