file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/project-rome_0bcfbd6e1a7e69ec5832740640d7fb9945a1125f/Android/samples/nearsharestandalone/app/src/main/java/com/microsoft/connecteddevices/nearshare/MainActivity.java,com.microsoft.connecteddevices.nearshare.MainActivity$RemoteSystemAddedListener,innerclass,4,4,0,4,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,1,0,1,0,1,0,0,16,2,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/project-rome_0bcfbd6e1a7e69ec5832740640d7fb9945a1125f/Android/samples/nearsharestandalone/app/src/main/java/com/microsoft/connecteddevices/nearshare/MainActivity.java,com.microsoft.connecteddevices.nearshare.MainActivity,class,41,42,1,41,33,2,0,71,49,0.8222223,0.16666667,0.16666667,15,0,3,11,1,0,4,0,0,0,9,1,0,9,0,0,1,0,1,243,4,1,11,0,8,8,4,35,0,39,4,2,4,7,291,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/project-rome_0bcfbd6e1a7e69ec5832740640d7fb9945a1125f/Android/samples/graphnotificationssample/app/src/main/java/com/microsoft/connecteddevices/graphnotifications/FCMRegistrationIntentService.java,com.microsoft.connecteddevices.graphnotifications.FCMRegistrationIntentService,class,3,5,2,3,6,2,0,9,3,0.6666667,0.0,0.0,3,0,2,0,1,0,3,0,0,0,5,5,0,5,0,0,5,0,0,31,0,0,1,1,0,8,0,8,2,7,2,0,0,0,35,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/project-rome_0bcfbd6e1a7e69ec5832740640d7fb9945a1125f/Android/samples/sdksample/app/src/main/java/com/microsoft/rome/onesdksample_android/UserActivityFragment.java,com.microsoft.rome.onesdksample_android.UserActivityFragment,class,26,28,2,26,23,3,0,55,6,0.75735295,0.46666667,0.6666667,8,0,3,2,0,3,6,0,0,0,17,1,0,17,0,0,1,0,11,188,6,0,7,2,0,1,3,42,0,37,4,0,0,10,184,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/project-rome_0bcfbd6e1a7e69ec5832740640d7fb9945a1125f/Android/samples/graphnotificationssample/app/src/main/java/com/microsoft/connecteddevices/graphnotifications/MainActivity.java,com.microsoft.connecteddevices.graphnotifications.MainActivity$NotificationArrayAdapter,innerclass,8,8,0,8,5,2,0,17,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,48,1,0,3,0,0,0,0,8,0,10,2,0,0,3,28,8,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/project-rome_0bcfbd6e1a7e69ec5832740640d7fb9945a1125f/Android/samples/graphnotificationssample/app/src/main/java/com/microsoft/connecteddevices/graphnotifications/MainActivity.java,com.microsoft.connecteddevices.graphnotifications.MainActivity$LoginFragment,innerclass,12,12,0,12,16,2,0,23,6,0.6,0.2,0.2,5,0,2,0,0,3,5,0,0,2,3,0,0,3,0,0,0,0,1,89,2,0,6,0,4,2,0,9,0,11,4,0,1,8,43,9,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/project-rome_0bcfbd6e1a7e69ec5832740640d7fb9945a1125f/Android/samples/sdksample/app/src/main/java/com/microsoft/rome/onesdksample_android/StaticContextApp.java,com.microsoft.rome.onesdksample_android.StaticContextApp,class,2,3,1,2,2,2,0,2,0,0.0,1.0,1.0,2,1,2,0,0,0,2,0,0,0,1,1,0,1,0,0,0,0,0,10,1,0,0,0,0,0,0,1,0,1,0,0,0,0,11,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/project-rome_0bcfbd6e1a7e69ec5832740640d7fb9945a1125f/Android/samples/sdksample/app/src/main/java/com/microsoft/rome/onesdksample_android/ModuleSelectFragment.java,com.microsoft.rome.onesdksample_android.ModuleSelectFragment,class,6,8,2,6,2,3,0,6,1,0.5,0.0,0.0,2,0,1,0,0,1,2,0,0,0,1,1,0,1,0,0,1,0,0,13,2,0,0,0,3,0,0,2,0,5,0,0,0,3,24,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/project-rome_0bcfbd6e1a7e69ec5832740640d7fb9945a1125f/Android/samples/graphnotificationssample/app/src/main/java/com/microsoft/connecteddevices/graphnotifications/MainActivity.java,com.microsoft.connecteddevices.graphnotifications.MainActivity$SectionsPagerAdapter,innerclass,6,6,0,6,9,2,0,0,3,0.6666667,0.0,0.0,3,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,31,5,0,3,0,0,0,4,3,0,3,2,0,0,0,27,0,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/project-rome_0bcfbd6e1a7e69ec5832740640d7fb9945a1125f/Android/samples/sdksample/app/src/main/java/com/microsoft/rome/onesdksample_android/AccountRegistrationState.java,com.microsoft.rome.onesdksample_android.AccountRegistrationState,enum,0,2,2,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/project-rome_0bcfbd6e1a7e69ec5832740640d7fb9945a1125f/Android/samples/signinhelpers/src/main/java/com/microsoft/connecteddevices/signinhelpers/MSATokenRequest.java,com.microsoft.connecteddevices.signinhelpers.MSATokenRequest$Anonymous1,anonymous,10,10,0,10,11,1,0,14,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,54,1,0,3,1,1,11,5,13,2,7,2,0,0,0,35,-1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/project-rome_0bcfbd6e1a7e69ec5832740640d7fb9945a1125f/Android/samples/sdksample/app/src/main/java/com/microsoft/rome/onesdksample_android/UserActivityListAdapter.java,com.microsoft.rome.onesdksample_android.UserActivityListAdapter,class,9,10,1,9,6,2,0,18,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,37,1,0,4,0,0,2,0,15,0,12,2,0,0,0,38,1,0
