file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/qpid-broker-j_4c4400b98a5a8493cfb9e5dbb21c97175f433a62/bdbstore/src/main/java/org/apache/qpid/server/store/berkeleydb/upgrade/UpgradeFrom4To5.java,org.apache.qpid.server.store.berkeleydb.upgrade.UpgradeFrom4To5$MessageContentKeyBinding,innerclass,4,4,0,4,2,2,0,6,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,3,0,3,0,0,0,0,17,24,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/qpid-broker-j_4c4400b98a5a8493cfb9e5dbb21c97175f433a62/broker-plugins/amqp-1-0-protocol/src/main/java/org/apache/qpid/server/protocol/v1_0/codec/FixedSixteenWriter.java,org.apache.qpid.server.protocol.v1_0.codec.FixedSixteenWriter,class,4,6,2,4,8,1,0,6,26,0.75,0.035714287,0.035714287,8,0,5,0,0,3,8,3,3,0,2,0,0,2,0,0,0,0,0,24,1,0,0,0,0,0,1,2,0,2,0,0,0,0,26,1025,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/qpid-broker-j_4c4400b98a5a8493cfb9e5dbb21c97175f433a62/broker-plugins/amqp-1-0-protocol/src/main/java/org/apache/qpid/server/protocol/v1_0/type/transport/codec/OpenWriter.java,org.apache.qpid.server.protocol.v1_0.type.transport.codec.OpenWriter$Writer,innerclass,7,7,0,7,27,3,0,11,0,0.5,0.7,1.0,6,0,1,1,4,0,5,0,0,0,3,0,0,3,0,0,2,0,0,78,24,0,10,0,0,0,22,3,0,3,1,0,0,0,17,10,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/qpid-broker-j_4c4400b98a5a8493cfb9e5dbb21c97175f433a62/perftests/visualisation-jfc/src/main/java/org/apache/qpid/disttest/charting/chartbuilder/SeriesPainter.java,org.apache.qpid.disttest.charting.chartbuilder.SeriesPainter,class,6,9,3,6,9,1,0,14,3,0.0,NaN,NaN,3,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,38,2,1,3,0,0,3,8,8,1,7,2,0,0,0,29,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/qpid-broker-j_4c4400b98a5a8493cfb9e5dbb21c97175f433a62/broker-plugins/amqp-0-10-protocol/src/main/java/org/apache/qpid/server/protocol/v0_10/transport/StructFactory.java,org.apache.qpid.server.protocol.v0_10.transport.StructFactory,class,79,81,2,79,80,1,0,0,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,170,78,0,0,0,0,2,0,0,2,0,1,0,0,0,76,0,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/qpid-broker-j_4c4400b98a5a8493cfb9e5dbb21c97175f433a62/broker-plugins/amqp-0-10-protocol/src/main/java/org/apache/qpid/server/protocol/v0_10/transport/ConnectionCloseCode.java,org.apache.qpid.server.protocol.v0_10.transport.ConnectionCloseCode,enum,1,5,4,1,7,1,0,0,0,0.0,1.0,1.0,3,1,2,0,0,1,3,0,0,0,1,0,0,1,0,0,1,0,0,22,5,0,0,0,0,1,8,1,1,1,1,0,0,0,28,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/qpid-broker-j_4c4400b98a5a8493cfb9e5dbb21c97175f433a62/broker-plugins/amqp-0-10-protocol/src/main/java/org/apache/qpid/server/protocol/v0_10/transport/Xid.java,org.apache.qpid.server.protocol.v0_10.transport.Xid,class,5,17,12,5,50,2,0,14,99,0.71851856,0.3048433,0.4871795,27,0,27,0,0,0,27,0,21,0,5,1,1,4,0,0,1,0,0,139,22,0,14,0,12,3,36,19,0,6,1,0,0,0,46,17,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/qpid-broker-j_4c4400b98a5a8493cfb9e5dbb21c97175f433a62/broker-plugins/management-http/src/test/java/org/apache/qpid/server/management/plugin/GunzipOutputStreamTest.java,org.apache.qpid.server.management.plugin.GunzipOutputStreamTest,class,5,6,1,5,7,2,0,16,0,0.5625,0.33333334,0.33333334,4,0,3,1,0,0,3,0,0,0,4,4,0,4,0,0,4,0,3,49,1,2,1,0,0,9,5,18,2,18,2,0,0,0,57,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/qpid-broker-j_4c4400b98a5a8493cfb9e5dbb21c97175f433a62/broker-core/src/main/java/org/apache/qpid/server/message/MessageContainer.java,org.apache.qpid.server.message.MessageContainer,class,2,3,1,2,4,1,0,0,2,0.5,0.33333334,0.5,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,2,0,0,17,2,0,0,0,0,0,0,2,0,2,0,0,0,0,7,17,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/qpid-broker-j_4c4400b98a5a8493cfb9e5dbb21c97175f433a62/broker-plugins/amqp-msg-conv-0-8-to-0-10/src/test/java/org/apache/qpid/server/protocol/converter/v0_8_v0_10/PropertyConverter_0_10_to_0_8Test.java,org.apache.qpid.server.protocol.converter.v0_8_v0_10.PropertyConverter_0_10_to_0_8Test,class,19,20,1,19,46,2,0,73,0,0.125,1.0,1.0,40,0,35,5,0,0,35,0,0,0,2,0,0,2,0,0,0,0,14,371,5,1,2,3,0,63,23,185,6,185,1,0,0,0,135,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/qpid-broker-j_4c4400b98a5a8493cfb9e5dbb21c97175f433a62/broker-core/src/main/java/org/apache/qpid/server/queue/OrderedQueueEntry.java,org.apache.qpid.server.queue.OrderedQueueEntry,class,5,16,11,5,7,2,7,4,6,0.75,0.0,0.0,4,0,4,0,0,0,4,0,0,0,2,1,0,1,0,1,1,0,1,27,2,1,2,0,0,1,0,5,0,4,2,0,0,0,20,1025,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/qpid-broker-j_4c4400b98a5a8493cfb9e5dbb21c97175f433a62/broker-plugins/amqp-1-0-protocol/src/main/java/org/apache/qpid/server/protocol/v1_0/type/messaging/codec/MatchingSubjectFilterWriter.java,org.apache.qpid.server.protocol.v1_0.type.messaging.codec.MatchingSubjectFilterWriter,class,7,9,2,7,2,2,0,4,0,0.25,0.0,0.0,2,1,2,0,0,0,2,0,0,0,2,2,0,2,0,0,2,0,1,15,0,0,0,0,0,0,1,2,0,2,0,1,0,0,25,1,0
