file,class,method,variable,usage
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/rave_3b59a9cbdbdecb0108831f667ec5ec809c9af0a5/rave-compiler/src/test/java/com/uber/rave/model/FloatRangeTestModel.java,com.uber.rave.model.FloatRangeTestModel,FloatRangeTestModel/1[double],value,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/rave_3b59a9cbdbdecb0108831f667ec5ec809c9af0a5/rave-compiler/src/test/java/com/uber/rave/model/FloatRangeTestModel.java,com.uber.rave.model.FloatRangeTestModel,getValue/0,FROM,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/rave_3b59a9cbdbdecb0108831f667ec5ec809c9af0a5/rave-compiler/src/test/java/com/uber/rave/model/FloatRangeTestModel.java,com.uber.rave.model.FloatRangeTestModel,getValue/0,TO,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/rave_3b59a9cbdbdecb0108831f667ec5ec809c9af0a5/rave-compiler/src/test/java/com/uber/rave/model/FloatRangeTestModel.java,com.uber.rave.model.FloatRangeTestModel,getValue/0,value,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/rave_3b59a9cbdbdecb0108831f667ec5ec809c9af0a5/rave-compiler/src/test/resources/fixtures/jsr305/UseOfJSR305.java,fixtures.jsr305.UseOfJSR305,"UseOfJSR305/2[java.lang.String,java.lang.String]",notNullField,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/rave_3b59a9cbdbdecb0108831f667ec5ec809c9af0a5/rave-compiler/src/test/resources/fixtures/jsr305/UseOfJSR305.java,fixtures.jsr305.UseOfJSR305,"UseOfJSR305/2[java.lang.String,java.lang.String]",canBeNullField,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/rave_3b59a9cbdbdecb0108831f667ec5ec809c9af0a5/rave-compiler/src/test/resources/fixtures/jsr305/UseOfJSR305.java,fixtures.jsr305.UseOfJSR305,getCanBeNullField/0,canBeNullField,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/rave_3b59a9cbdbdecb0108831f667ec5ec809c9af0a5/rave-compiler/src/test/resources/fixtures/jsr305/UseOfJSR305.java,fixtures.jsr305.UseOfJSR305,getNotNullField/0,notNullField,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/rave_3b59a9cbdbdecb0108831f667ec5ec809c9af0a5/rave-compiler/src/main/java/com/uber/rave/compiler/CompilerUtils.java,com.uber.rave.compiler.CompilerUtils$Pair,"Pair/2[A,B]",first,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/rave_3b59a9cbdbdecb0108831f667ec5ec809c9af0a5/rave-compiler/src/main/java/com/uber/rave/compiler/CompilerUtils.java,com.uber.rave.compiler.CompilerUtils$Pair,"Pair/2[A,B]",second,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/rave_3b59a9cbdbdecb0108831f667ec5ec809c9af0a5/rave-compiler/src/test/resources/fixtures/intdef/IntDefTestClass.java,fixtures.intdef.IntDefTestClass,getStandard/0,NAVIGATION_MODE_STANDARD,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/rave_3b59a9cbdbdecb0108831f667ec5ec809c9af0a5/sample/src/main/java/com/uber/rave/sample/network/model/Repo.java,com.uber.rave.sample.network.model.Repo,getOwner/0,owner,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/rave_3b59a9cbdbdecb0108831f667ec5ec809c9af0a5/sample/src/main/java/com/uber/rave/sample/network/model/Repo.java,com.uber.rave.sample.network.model.Repo,setOwner/1[com.uber.rave.sample.network.model.Owner],owner,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/rave_3b59a9cbdbdecb0108831f667ec5ec809c9af0a5/sample/src/main/java/com/uber/rave/sample/network/model/Repo.java,com.uber.rave.sample.network.model.Repo,setId/1[int],id,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/rave_3b59a9cbdbdecb0108831f667ec5ec809c9af0a5/sample/src/main/java/com/uber/rave/sample/network/model/Repo.java,com.uber.rave.sample.network.model.Repo,getId/0,id,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/rave_3b59a9cbdbdecb0108831f667ec5ec809c9af0a5/sample/src/main/java/com/uber/rave/sample/network/model/Repo.java,com.uber.rave.sample.network.model.Repo,getName/0,name,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/rave_3b59a9cbdbdecb0108831f667ec5ec809c9af0a5/sample/src/main/java/com/uber/rave/sample/network/model/Repo.java,com.uber.rave.sample.network.model.Repo,setName/1[java.lang.String],name,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/rave_3b59a9cbdbdecb0108831f667ec5ec809c9af0a5/sample/src/main/java/com/uber/rave/sample/RaveActivity.java,com.uber.rave.sample.RaveActivity,fetchFromStorage/0,useValidStorageCheckBox,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/rave_3b59a9cbdbdecb0108831f667ec5ec809c9af0a5/sample/src/main/java/com/uber/rave/sample/RaveActivity.java,com.uber.rave.sample.RaveActivity,fetchFromStorage/0,diskStorage,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/rave_3b59a9cbdbdecb0108831f667ec5ec809c9af0a5/sample/src/main/java/com/uber/rave/sample/RaveActivity.java,com.uber.rave.sample.RaveActivity,callGitHub/0,gitHubService,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/rave_3b59a9cbdbdecb0108831f667ec5ec809c9af0a5/rave-compiler/src/test/java/com/uber/rave/model/SingleMethodSampleModel.java,com.uber.rave.model.SingleMethodSampleModel,"SingleMethodSampleModel/2[java.lang.String,java.lang.String]",notNullField,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/rave_3b59a9cbdbdecb0108831f667ec5ec809c9af0a5/rave-compiler/src/test/java/com/uber/rave/model/SingleMethodSampleModel.java,com.uber.rave.model.SingleMethodSampleModel,"SingleMethodSampleModel/2[java.lang.String,java.lang.String]",matchStringDef,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/rave_3b59a9cbdbdecb0108831f667ec5ec809c9af0a5/rave-compiler/src/test/java/com/uber/rave/model/SingleMethodSampleModel.java,com.uber.rave.model.SingleMethodSampleModel,getNotNullField/0,notNullField,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/rave_3b59a9cbdbdecb0108831f667ec5ec809c9af0a5/rave-compiler/src/test/java/com/uber/rave/model/SingleMethodSampleModel.java,com.uber.rave.model.SingleMethodSampleModel,getMatchStringDef/0,matchStringDef,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/rave_3b59a9cbdbdecb0108831f667ec5ec809c9af0a5/rave-compiler/src/test/java/com/uber/rave/model/InheritFrom.java,com.uber.rave.model.InheritFrom,getNonNullString/0,nonNullString,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/rave_3b59a9cbdbdecb0108831f667ec5ec809c9af0a5/rave-compiler/src/test/java/com/uber/rave/model/InheritFrom.java,com.uber.rave.model.InheritFrom,"InheritFrom/2[java.lang.String,java.lang.String]",nonNullString,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/rave_3b59a9cbdbdecb0108831f667ec5ec809c9af0a5/rave-compiler/src/main/java/com/uber/rave/compiler/AnnotationVerifier.java,com.uber.rave.compiler.AnnotationVerifier,verifyAnnotationConflicts/1[javax.lang.model.element.TypeElement],elements,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/rave_3b59a9cbdbdecb0108831f667ec5ec809c9af0a5/rave-compiler/src/main/java/com/uber/rave/compiler/AnnotationVerifier.java,com.uber.rave.compiler.AnnotationVerifier,verify/1[javax.lang.model.element.TypeElement],types,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/rave_3b59a9cbdbdecb0108831f667ec5ec809c9af0a5/rave-compiler/src/main/java/com/uber/rave/compiler/AnnotationVerifier.java,com.uber.rave.compiler.AnnotationVerifier,verify/1[javax.lang.model.element.TypeElement],messager,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/rave_3b59a9cbdbdecb0108831f667ec5ec809c9af0a5/rave-compiler/src/main/java/com/uber/rave/compiler/AnnotationVerifier.java,com.uber.rave.compiler.AnnotationVerifier,"reportError/2[java.lang.String,javax.lang.model.element.Element]",messager,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/rave_3b59a9cbdbdecb0108831f667ec5ec809c9af0a5/rave-compiler/src/main/java/com/uber/rave/compiler/AnnotationVerifier.java,com.uber.rave.compiler.AnnotationVerifier,verifyAnnotations/1[javax.lang.model.element.TypeElement],LONGDEF_BAD_RETURN_TYPE_ERROR,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/rave_3b59a9cbdbdecb0108831f667ec5ec809c9af0a5/rave-compiler/src/main/java/com/uber/rave/compiler/AnnotationVerifier.java,com.uber.rave.compiler.AnnotationVerifier,verifyAnnotations/1[javax.lang.model.element.TypeElement],INTDEF_BAD_RETURN_TYPE_ERROR,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/rave_3b59a9cbdbdecb0108831f667ec5ec809c9af0a5/rave-compiler/src/main/java/com/uber/rave/compiler/AnnotationVerifier.java,com.uber.rave.compiler.AnnotationVerifier,verifyAnnotations/1[javax.lang.model.element.TypeElement],elements,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/rave_3b59a9cbdbdecb0108831f667ec5ec809c9af0a5/rave-compiler/src/main/java/com/uber/rave/compiler/AnnotationVerifier.java,com.uber.rave.compiler.AnnotationVerifier,verifyAnnotations/1[javax.lang.model.element.TypeElement],INT_RANGE_BAD_RETURN_TYPE_ERROR,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/rave_3b59a9cbdbdecb0108831f667ec5ec809c9af0a5/rave-compiler/src/main/java/com/uber/rave/compiler/AnnotationVerifier.java,com.uber.rave.compiler.AnnotationVerifier,verifyAnnotations/1[javax.lang.model.element.TypeElement],FLOAT_RANGE_BAD_RETURN_TYPE_ERROR,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/rave_3b59a9cbdbdecb0108831f667ec5ec809c9af0a5/rave-compiler/src/main/java/com/uber/rave/compiler/AnnotationVerifier.java,com.uber.rave.compiler.AnnotationVerifier,"checkFactoryClass/2[javax.lang.model.type.TypeMirror,javax.lang.model.element.TypeElement]",seenFactoryTypeMirror,4
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/rave_3b59a9cbdbdecb0108831f667ec5ec809c9af0a5/rave-compiler/src/main/java/com/uber/rave/compiler/AnnotationVerifier.java,com.uber.rave.compiler.AnnotationVerifier,"checkFactoryClass/2[javax.lang.model.type.TypeMirror,javax.lang.model.element.TypeElement]",types,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/rave_3b59a9cbdbdecb0108831f667ec5ec809c9af0a5/rave-compiler/src/main/java/com/uber/rave/compiler/AnnotationVerifier.java,com.uber.rave.compiler.AnnotationVerifier,implementsAnnotation/1[javax.lang.model.element.TypeElement],types,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/rave_3b59a9cbdbdecb0108831f667ec5ec809c9af0a5/rave-compiler/src/main/java/com/uber/rave/compiler/AnnotationVerifier.java,com.uber.rave.compiler.AnnotationVerifier,getTypeMirror/1[java.lang.Class<?>],elements,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/rave_3b59a9cbdbdecb0108831f667ec5ec809c9af0a5/rave-compiler/src/main/java/com/uber/rave/compiler/AnnotationVerifier.java,com.uber.rave.compiler.AnnotationVerifier,getSeenFactoryTypeMirror/0,seenFactoryTypeMirror,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/rave_3b59a9cbdbdecb0108831f667ec5ec809c9af0a5/rave-compiler/src/main/java/com/uber/rave/compiler/AnnotationVerifier.java,com.uber.rave.compiler.AnnotationVerifier,"AnnotationVerifier/3[javax.annotation.processing.Messager,javax.lang.model.util.Elements,javax.lang.model.util.Types]",types,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/rave_3b59a9cbdbdecb0108831f667ec5ec809c9af0a5/rave-compiler/src/main/java/com/uber/rave/compiler/AnnotationVerifier.java,com.uber.rave.compiler.AnnotationVerifier,"AnnotationVerifier/3[javax.annotation.processing.Messager,javax.lang.model.util.Elements,javax.lang.model.util.Types]",elements,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/rave_3b59a9cbdbdecb0108831f667ec5ec809c9af0a5/rave-compiler/src/main/java/com/uber/rave/compiler/AnnotationVerifier.java,com.uber.rave.compiler.AnnotationVerifier,"AnnotationVerifier/3[javax.annotation.processing.Messager,javax.lang.model.util.Elements,javax.lang.model.util.Types]",messager,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/rave_3b59a9cbdbdecb0108831f667ec5ec809c9af0a5/rave/src/main/java/com/uber/rave/Rave.java,com.uber.rave.Rave,"registerValidatorWithClass/2[com.uber.rave.BaseValidator,java.lang.Class<?>]",classValidatorMap,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/rave_3b59a9cbdbdecb0108831f667ec5ec809c9af0a5/rave/src/main/java/com/uber/rave/Rave.java,com.uber.rave.Rave,"registerValidator/2[com.uber.rave.BaseValidator,java.util.Set<java.lang.Class<?>>]",classValidatorMap,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/rave_3b59a9cbdbdecb0108831f667ec5ec809c9af0a5/rave/src/main/java/com/uber/rave/Rave.java,com.uber.rave.Rave,validate/1[java.lang.Object],classValidatorMap,1
