file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/rdf4j_6f63df540e30b28e0c8880bea72f85cb88424b03/compliance/rio/src/test/java/org/eclipse/rdf4j/rio/trig/TriGParserTest.java,org.eclipse.rdf4j.rio.trig.TriGParserTest,class,6,8,2,6,3,2,0,2,3,0.0,0.0,0.0,3,1,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,13,3,0,0,0,0,0,0,1,0,1,0,0,0,0,18,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/rdf4j_6f63df540e30b28e0c8880bea72f85cb88424b03/query/src/main/java/org/eclipse/rdf4j/query/impl/AbstractOperation.java,org.eclipse.rdf4j.query.impl.AbstractOperation,class,5,7,2,5,11,1,2,3,37,0.77272725,0.16363636,0.16363636,11,0,10,0,1,0,11,0,0,0,4,0,0,1,3,0,1,0,0,38,4,0,0,0,0,0,1,7,0,4,0,0,0,0,32,1025,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/rdf4j_6f63df540e30b28e0c8880bea72f85cb88424b03/rio/jsonld/src/main/java/org/eclipse/rdf4j/rio/jsonld/JSONLDWriterFactory.java,org.eclipse.rdf4j.rio.jsonld.JSONLDWriterFactory,class,4,6,2,4,5,1,0,0,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,17,5,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/rdf4j_6f63df540e30b28e0c8880bea72f85cb88424b03/query/src/main/java/org/eclipse/rdf4j/query/impl/QueueCursor.java,org.eclipse.rdf4j.query.impl.QueueCursor,class,3,5,2,3,4,4,0,0,6,0.0,0.0,0.0,4,0,3,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/rdf4j_6f63df540e30b28e0c8880bea72f85cb88424b03/queryparser/sparql/src/main/java/org/eclipse/rdf4j/query/parser/sparql/BlankNodeVarProcessor.java,org.eclipse.rdf4j.query.parser.sparql.BlankNodeVarProcessor$BlankNodeToVarConverter,innerclass,9,9,0,9,12,2,0,19,9,0.61904764,0.3,0.3,7,0,5,2,0,0,5,0,0,0,3,0,0,3,0,0,0,0,1,46,8,0,4,0,0,2,1,8,2,7,2,0,0,0,42,10,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/rdf4j_6f63df540e30b28e0c8880bea72f85cb88424b03/repository/sparql/src/main/java/org/eclipse/rdf4j/repository/sparql/query/SPARQLOperation.java,org.eclipse.rdf4j.repository.sparql.query.SPARQLOperation,class,10,11,1,10,32,1,0,35,82,0.84375,0.24358974,0.37179488,16,0,10,3,3,0,13,0,0,0,6,1,0,3,3,0,0,0,2,114,12,2,5,0,0,14,5,24,4,20,3,0,0,0,69,1025,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/rdf4j_6f63df540e30b28e0c8880bea72f85cb88424b03/queryresultio/text/src/main/java/org/eclipse/rdf4j/query/resultio/text/tsv/SPARQLResultsTSVReader.java,org.eclipse.rdf4j.query.resultio.text.tsv.SPARQLResultsTSVReader,class,1,2,1,1,3,2,0,3,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,1,0,0,1,1,1,0,1,0,0,0,0,41,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/rdf4j_6f63df540e30b28e0c8880bea72f85cb88424b03/queryalgebra-model/src/main/java/org/eclipse/rdf4j/query/algebra/MathExpr.java,org.eclipse.rdf4j.query.algebra.MathExpr,class,6,9,3,6,12,3,0,10,6,0.33333334,0.41666666,0.41666666,9,0,9,0,0,0,9,0,0,0,1,0,0,1,0,0,0,0,0,43,6,0,1,0,0,3,0,2,1,2,1,0,1,0,49,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/rdf4j_6f63df540e30b28e0c8880bea72f85cb88424b03/queryparser/sparql/src/main/java/org/eclipse/rdf4j/query/parser/sparql/ast/ASTOptionalGraphPattern.java,org.eclipse.rdf4j.query.parser.sparql.ast.ASTOptionalGraphPattern,class,3,7,4,3,3,2,0,1,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/rdf4j_6f63df540e30b28e0c8880bea72f85cb88424b03/queryparser/sparql/src/test/java/org/eclipse/rdf4j/query/parser/sparql/SPARQLParseBenchmark.java,org.eclipse.rdf4j.query.parser.sparql.SPARQLParseBenchmark,class,13,14,1,13,4,1,0,7,3,0.0,0.0,0.0,3,1,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,19,1,1,0,0,0,7,6,7,2,6,1,0,0,0,36,1,0
