file,class,method,variable,usage
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/rocketmq-externals_dba6eb0c997d5c325f26b3d1da9d739d927228dc/rocketmq-mysql/src/main/java/org/apache/rocketmq/mysql/productor/RocketMQProducer.java,org.apache.rocketmq.mysql.productor.RocketMQProducer,RocketMQProducer/1[org.apache.rocketmq.mysql.Config],config,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/rocketmq-externals_dba6eb0c997d5c325f26b3d1da9d739d927228dc/rocketmq-mysql/src/main/java/org/apache/rocketmq/mysql/productor/RocketMQProducer.java,org.apache.rocketmq.mysql.productor.RocketMQProducer,start/0,producer,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/rocketmq-externals_dba6eb0c997d5c325f26b3d1da9d739d927228dc/rocketmq-mysql/src/main/java/org/apache/rocketmq/mysql/productor/RocketMQProducer.java,org.apache.rocketmq.mysql.productor.RocketMQProducer,push/1[java.lang.String],producer,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/rocketmq-externals_dba6eb0c997d5c325f26b3d1da9d739d927228dc/rocketmq-mysql/src/main/java/org/apache/rocketmq/mysql/productor/RocketMQProducer.java,org.apache.rocketmq.mysql.productor.RocketMQProducer,push/1[java.lang.String],LOGGER,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/rocketmq-externals_dba6eb0c997d5c325f26b3d1da9d739d927228dc/rocketmq-console/src/main/java/org/apache/rocketmq/console/model/ConsumerGroupRollBackStat.java,org.apache.rocketmq.console.model.ConsumerGroupRollBackStat,setRollbackStatsList/1[java.util.List<org.apache.rocketmq.console.model.RollbackStats>],rollbackStatsList,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/rocketmq-externals_dba6eb0c997d5c325f26b3d1da9d739d927228dc/rocketmq-console/src/main/java/org/apache/rocketmq/console/model/ConsumerGroupRollBackStat.java,org.apache.rocketmq.console.model.ConsumerGroupRollBackStat,isStatus/0,status,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/rocketmq-externals_dba6eb0c997d5c325f26b3d1da9d739d927228dc/rocketmq-console/src/main/java/org/apache/rocketmq/console/model/ConsumerGroupRollBackStat.java,org.apache.rocketmq.console.model.ConsumerGroupRollBackStat,getErrMsg/0,errMsg,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/rocketmq-externals_dba6eb0c997d5c325f26b3d1da9d739d927228dc/rocketmq-console/src/main/java/org/apache/rocketmq/console/model/ConsumerGroupRollBackStat.java,org.apache.rocketmq.console.model.ConsumerGroupRollBackStat,setErrMsg/1[java.lang.String],errMsg,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/rocketmq-externals_dba6eb0c997d5c325f26b3d1da9d739d927228dc/rocketmq-console/src/main/java/org/apache/rocketmq/console/model/ConsumerGroupRollBackStat.java,org.apache.rocketmq.console.model.ConsumerGroupRollBackStat,setStatus/1[boolean],status,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/rocketmq-externals_dba6eb0c997d5c325f26b3d1da9d739d927228dc/rocketmq-console/src/main/java/org/apache/rocketmq/console/model/ConsumerGroupRollBackStat.java,org.apache.rocketmq.console.model.ConsumerGroupRollBackStat,ConsumerGroupRollBackStat/1[boolean],status,3
