file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/royale-compiler_fbd9bc3b9e48c80dbd8c1d32a6f83221e314efdd/compiler-jx/src/test/java/org/apache/royale/compiler/internal/codegen/js/royale/TestRoyaleGlobalFunctions.java,org.apache.royale.compiler.internal.codegen.js.royale.TestRoyaleGlobalFunctions,class,12,13,1,12,23,5,0,11,253,0.0,0.0,0.0,23,0,22,0,1,0,23,0,0,0,0,0,0,0,0,0,0,0,0,117,1,0,0,0,0,43,0,24,0,21,0,0,0,0,71,1,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/royale-compiler_fbd9bc3b9e48c80dbd8c1d32a6f83221e314efdd/compiler/src/main/java/org/apache/royale/compiler/internal/as/codegen/ABCGeneratingReducer.java,org.apache.royale.compiler.internal.as.codegen.ABCGeneratingReducer$ConditionalFragment,innerclass,5,5,0,5,21,1,0,6,0,0.5555556,0.60714287,1.0,9,0,0,1,0,8,8,0,0,0,5,0,0,1,0,4,0,0,0,53,7,1,10,0,4,1,0,12,0,5,2,0,0,0,78,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/royale-compiler_fbd9bc3b9e48c80dbd8c1d32a6f83221e314efdd/compiler/src/main/java/org/apache/royale/compiler/parsing/IMetadataParser.java,org.apache.royale.compiler.parsing.IMetadataParser,interface,1,2,1,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/royale-compiler_fbd9bc3b9e48c80dbd8c1d32a6f83221e314efdd/compiler-common/src/main/java/org/apache/royale/compiler/internal/config/FileConfigurator.java,org.apache.royale.compiler.internal.config.FileConfigurator$FormatNode,innerclass,3,3,0,3,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,5,0,0,0,0,9,10,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/royale-compiler_fbd9bc3b9e48c80dbd8c1d32a6f83221e314efdd/compiler/src/main/java/org/apache/royale/compiler/internal/workspaces/Workspace.java,org.apache.royale.compiler.internal.workspaces.Workspace$BuildSynchronizationState,innerclass,1,1,0,1,29,1,0,12,0,0.33333334,1.0,1.0,9,0,0,1,0,8,8,0,0,0,6,0,0,6,0,0,3,0,4,122,5,3,11,7,6,1,15,13,0,13,2,0,0,0,74,26,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/royale-compiler_fbd9bc3b9e48c80dbd8c1d32a6f83221e314efdd/royale-maven-plugin/src/main/java/org/apache/royale/maven/GenerateManifestsMojo.java,org.apache.royale.maven.GenerateManifestsMojo,class,16,17,1,16,27,2,0,52,3,0.6666667,NaN,NaN,3,0,1,2,0,0,1,0,0,0,5,0,0,2,3,0,0,0,5,148,1,8,3,4,2,31,4,38,2,42,5,1,0,0,111,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/royale-compiler_fbd9bc3b9e48c80dbd8c1d32a6f83221e314efdd/compiler/src/main/java/org/apache/royale/abc/ClassDependencySort.java,org.apache.royale.abc.ClassDependencySort$DependencyTracker,innerclass,4,4,0,4,15,1,0,5,0,0.22222222,0.6666667,1.0,3,0,0,0,0,3,3,0,0,0,3,0,0,0,0,3,0,0,0,28,0,2,4,0,0,1,0,5,0,5,2,0,0,0,51,8,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/royale-compiler_fbd9bc3b9e48c80dbd8c1d32a6f83221e314efdd/compiler-common/src/main/java/org/apache/royale/compiler/exceptions/ConfigurationException.java,org.apache.royale.compiler.exceptions.ConfigurationException$ConfigurationIOError,innerclass,1,1,0,1,1,4,0,0,0,0.5,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,1,1,1,0,0,1,0,0,8,0,0,0,0,0,0,1,2,0,2,0,0,0,0,13,9,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/royale-compiler_fbd9bc3b9e48c80dbd8c1d32a6f83221e314efdd/compiler-jx/src/test/java/org/apache/royale/compiler/internal/codegen/js/goog/TestGoogGlobalClasses.java,org.apache.royale.compiler.internal.codegen.js.goog.TestGoogGlobalClasses,class,8,9,1,8,31,4,1,5,465,0.0,0.0,0.0,31,0,30,0,1,0,31,0,0,0,0,0,0,0,0,0,0,0,0,155,1,0,0,0,0,60,0,30,0,30,0,0,0,0,67,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/royale-compiler_fbd9bc3b9e48c80dbd8c1d32a6f83221e314efdd/compiler/src/main/java/org/apache/royale/compiler/tree/as/decorators/SymbolDecoratorProvider.java,org.apache.royale.compiler.tree.as.decorators.SymbolDecoratorProvider,class,3,4,1,3,11,1,0,7,0,0.375,0.33333334,0.33333334,4,1,3,1,0,0,3,0,0,0,2,1,0,2,0,0,0,0,0,29,2,1,3,0,2,2,0,5,0,5,3,0,0,0,56,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/royale-compiler_fbd9bc3b9e48c80dbd8c1d32a6f83221e314efdd/compiler/src/main/java/org/apache/royale/compiler/constants/IMetaAttributeConstants.java,org.apache.royale.compiler.constants.IMetaAttributeConstants,interface,0,0,0,0,0,1,0,2,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,107,107,1,0,0,106,107,0,2,109,0,0,0,0,0,106,0,107,0,107,0,0,0,0,45,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/royale-compiler_fbd9bc3b9e48c80dbd8c1d32a6f83221e314efdd/compiler-jx/src/main/java/org/apache/royale/compiler/utils/JSClosureCompilerUtil.java,org.apache.royale.compiler.utils.JSClosureCompilerUtil$Anonymous1,anonymous,1,1,0,1,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/royale-compiler_fbd9bc3b9e48c80dbd8c1d32a6f83221e314efdd/compiler-jx/src/main/java/org/apache/royale/compiler/clients/ASDOCJSC.java,org.apache.royale.compiler.clients.ASDOCJSC$ExitCode,enum,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,5,0,0,0,0,0,0,5,1,0,1,0,0,0,0,25,8,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/royale-compiler_fbd9bc3b9e48c80dbd8c1d32a6f83221e314efdd/debugger/src/main/java/flash/tools/debugger/threadsafe/ThreadSafeIsolate.java,flash.tools.debugger.threadsafe.ThreadSafeIsolate,class,3,5,2,3,6,1,0,3,4,0.5,0.0,0.0,4,2,3,1,0,0,3,0,0,0,1,0,0,1,0,0,0,0,1,23,4,1,1,0,0,0,1,4,0,3,1,0,0,0,39,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/royale-compiler_fbd9bc3b9e48c80dbd8c1d32a6f83221e314efdd/compiler/src/main/java/org/apache/royale/compiler/internal/units/FXGCompilationUnit.java,org.apache.royale.compiler.internal.units.FXGCompilationUnit,class,40,42,2,40,14,3,0,60,8,0.625,0.2857143,0.2857143,8,0,2,1,5,0,7,0,0,0,3,2,1,2,0,0,1,0,3,204,7,2,1,5,0,2,0,39,0,36,3,1,3,0,131,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/royale-compiler_fbd9bc3b9e48c80dbd8c1d32a6f83221e314efdd/compiler/src/main/java/org/apache/royale/compiler/internal/parsing/as/SimpleASDocDelegate.java,org.apache.royale.compiler.internal.parsing.as.SimpleASDocDelegate$ASDelegate,innerclass,8,8,0,8,6,1,0,0,4,0.6,0.1,0.1,5,0,5,0,0,0,5,0,0,0,2,1,0,0,0,2,1,0,0,20,3,0,1,0,0,1,0,4,0,3,1,0,0,0,27,26,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/royale-compiler_fbd9bc3b9e48c80dbd8c1d32a6f83221e314efdd/compiler-common/src/main/java/org/apache/royale/compiler/targets/ISWFTarget.java,org.apache.royale.compiler.targets.ISWFTarget,interface,3,4,1,3,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/royale-compiler_fbd9bc3b9e48c80dbd8c1d32a6f83221e314efdd/compiler-externc/src/main/java/org/apache/royale/compiler/internal/codegen/typedefs/pass/ResolvePackagesPass.java,org.apache.royale.compiler.internal.codegen.typedefs.pass.ResolvePackagesPass,class,9,11,2,9,10,2,0,13,10,0.0,0.0,0.0,5,0,4,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,43,2,2,0,0,0,8,0,8,3,7,3,0,0,0,36,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/royale-compiler_fbd9bc3b9e48c80dbd8c1d32a6f83221e314efdd/compiler/src/main/java/org/apache/royale/compiler/definitions/IClassDefinition.java,org.apache.royale.compiler.definitions.IClassDefinition,interface,15,42,27,15,33,1,0,4,528,1.0,0.0,0.0,33,0,2,0,0,31,33,0,0,0,4,4,0,0,0,4,4,0,0,46,0,0,0,0,0,0,0,4,0,4,0,0,2,0,307,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/royale-compiler_fbd9bc3b9e48c80dbd8c1d32a6f83221e314efdd/swfutils/src/main/java/flash/swf/tags/DefineButton.java,flash.swf.tags.DefineButton,class,10,18,8,10,12,3,0,5,4,0.5416667,0.0,0.0,4,0,4,0,0,0,4,0,0,0,6,0,6,0,0,0,0,0,4,42,2,0,2,0,2,0,0,3,0,8,2,1,0,0,58,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/royale-compiler_fbd9bc3b9e48c80dbd8c1d32a6f83221e314efdd/debugger/src/main/java/flash/tools/debugger/IProgress.java,flash.tools.debugger.IProgress,interface,0,4,4,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/royale-compiler_fbd9bc3b9e48c80dbd8c1d32a6f83221e314efdd/compiler/src/main/java/org/apache/royale/compiler/internal/css/CSSNodeBase.java,org.apache.royale.compiler.internal.css.CSSNodeBase$Anonymous1,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/royale-compiler_fbd9bc3b9e48c80dbd8c1d32a6f83221e314efdd/compiler/src/main/java/org/apache/royale/compiler/internal/fxg/dom/GroupNode.java,org.apache.royale.compiler.internal.fxg.dom.GroupNode,class,11,16,5,11,22,3,0,18,35,0.81250006,0.2,0.26666668,10,0,10,0,0,0,10,0,0,0,8,0,5,3,0,0,0,0,4,88,8,0,2,0,2,0,4,24,0,12,3,0,0,0,92,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/royale-compiler_fbd9bc3b9e48c80dbd8c1d32a6f83221e314efdd/compiler/src/main/java/org/apache/royale/compiler/problems/MissingUnsignedDigestProblem.java,org.apache.royale.compiler.problems.MissingUnsignedDigestProblem,class,1,2,1,1,1,2,0,0,0,0.6666667,NaN,NaN,1,0,1,0,0,0,1,0,0,0,3,2,3,0,0,0,3,0,0,9,0,0,0,0,0,1,1,3,0,3,0,0,0,0,37,17,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/royale-compiler_fbd9bc3b9e48c80dbd8c1d32a6f83221e314efdd/swfutils/src/main/java/flash/swf/types/ColorMatrixFilter.java,flash.swf.types.ColorMatrixFilter,class,2,3,1,2,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,1,2,0,0,0,1,0,0,7,1,0,0,0,0,0,2,2,0,2,0,0,0,0,13,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/royale-compiler_fbd9bc3b9e48c80dbd8c1d32a6f83221e314efdd/compiler/src/main/java/org/apache/royale/compiler/problems/InlineNoSourceProblem.java,org.apache.royale.compiler.problems.InlineNoSourceProblem,class,1,1,0,1,1,2,0,0,0,0.6666667,NaN,NaN,1,0,1,0,0,0,1,0,0,0,3,2,3,0,0,0,3,0,0,9,0,0,0,0,0,1,1,3,0,3,0,0,0,0,32,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/royale-compiler_fbd9bc3b9e48c80dbd8c1d32a6f83221e314efdd/compiler/src/main/java/org/apache/royale/compiler/internal/fxg/dom/types/BaselineOffset.java,org.apache.royale.compiler.internal.fxg.dom.types.BaselineOffset$BaselineOffsetAsEnum,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/royale-compiler_fbd9bc3b9e48c80dbd8c1d32a6f83221e314efdd/compiler/src/main/java/org/apache/royale/compiler/tree/mxml/IMXMLScriptNode.java,org.apache.royale.compiler.tree.mxml.IMXMLScriptNode,interface,3,4,1,3,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/royale-compiler_fbd9bc3b9e48c80dbd8c1d32a6f83221e314efdd/compiler/src/main/java/org/apache/royale/compiler/internal/definitions/NamespaceDefinition.java,org.apache.royale.compiler.internal.definitions.NamespaceDefinition$StaticProtectedNamespaceDefinition,innerclass,3,3,0,3,3,4,0,1,1,0.0,-1.0,-1.0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,26,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/royale-compiler_fbd9bc3b9e48c80dbd8c1d32a6f83221e314efdd/compiler-jx/src/main/java/org/apache/royale/compiler/internal/codegen/js/jx/BinaryOperatorEmitter.java,org.apache.royale.compiler.internal.codegen.js.jx.BinaryOperatorEmitter$DatePropertiesGetters,enum,0,0,0,0,3,1,0,0,0,0.33333334,0.6666667,1.0,3,0,2,0,0,1,3,0,0,0,2,0,0,2,0,0,0,0,0,13,2,0,0,0,0,36,0,2,0,2,0,0,0,0,27,9,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/royale-compiler_fbd9bc3b9e48c80dbd8c1d32a6f83221e314efdd/compiler-jx/src/main/java/org/apache/royale/compiler/internal/codegen/js/jx/InterfaceEmitter.java,org.apache.royale.compiler.internal.codegen.js.jx.InterfaceEmitter,class,18,19,1,18,11,2,0,35,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,87,0,1,3,0,1,2,0,13,0,12,3,0,0,0,44,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/royale-compiler_fbd9bc3b9e48c80dbd8c1d32a6f83221e314efdd/compiler/src/main/java/org/apache/royale/compiler/internal/tree/as/UseNamespaceNode.java,org.apache.royale.compiler.internal.tree.as.UseNamespaceNode,class,16,17,1,16,16,4,0,14,0,0.22222222,0.41666666,0.41666666,9,0,7,0,2,0,9,0,0,0,1,0,0,0,1,0,0,0,1,43,6,0,5,0,5,1,3,2,0,1,2,0,0,0,39,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/royale-compiler_fbd9bc3b9e48c80dbd8c1d32a6f83221e314efdd/compiler/src/main/java/org/apache/royale/compiler/problems/SWFCSMTextSettingsWrongReferenceTypeProblem.java,org.apache.royale.compiler.problems.SWFCSMTextSettingsWrongReferenceTypeProblem,class,1,1,0,1,1,2,0,0,0,0.6666667,NaN,NaN,1,0,1,0,0,0,1,0,0,0,3,2,3,0,0,0,3,0,0,9,0,0,0,0,0,1,1,3,0,3,0,0,0,0,45,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/royale-compiler_fbd9bc3b9e48c80dbd8c1d32a6f83221e314efdd/compiler/src/main/java/org/apache/royale/compiler/internal/scopes/WithScope.java,org.apache.royale.compiler.internal.scopes.WithScope,class,2,3,1,2,2,4,0,0,1,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/royale-compiler_fbd9bc3b9e48c80dbd8c1d32a6f83221e314efdd/compiler/src/main/java/org/apache/royale/compiler/tree/mxml/IMXMLResourceNode.java,org.apache.royale.compiler.tree.mxml.IMXMLResourceNode,interface,2,2,0,2,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/royale-compiler_fbd9bc3b9e48c80dbd8c1d32a6f83221e314efdd/compiler-jx/src/main/java/org/apache/royale/compiler/clients/MXMLJSCRoyale.java,org.apache.royale.compiler.clients.MXMLJSCRoyale,class,57,62,5,57,155,1,2,169,191,0.8362284,0.22807017,0.45614034,31,2,10,12,9,0,19,0,0,0,13,1,1,3,9,0,0,0,8,657,34,20,29,11,9,146,37,171,48,131,9,0,1,0,312,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/royale-compiler_fbd9bc3b9e48c80dbd8c1d32a6f83221e314efdd/compiler/src/main/java/org/apache/royale/compiler/problems/InvalidByteCodeGeneratedProblem.java,org.apache.royale.compiler.problems.InvalidByteCodeGeneratedProblem,class,6,8,2,6,4,2,2,2,1,0.0,0.0,0.0,2,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,2,0,0,0,1,2,0,2,1,0,0,0,66,1025,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/royale-compiler_fbd9bc3b9e48c80dbd8c1d32a6f83221e314efdd/swfutils/src/main/java/flash/swf/types/ButtonCondAction.java,flash.swf.types.ButtonCondAction,class,2,6,4,2,29,1,0,5,0,0.045454547,1.0,1.0,2,0,2,0,0,0,2,0,0,0,11,0,11,0,0,0,0,0,0,38,2,0,15,0,17,11,3,4,2,14,2,0,0,0,62,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/royale-compiler_fbd9bc3b9e48c80dbd8c1d32a6f83221e314efdd/compiler/src/main/java/org/apache/royale/compiler/problems/BaseClassIsFinalProblem.java,org.apache.royale.compiler.problems.BaseClassIsFinalProblem,class,2,2,0,2,1,2,0,0,0,0.6666667,NaN,NaN,1,0,1,0,0,0,1,0,0,0,3,2,3,0,0,0,3,0,0,8,0,0,0,0,0,2,1,3,0,3,0,0,0,0,32,17,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/royale-compiler_fbd9bc3b9e48c80dbd8c1d32a6f83221e314efdd/compiler-common/src/main/java/org/apache/royale/compiler/clients/problems/CompilerProblemCategorizer.java,org.apache.royale.compiler.clients.problems.CompilerProblemCategorizer,class,7,11,4,7,20,1,0,12,7,0.5833334,0.0,0.0,6,0,4,2,0,0,4,0,0,0,2,0,0,2,0,0,1,0,0,57,6,2,12,0,0,2,0,11,0,7,3,0,0,0,91,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/royale-compiler_fbd9bc3b9e48c80dbd8c1d32a6f83221e314efdd/compiler/src/main/java/org/apache/royale/compiler/problems/MXMLOtherLanguageNamespaceProblem.java,org.apache.royale.compiler.problems.MXMLOtherLanguageNamespaceProblem,class,2,2,0,2,1,2,0,0,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,2,2,0,0,0,2,0,0,7,0,0,0,0,0,1,1,2,0,2,0,0,0,0,39,17,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/royale-compiler_fbd9bc3b9e48c80dbd8c1d32a6f83221e314efdd/compiler-common/src/main/java/org/apache/royale/swf/ITagContainer.java,org.apache.royale.swf.ITagContainer,interface,2,3,1,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/royale-compiler_fbd9bc3b9e48c80dbd8c1d32a6f83221e314efdd/compiler/src/main/java/org/apache/royale/compiler/problems/ASDocNotClosedProblem.java,org.apache.royale.compiler.problems.ASDocNotClosedProblem,class,3,3,0,3,1,3,0,0,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,2,2,0,0,0,2,0,0,7,0,0,0,0,0,1,1,2,0,2,0,0,0,0,26,17,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/royale-compiler_fbd9bc3b9e48c80dbd8c1d32a6f83221e314efdd/compiler/src/main/java/org/apache/royale/compiler/scopes/IFileScope.java,org.apache.royale.compiler.scopes.IFileScope,interface,2,4,2,2,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/royale-compiler_fbd9bc3b9e48c80dbd8c1d32a6f83221e314efdd/compiler/src/main/java/org/apache/royale/compiler/internal/tree/as/ChainedVariableNode.java,org.apache.royale.compiler.internal.tree.as.ChainedVariableNode,class,14,17,3,14,23,8,0,15,78,0.0,0.0,0.0,13,0,10,1,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,64,21,0,10,0,0,0,0,10,0,10,1,0,0,0,46,17,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/royale-compiler_fbd9bc3b9e48c80dbd8c1d32a6f83221e314efdd/compiler/src/main/java/org/apache/royale/abc/PoolingABCVisitor.java,org.apache.royale.abc.PoolingABCVisitor$MethodBodyVisitor,innerclass,9,9,0,9,13,1,0,13,0,0.07692308,0.84615386,0.84615386,13,0,12,0,0,1,13,0,0,0,1,0,0,0,0,1,0,0,0,42,2,0,0,0,0,0,0,1,0,1,0,0,0,0,38,2,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/royale-compiler_fbd9bc3b9e48c80dbd8c1d32a6f83221e314efdd/compiler-common/src/main/java/org/apache/royale/compiler/exceptions/ConfigurationException.java,org.apache.royale.compiler.exceptions.ConfigurationException$OtherThrowable,innerclass,1,1,0,1,1,4,0,0,0,0.5,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,1,1,1,0,0,1,0,0,8,0,0,0,0,0,0,1,2,0,2,0,0,0,0,14,9,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/royale-compiler_fbd9bc3b9e48c80dbd8c1d32a6f83221e314efdd/compiler/src/test/java/org/apache/royale/compiler/internal/tree/mxml/MXMLWebServiceNodeTests.java,org.apache.royale.compiler.internal.tree.mxml.MXMLWebServiceNodeTests,class,8,9,1,8,2,4,0,10,1,0.0,NaN,NaN,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0,0,0,0,18,4,7,0,7,0,0,0,0,39,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/royale-compiler_fbd9bc3b9e48c80dbd8c1d32a6f83221e314efdd/compiler/src/main/java/org/apache/royale/compiler/internal/as/codegen/ICodeGenerator.java,org.apache.royale.compiler.internal.as.codegen.ICodeGenerator,interface,11,26,15,11,12,1,0,0,66,0.0,0.0,0.0,12,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,277,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/royale-compiler_fbd9bc3b9e48c80dbd8c1d32a6f83221e314efdd/flex-compiler-oem/src/main/java/flex2/compiler/SourceList.java,flex2.compiler.SourceList$FileNotInSourcePath,innerclass,1,1,0,1,1,6,0,0,0,0.5,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,1,1,1,0,0,2,0,0,8,0,0,0,0,0,0,1,2,0,2,0,0,0,0,13,9,0
