file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/santuario-java_fa12dc57a16fbcd637c2aac6f3af3db19fe4b187/src/main/java/org/apache/xml/security/utils/resolver/ResourceResolver.java,org.apache.xml.security.utils.resolver.ResourceResolver,class,12,19,7,12,20,1,0,19,5,0.61904764,0.3809524,0.47619048,7,7,7,0,0,0,7,0,0,0,3,3,0,3,0,0,3,0,10,71,3,3,3,0,1,9,2,11,0,11,3,0,0,0,116,1,4
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/santuario-java_fa12dc57a16fbcd637c2aac6f3af3db19fe4b187/src/test/java/javax/xml/crypto/test/dsig/SecureXSLTTest.java,javax.xml.crypto.test.dsig.SecureXSLTTest,class,5,5,0,5,10,1,0,18,6,0.0,0.0,0.0,4,0,3,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,11,45,0,0,4,1,0,36,4,15,3,15,2,0,0,0,41,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/santuario-java_fa12dc57a16fbcd637c2aac6f3af3db19fe4b187/src/main/java/org/apache/jcp/xml/dsig/internal/dom/DOMSignatureMethod.java,org.apache.jcp.xml.dsig.internal.dom.DOMSignatureMethod$SHA256withDSA,innerclass,3,3,0,3,5,4,0,0,10,0.0,0.0,0.0,5,0,1,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,17,3,0,0,0,0,1,0,0,0,0,0,0,0,0,25,24,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/santuario-java_fa12dc57a16fbcd637c2aac6f3af3db19fe4b187/src/test/java/org/apache/xml/security/test/dom/encryption/BobKeyResolver.java,org.apache.xml.security.test.dom.encryption.BobKeyResolver,class,7,8,1,7,10,2,0,9,10,0.8,0.0,0.0,5,0,0,0,5,0,5,0,0,0,2,1,0,2,0,0,1,0,1,42,7,0,1,2,0,6,0,6,1,6,3,0,0,0,51,1,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/santuario-java_fa12dc57a16fbcd637c2aac6f3af3db19fe4b187/src/main/java/org/apache/xml/security/stax/ext/SecurePart.java,org.apache.xml.security.stax.ext.SecurePart,class,2,13,11,2,28,1,0,2,236,0.8452381,0.18783069,0.51058203,28,0,28,0,0,0,28,0,0,0,9,0,0,9,0,0,0,0,0,121,10,0,0,0,0,0,0,24,0,9,0,0,1,0,69,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/santuario-java_fa12dc57a16fbcd637c2aac6f3af3db19fe4b187/src/test/java/org/apache/xml/security/test/dom/signature/SignatureTest.java,org.apache.xml.security.test.dom.signature.SignatureTest,class,13,14,1,13,21,1,0,43,87,0.9285715,0.035714287,0.035714287,14,0,8,6,0,0,8,0,0,0,5,5,4,1,0,0,5,0,4,141,8,2,3,0,0,18,2,44,2,43,2,0,1,0,77,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/santuario-java_fa12dc57a16fbcd637c2aac6f3af3db19fe4b187/src/main/java/org/apache/xml/security/keys/content/KeyInfoContent.java,org.apache.xml.security.keys.content.KeyInfoContent,interface,0,9,9,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/santuario-java_fa12dc57a16fbcd637c2aac6f3af3db19fe4b187/src/main/java/org/apache/xml/security/utils/RFC2253Parser.java,org.apache.xml.security.utils.RFC2253Parser,class,1,5,4,1,81,1,0,34,171,0.0,0.0,0.0,19,19,4,1,0,14,18,0,0,0,0,0,0,0,0,0,0,0,31,238,24,9,22,3,13,14,75,78,23,53,3,0,0,0,77,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/santuario-java_fa12dc57a16fbcd637c2aac6f3af3db19fe4b187/src/test/java/org/apache/xml/security/test/stax/performance/AbstractPerformanceTest.java,org.apache.xml.security.test.stax.performance.AbstractPerformanceTest,class,17,20,3,17,23,1,2,72,58,0.8014706,0.2867647,0.77205884,17,1,2,0,15,0,17,1,0,0,8,1,0,5,3,0,0,0,5,182,4,5,2,0,2,39,8,59,5,56,2,0,0,0,96,1025,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/santuario-java_fa12dc57a16fbcd637c2aac6f3af3db19fe4b187/src/main/java/org/apache/xml/security/keys/content/RetrievalMethod.java,org.apache.xml.security.keys.content.RetrievalMethod,class,9,11,2,9,11,3,0,8,21,1.0,0.0,0.0,7,0,7,0,0,0,7,0,0,0,7,7,7,0,0,0,7,0,1,47,6,0,3,1,0,7,1,8,7,8,2,0,0,0,59,1,0
