file,class,method,variable,usage
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/servicemix-bundles_5f2c7727f71c167997947ad4604f9b8200952af2/rome-1.0/src/main/java/com/sun/syndication/io/impl/PluginManager.java,com.sun.syndication.io.impl.PluginManager,getKeys/0,_keys,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/servicemix-bundles_5f2c7727f71c167997947ad4604f9b8200952af2/rome-1.0/src/main/java/com/sun/syndication/io/impl/PluginManager.java,com.sun.syndication.io.impl.PluginManager,"PluginManager/3[java.lang.String,com.sun.syndication.io.impl.WireFeedParser,com.sun.syndication.io.impl.WireFeedGenerator]",_pluginsMap,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/servicemix-bundles_5f2c7727f71c167997947ad4604f9b8200952af2/rome-1.0/src/main/java/com/sun/syndication/io/impl/PluginManager.java,com.sun.syndication.io.impl.PluginManager,"PluginManager/3[java.lang.String,com.sun.syndication.io.impl.WireFeedParser,com.sun.syndication.io.impl.WireFeedGenerator]",_parentGenerator,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/servicemix-bundles_5f2c7727f71c167997947ad4604f9b8200952af2/rome-1.0/src/main/java/com/sun/syndication/io/impl/PluginManager.java,com.sun.syndication.io.impl.PluginManager,"PluginManager/3[java.lang.String,com.sun.syndication.io.impl.WireFeedParser,com.sun.syndication.io.impl.WireFeedGenerator]",_propertyValues,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/servicemix-bundles_5f2c7727f71c167997947ad4604f9b8200952af2/rome-1.0/src/main/java/com/sun/syndication/io/impl/PluginManager.java,com.sun.syndication.io.impl.PluginManager,"PluginManager/3[java.lang.String,com.sun.syndication.io.impl.WireFeedParser,com.sun.syndication.io.impl.WireFeedGenerator]",_pluginsList,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/servicemix-bundles_5f2c7727f71c167997947ad4604f9b8200952af2/rome-1.0/src/main/java/com/sun/syndication/io/impl/PluginManager.java,com.sun.syndication.io.impl.PluginManager,"PluginManager/3[java.lang.String,com.sun.syndication.io.impl.WireFeedParser,com.sun.syndication.io.impl.WireFeedGenerator]",_parentParser,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/servicemix-bundles_5f2c7727f71c167997947ad4604f9b8200952af2/rome-1.0/src/main/java/com/sun/syndication/io/impl/PluginManager.java,com.sun.syndication.io.impl.PluginManager,"PluginManager/3[java.lang.String,com.sun.syndication.io.impl.WireFeedParser,com.sun.syndication.io.impl.WireFeedGenerator]",_keys,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/servicemix-bundles_5f2c7727f71c167997947ad4604f9b8200952af2/rome-1.0/src/main/java/com/sun/syndication/io/impl/PluginManager.java,com.sun.syndication.io.impl.PluginManager,loadPlugins/0,_pluginsMap,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/servicemix-bundles_5f2c7727f71c167997947ad4604f9b8200952af2/rome-1.0/src/main/java/com/sun/syndication/io/impl/PluginManager.java,com.sun.syndication.io.impl.PluginManager,loadPlugins/0,_parentGenerator,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/servicemix-bundles_5f2c7727f71c167997947ad4604f9b8200952af2/rome-1.0/src/main/java/com/sun/syndication/io/impl/PluginManager.java,com.sun.syndication.io.impl.PluginManager,loadPlugins/0,_pluginsList,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/servicemix-bundles_5f2c7727f71c167997947ad4604f9b8200952af2/rome-1.0/src/main/java/com/sun/syndication/io/impl/PluginManager.java,com.sun.syndication.io.impl.PluginManager,loadPlugins/0,_parentParser,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/servicemix-bundles_5f2c7727f71c167997947ad4604f9b8200952af2/rome-1.0/src/main/java/com/sun/syndication/io/impl/PluginManager.java,com.sun.syndication.io.impl.PluginManager,getPluginMap/0,_pluginsMap,1
