file,class,method,variable,usage
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/shindig_8f3c3d5c77f5324bad56a5a62da28657fe9112a0/java/gadgets/src/main/java/org/apache/shindig/gadgets/http/HttpResponse.java,org.apache.shindig.gadgets.http.HttpResponse,getMetadata/0,metadata,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/shindig_8f3c3d5c77f5324bad56a5a62da28657fe9112a0/java/gadgets/src/main/java/org/apache/shindig/gadgets/http/HttpResponse.java,org.apache.shindig.gadgets.http.HttpResponse,getHeaders/0,headers,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/shindig_8f3c3d5c77f5324bad56a5a62da28657fe9112a0/java/gadgets/src/main/java/org/apache/shindig/gadgets/http/HttpResponse.java,org.apache.shindig.gadgets.http.HttpResponse,notFound/0,SC_NOT_FOUND,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/shindig_8f3c3d5c77f5324bad56a5a62da28657fe9112a0/java/gadgets/src/main/java/org/apache/shindig/gadgets/http/HttpResponse.java,org.apache.shindig.gadgets.http.HttpResponse,"HttpResponse/2[int,java.lang.String]",httpStatusCode,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/shindig_8f3c3d5c77f5324bad56a5a62da28657fe9112a0/java/gadgets/src/main/java/org/apache/shindig/gadgets/http/HttpResponse.java,org.apache.shindig.gadgets.http.HttpResponse,getEncoding/0,encoding,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/shindig_8f3c3d5c77f5324bad56a5a62da28657fe9112a0/java/gadgets/src/main/java/org/apache/shindig/gadgets/http/HttpResponse.java,org.apache.shindig.gadgets.http.HttpResponse,getHttpStatusCode/0,httpStatusCode,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/shindig_8f3c3d5c77f5324bad56a5a62da28657fe9112a0/java/gadgets/src/main/java/org/apache/shindig/gadgets/http/HttpResponse.java,org.apache.shindig.gadgets.http.HttpResponse,newHeaderMultimap/0,HEADER_COLLECTION_SUPPLIER,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/shindig_8f3c3d5c77f5324bad56a5a62da28657fe9112a0/java/gadgets/src/main/java/org/apache/shindig/gadgets/http/HttpResponse.java,org.apache.shindig.gadgets.http.HttpResponse,getDefaultTtl/0,defaultTtl,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/shindig_8f3c3d5c77f5324bad56a5a62da28657fe9112a0/java/gadgets/src/main/java/org/apache/shindig/gadgets/http/HttpResponse.java,org.apache.shindig.gadgets.http.HttpResponse,toString/0,headers,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/shindig_8f3c3d5c77f5324bad56a5a62da28657fe9112a0/java/gadgets/src/main/java/org/apache/shindig/gadgets/http/HttpResponse.java,org.apache.shindig.gadgets.http.HttpResponse,toString/0,httpStatusCode,1
