file,class,method,variable,usage
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/shiro_eeb7e9552e4d51828b4ee05b69f02c5071cbb9d6/web/src/test/java/org/apache/shiro/web/filter/PathMatchingFilterTest.java,org.apache.shiro.web.filter.PathMatchingFilterTest$Anonymous1,"onPreHandle/3[org.apache.shiro.web.filter.ServletRequest,org.apache.shiro.web.filter.ServletResponse,java.lang.Object]",request,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/shiro_eeb7e9552e4d51828b4ee05b69f02c5071cbb9d6/web/src/test/java/org/apache/shiro/web/filter/PathMatchingFilterTest.java,org.apache.shiro.web.filter.PathMatchingFilterTest$Anonymous1,"onPreHandle/3[org.apache.shiro.web.filter.ServletRequest,org.apache.shiro.web.filter.ServletResponse,java.lang.Object]",mappedValue,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/shiro_eeb7e9552e4d51828b4ee05b69f02c5071cbb9d6/web/src/test/java/org/apache/shiro/web/filter/PathMatchingFilterTest.java,org.apache.shiro.web.filter.PathMatchingFilterTest$Anonymous1,"onPreHandle/3[org.apache.shiro.web.filter.ServletRequest,org.apache.shiro.web.filter.ServletResponse,java.lang.Object]",response,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/shiro_eeb7e9552e4d51828b4ee05b69f02c5071cbb9d6/web/src/test/java/org/apache/shiro/web/filter/PathMatchingFilterTest.java,org.apache.shiro.web.filter.PathMatchingFilterTest$Anonymous1,"isEnabled/4[org.apache.shiro.web.filter.ServletRequest,org.apache.shiro.web.filter.ServletResponse,java.lang.String,java.lang.Object]",request,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/shiro_eeb7e9552e4d51828b4ee05b69f02c5071cbb9d6/web/src/test/java/org/apache/shiro/web/filter/PathMatchingFilterTest.java,org.apache.shiro.web.filter.PathMatchingFilterTest$Anonymous1,"isEnabled/4[org.apache.shiro.web.filter.ServletRequest,org.apache.shiro.web.filter.ServletResponse,java.lang.String,java.lang.Object]",path,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/shiro_eeb7e9552e4d51828b4ee05b69f02c5071cbb9d6/web/src/test/java/org/apache/shiro/web/filter/PathMatchingFilterTest.java,org.apache.shiro.web.filter.PathMatchingFilterTest$Anonymous1,"isEnabled/4[org.apache.shiro.web.filter.ServletRequest,org.apache.shiro.web.filter.ServletResponse,java.lang.String,java.lang.Object]",mappedValue,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/shiro_eeb7e9552e4d51828b4ee05b69f02c5071cbb9d6/web/src/test/java/org/apache/shiro/web/filter/PathMatchingFilterTest.java,org.apache.shiro.web.filter.PathMatchingFilterTest$Anonymous1,"isEnabled/4[org.apache.shiro.web.filter.ServletRequest,org.apache.shiro.web.filter.ServletResponse,java.lang.String,java.lang.Object]",response,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/shiro_eeb7e9552e4d51828b4ee05b69f02c5071cbb9d6/support/guice/src/test/java/org/apache/shiro/guice/web/ShiroWebModuleTest.java,org.apache.shiro.guice.web.ShiroWebModuleTest$MyWebEnvironment,"MyWebEnvironment/3[org.apache.shiro.guice.web.FilterChainResolver,org.apache.shiro.guice.web.ServletContext,org.apache.shiro.guice.web.WebSecurityManager]",servletContext,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/shiro_eeb7e9552e4d51828b4ee05b69f02c5071cbb9d6/support/guice/src/test/java/org/apache/shiro/guice/web/ShiroWebModuleTest.java,org.apache.shiro.guice.web.ShiroWebModuleTest$MyWebEnvironment,"MyWebEnvironment/3[org.apache.shiro.guice.web.FilterChainResolver,org.apache.shiro.guice.web.ServletContext,org.apache.shiro.guice.web.WebSecurityManager]",filterChainResolver,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/shiro_eeb7e9552e4d51828b4ee05b69f02c5071cbb9d6/support/guice/src/test/java/org/apache/shiro/guice/web/ShiroWebModuleTest.java,org.apache.shiro.guice.web.ShiroWebModuleTest$MyWebEnvironment,"MyWebEnvironment/3[org.apache.shiro.guice.web.FilterChainResolver,org.apache.shiro.guice.web.ServletContext,org.apache.shiro.guice.web.WebSecurityManager]",securityManager,1
