file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/soda-for-java_352634e26b5a0d9d529d5436f7a4c8e21ed1dbf0/src/oracle/json/parser/ValueTypePair.java,oracle.json.parser.ValueTypePair,class,2,7,5,2,21,1,0,4,51,0.8333334,0.22857143,0.62857145,15,2,7,0,0,8,15,0,0,0,10,4,4,6,0,0,5,0,1,85,8,0,1,0,3,5,4,23,0,13,1,0,0,0,44,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/soda-for-java_352634e26b5a0d9d529d5436f7a4c8e21ed1dbf0/src/oracle/soda/OracleCollection.java,oracle.soda.OracleCollection,interface,3,23,20,3,9,1,0,0,36,0.0,0.0,0.0,9,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/soda-for-java_352634e26b5a0d9d529d5436f7a4c8e21ed1dbf0/src/oracle/soda/OracleException.java,oracle.soda.OracleException,class,1,15,14,1,8,3,3,0,12,0.75,0.2857143,0.2857143,8,0,8,0,0,0,8,0,0,0,4,2,1,2,0,1,3,0,0,31,2,0,0,0,1,0,2,4,0,4,0,0,0,0,118,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/soda-for-java_352634e26b5a0d9d529d5436f7a4c8e21ed1dbf0/src/oracle/soda/rdbms/impl/SODAUtils.java,oracle.soda.rdbms.impl.SODAUtils$1OracleSQLException,innerclass,2,2,0,2,3,4,0,0,0,0.0,1.0,1.0,3,0,3,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,14,1,0,0,0,0,0,0,2,0,1,0,0,0,0,11,0,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/soda-for-java_352634e26b5a0d9d529d5436f7a4c8e21ed1dbf0/src/oracle/json/parser/DocumentLoader.java,oracle.json.parser.DocumentLoader,class,7,13,6,7,31,1,1,15,0,0.14285715,0.71428573,0.71428573,7,0,5,0,2,0,7,0,0,0,1,0,0,0,1,0,1,0,0,121,5,3,0,1,5,0,8,23,4,11,3,0,0,0,38,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/soda-for-java_352634e26b5a0d9d529d5436f7a4c8e21ed1dbf0/src/oracle/json/parser/ProjectionSpec.java,oracle.json.parser.ProjectionSpec,class,11,13,2,11,46,1,0,25,39,0.87121224,0.16666667,0.30555555,11,1,7,2,0,2,9,0,0,0,12,0,0,12,0,0,1,0,3,156,14,6,5,4,10,5,7,48,0,28,5,0,0,0,91,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/soda-for-java_352634e26b5a0d9d529d5436f7a4c8e21ed1dbf0/src/oracle/soda/rdbms/impl/SODAUtils.java,oracle.soda.rdbms.impl.SODAUtils$1OracleBatchSQLException,innerclass,2,2,0,2,2,5,0,0,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,10,1,0,0,0,0,0,0,1,0,1,0,0,0,0,11,0,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/soda-for-java_352634e26b5a0d9d529d5436f7a4c8e21ed1dbf0/src/oracle/soda/rdbms/impl/SODAMessage.java,oracle.soda.rdbms.impl.SODAMessage,class,2,4,2,2,4,2,0,2,6,0.99671054,0.0,0.0,4,1,0,2,2,0,2,0,0,0,76,76,2,1,0,73,76,0,76,90,3,0,0,0,2,2,75,76,0,76,0,0,0,0,53,17,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/soda-for-java_352634e26b5a0d9d529d5436f7a4c8e21ed1dbf0/src/oracle/json/parser/JsonQueryPath.java,oracle.json.parser.JsonQueryPath,class,4,14,10,4,40,1,0,11,11,0.6964286,0.3846154,0.5769231,14,0,11,1,0,2,13,0,0,0,4,0,0,4,0,0,0,0,0,91,16,5,18,0,19,9,10,17,3,10,3,0,0,0,86,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/soda-for-java_352634e26b5a0d9d529d5436f7a4c8e21ed1dbf0/src/oracle/soda/rdbms/impl/OracleDatabaseImpl.java,oracle.soda.rdbms.impl.OracleDatabaseImpl$OracleDatabaseAdministrationImpl,innerclass,6,6,0,6,8,1,0,8,28,0.0,0.0,0.0,8,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,26,8,0,0,0,0,0,0,0,0,0,0,0,0,0,68,2,0
