file,class,method,variable,usage
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spatial-framework-for-hadoop_00959d6b4465313c934aaa8aaf17b52d6c9c60d4/hive/src/main/java/com/esri/hadoop/hive/ST_MinM.java,com.esri.hadoop.hive.ST_MinM,evaluate/1[com.esri.hadoop.hive.BytesWritable],ogcGeometry,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spatial-framework-for-hadoop_00959d6b4465313c934aaa8aaf17b52d6c9c60d4/hive/src/main/java/com/esri/hadoop/hive/ST_MinM.java,com.esri.hadoop.hive.ST_MinM,evaluate/1[com.esri.hadoop.hive.BytesWritable],geomref,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spatial-framework-for-hadoop_00959d6b4465313c934aaa8aaf17b52d6c9c60d4/hive/src/main/java/com/esri/hadoop/hive/ST_Touches.java,com.esri.hadoop.hive.ST_Touches,getDisplayString/1[java.lang.String[]],args,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spatial-framework-for-hadoop_00959d6b4465313c934aaa8aaf17b52d6c9c60d4/hive/src/test/java/com/esri/hadoop/hive/serde/TestEsriJsonSerDe.java,com.esri.hadoop.hive.serde.TestEsriJsonSerDe,TestIntWrite/0,proptab,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spatial-framework-for-hadoop_00959d6b4465313c934aaa8aaf17b52d6c9c60d4/hive/src/test/java/com/esri/hadoop/hive/serde/TestEsriJsonSerDe.java,com.esri.hadoop.hive.serde.TestEsriJsonSerDe,TestIntWrite/0,jserde,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spatial-framework-for-hadoop_00959d6b4465313c934aaa8aaf17b52d6c9c60d4/hive/src/test/java/com/esri/hadoop/hive/serde/TestEsriJsonSerDe.java,com.esri.hadoop.hive.serde.TestEsriJsonSerDe,TestIntWrite/0,jn,5
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spatial-framework-for-hadoop_00959d6b4465313c934aaa8aaf17b52d6c9c60d4/hive/src/test/java/com/esri/hadoop/hive/serde/TestEsriJsonSerDe.java,com.esri.hadoop.hive.serde.TestEsriJsonSerDe,TestIntWrite/0,rowOI,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spatial-framework-for-hadoop_00959d6b4465313c934aaa8aaf17b52d6c9c60d4/hive/src/test/java/com/esri/hadoop/hive/serde/TestEsriJsonSerDe.java,com.esri.hadoop.hive.serde.TestEsriJsonSerDe,TestIntWrite/0,stuff,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spatial-framework-for-hadoop_00959d6b4465313c934aaa8aaf17b52d6c9c60d4/hive/src/test/java/com/esri/hadoop/hive/serde/TestEsriJsonSerDe.java,com.esri.hadoop.hive.serde.TestEsriJsonSerDe,TestIntWrite/0,jsw,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spatial-framework-for-hadoop_00959d6b4465313c934aaa8aaf17b52d6c9c60d4/hive/src/test/java/com/esri/hadoop/hive/serde/TestEsriJsonSerDe.java,com.esri.hadoop.hive.serde.TestEsriJsonSerDe,TestIntParse/0,proptab,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spatial-framework-for-hadoop_00959d6b4465313c934aaa8aaf17b52d6c9c60d4/hive/src/test/java/com/esri/hadoop/hive/serde/TestEsriJsonSerDe.java,com.esri.hadoop.hive.serde.TestEsriJsonSerDe,TestIntParse/0,jserde,4
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spatial-framework-for-hadoop_00959d6b4465313c934aaa8aaf17b52d6c9c60d4/hive/src/test/java/com/esri/hadoop/hive/serde/TestEsriJsonSerDe.java,com.esri.hadoop.hive.serde.TestEsriJsonSerDe,TestIntParse/0,fieldData,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spatial-framework-for-hadoop_00959d6b4465313c934aaa8aaf17b52d6c9c60d4/hive/src/test/java/com/esri/hadoop/hive/serde/TestEsriJsonSerDe.java,com.esri.hadoop.hive.serde.TestEsriJsonSerDe,TestIntParse/0,f0,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spatial-framework-for-hadoop_00959d6b4465313c934aaa8aaf17b52d6c9c60d4/hive/src/test/java/com/esri/hadoop/hive/serde/TestEsriJsonSerDe.java,com.esri.hadoop.hive.serde.TestEsriJsonSerDe,TestIntParse/0,row,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spatial-framework-for-hadoop_00959d6b4465313c934aaa8aaf17b52d6c9c60d4/hive/src/test/java/com/esri/hadoop/hive/serde/TestEsriJsonSerDe.java,com.esri.hadoop.hive.serde.TestEsriJsonSerDe,TestIntParse/0,config,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spatial-framework-for-hadoop_00959d6b4465313c934aaa8aaf17b52d6c9c60d4/hive/src/test/java/com/esri/hadoop/hive/serde/TestEsriJsonSerDe.java,com.esri.hadoop.hive.serde.TestEsriJsonSerDe,TestIntParse/0,value,4
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spatial-framework-for-hadoop_00959d6b4465313c934aaa8aaf17b52d6c9c60d4/hive/src/test/java/com/esri/hadoop/hive/serde/TestEsriJsonSerDe.java,com.esri.hadoop.hive.serde.TestEsriJsonSerDe,TestIntParse/0,rowOI,4
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spatial-framework-for-hadoop_00959d6b4465313c934aaa8aaf17b52d6c9c60d4/hive/src/test/java/com/esri/hadoop/hive/serde/TestEsriJsonSerDe.java,com.esri.hadoop.hive.serde.TestEsriJsonSerDe,mkSerDe/1[java.util.Properties],proptab,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spatial-framework-for-hadoop_00959d6b4465313c934aaa8aaf17b52d6c9c60d4/hive/src/test/java/com/esri/hadoop/hive/serde/TestEsriJsonSerDe.java,com.esri.hadoop.hive.serde.TestEsriJsonSerDe,mkSerDe/1[java.util.Properties],jserde,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spatial-framework-for-hadoop_00959d6b4465313c934aaa8aaf17b52d6c9c60d4/hive/src/test/java/com/esri/hadoop/hive/serde/TestEsriJsonSerDe.java,com.esri.hadoop.hive.serde.TestEsriJsonSerDe,mkSerDe/1[java.util.Properties],config,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spatial-framework-for-hadoop_00959d6b4465313c934aaa8aaf17b52d6c9c60d4/hive/src/test/java/com/esri/hadoop/hive/serde/TestEsriJsonSerDe.java,com.esri.hadoop.hive.serde.TestEsriJsonSerDe,TestTimeParse/0,proptab,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spatial-framework-for-hadoop_00959d6b4465313c934aaa8aaf17b52d6c9c60d4/hive/src/test/java/com/esri/hadoop/hive/serde/TestEsriJsonSerDe.java,com.esri.hadoop.hive.serde.TestEsriJsonSerDe,TestTimeParse/0,jserde,6
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spatial-framework-for-hadoop_00959d6b4465313c934aaa8aaf17b52d6c9c60d4/hive/src/test/java/com/esri/hadoop/hive/serde/TestEsriJsonSerDe.java,com.esri.hadoop.hive.serde.TestEsriJsonSerDe,TestTimeParse/0,fieldData,7
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spatial-framework-for-hadoop_00959d6b4465313c934aaa8aaf17b52d6c9c60d4/hive/src/test/java/com/esri/hadoop/hive/serde/TestEsriJsonSerDe.java,com.esri.hadoop.hive.serde.TestEsriJsonSerDe,TestTimeParse/0,f0,4
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spatial-framework-for-hadoop_00959d6b4465313c934aaa8aaf17b52d6c9c60d4/hive/src/test/java/com/esri/hadoop/hive/serde/TestEsriJsonSerDe.java,com.esri.hadoop.hive.serde.TestEsriJsonSerDe,TestTimeParse/0,row,7
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spatial-framework-for-hadoop_00959d6b4465313c934aaa8aaf17b52d6c9c60d4/hive/src/test/java/com/esri/hadoop/hive/serde/TestEsriJsonSerDe.java,com.esri.hadoop.hive.serde.TestEsriJsonSerDe,TestTimeParse/0,config,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spatial-framework-for-hadoop_00959d6b4465313c934aaa8aaf17b52d6c9c60d4/hive/src/test/java/com/esri/hadoop/hive/serde/TestEsriJsonSerDe.java,com.esri.hadoop.hive.serde.TestEsriJsonSerDe,TestTimeParse/0,value,8
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spatial-framework-for-hadoop_00959d6b4465313c934aaa8aaf17b52d6c9c60d4/hive/src/test/java/com/esri/hadoop/hive/serde/TestEsriJsonSerDe.java,com.esri.hadoop.hive.serde.TestEsriJsonSerDe,TestTimeParse/0,rowOI,5
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spatial-framework-for-hadoop_00959d6b4465313c934aaa8aaf17b52d6c9c60d4/hive/src/test/java/com/esri/hadoop/hive/serde/TestEsriJsonSerDe.java,com.esri.hadoop.hive.serde.TestEsriJsonSerDe,TestIntPoint/0,proptab,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spatial-framework-for-hadoop_00959d6b4465313c934aaa8aaf17b52d6c9c60d4/hive/src/test/java/com/esri/hadoop/hive/serde/TestEsriJsonSerDe.java,com.esri.hadoop.hive.serde.TestEsriJsonSerDe,TestIntPoint/0,jserde,3
