file,class,method,variable,usage
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-batch-admin_9e3ad8bff99b8fad8da62426aa7d2959eb841bcf/spring-batch-admin-manager/src/main/java/org/springframework/batch/admin/web/RestConfiguration.java,org.springframework.batch.admin.web.RestConfiguration,contentNegotiatingViewResolver/1[org.springframework.batch.admin.web.ContentNegotiationManager],resolver,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-batch-admin_9e3ad8bff99b8fad8da62426aa7d2959eb841bcf/spring-batch-admin-manager/src/main/java/org/springframework/batch/admin/web/RestConfiguration.java,org.springframework.batch.admin.web.RestConfiguration,contentNegotiatingViewResolver/1[org.springframework.batch.admin.web.ContentNegotiationManager],resolvers,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-batch-admin_9e3ad8bff99b8fad8da62426aa7d2959eb841bcf/spring-batch-admin-manager/src/main/java/org/springframework/batch/admin/web/RestConfiguration.java,org.springframework.batch.admin.web.RestConfiguration,contentNegotiatingViewResolver/1[org.springframework.batch.admin.web.ContentNegotiationManager],manager,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-batch-admin_9e3ad8bff99b8fad8da62426aa7d2959eb841bcf/spring-batch-admin-domain/src/test/java/org/springframework/batch/admin/domain/JobInfoResourceSerializationTests.java,org.springframework.batch.admin.domain.JobInfoResourceSerializationTests,assertObject/1[org.springframework.batch.admin.domain.JobInfoResource],jobInfoResource,5
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-batch-admin_9e3ad8bff99b8fad8da62426aa7d2959eb841bcf/spring-batch-admin-domain/src/test/java/org/springframework/batch/admin/domain/JobInfoResourceSerializationTests.java,org.springframework.batch.admin.domain.JobInfoResourceSerializationTests,getSerializationValue/0,resource,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-batch-admin_9e3ad8bff99b8fad8da62426aa7d2959eb841bcf/spring-batch-admin-domain/src/test/java/org/springframework/batch/admin/domain/JobInfoResourceSerializationTests.java,org.springframework.batch.admin.domain.JobInfoResourceSerializationTests,assertJson/1[java.lang.String],json,5
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-batch-admin_9e3ad8bff99b8fad8da62426aa7d2959eb841bcf/spring-batch-admin-domain/src/main/java/org/springframework/batch/admin/domain/support/VariableTypeJackson2ObjectMapperFactoryBean.java,org.springframework.batch.admin.domain.support.VariableTypeJackson2ObjectMapperFactoryBean,getObject/0,objectMapper,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-batch-admin_9e3ad8bff99b8fad8da62426aa7d2959eb841bcf/spring-batch-admin-manager/src/test/java/org/springframework/batch/admin/web/views/FilesJsonViewTests.java,org.springframework.batch.admin.web.views.FilesJsonViewTests,testListViewWithJobs/0,wrapper,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-batch-admin_9e3ad8bff99b8fad8da62426aa7d2959eb841bcf/spring-batch-admin-manager/src/test/java/org/springframework/batch/admin/web/views/FilesJsonViewTests.java,org.springframework.batch.admin.web.views.FilesJsonViewTests,testListViewWithJobs/0,content,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-batch-admin_9e3ad8bff99b8fad8da62426aa7d2959eb841bcf/spring-batch-admin-resources/src/main/java/org/springframework/batch/admin/web/filter/SessionIdFilter.java,org.springframework.batch.admin.web.filter.SessionIdFilter$EnhancedResponseWrapper,EnhancedResponseWrapper/1[org.springframework.batch.admin.web.filter.HttpServletResponse],response,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-batch-admin_9e3ad8bff99b8fad8da62426aa7d2959eb841bcf/spring-batch-admin-resources/src/main/java/org/springframework/batch/admin/web/filter/SessionIdFilter.java,org.springframework.batch.admin.web.filter.SessionIdFilter$EnhancedResponseWrapper,encodeRedirectUrl/1[java.lang.String],url,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-batch-admin_9e3ad8bff99b8fad8da62426aa7d2959eb841bcf/spring-batch-admin-resources/src/main/java/org/springframework/batch/admin/web/filter/SessionIdFilter.java,org.springframework.batch.admin.web.filter.SessionIdFilter$EnhancedResponseWrapper,stripSessionId/1[java.lang.String],encoded,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-batch-admin_9e3ad8bff99b8fad8da62426aa7d2959eb841bcf/spring-batch-admin-resources/src/main/java/org/springframework/batch/admin/web/filter/SessionIdFilter.java,org.springframework.batch.admin.web.filter.SessionIdFilter$EnhancedResponseWrapper,encodeURL/1[java.lang.String],url,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-batch-admin_9e3ad8bff99b8fad8da62426aa7d2959eb841bcf/spring-batch-admin-resources/src/main/java/org/springframework/batch/admin/web/filter/SessionIdFilter.java,org.springframework.batch.admin.web.filter.SessionIdFilter$EnhancedResponseWrapper,encodeURL/1[java.lang.String],encoded,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-batch-admin_9e3ad8bff99b8fad8da62426aa7d2959eb841bcf/spring-batch-admin-resources/src/main/java/org/springframework/batch/admin/web/filter/SessionIdFilter.java,org.springframework.batch.admin.web.filter.SessionIdFilter$EnhancedResponseWrapper,encodeUrl/1[java.lang.String],url,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-batch-admin_9e3ad8bff99b8fad8da62426aa7d2959eb841bcf/spring-batch-admin-resources/src/main/java/org/springframework/batch/admin/web/filter/SessionIdFilter.java,org.springframework.batch.admin.web.filter.SessionIdFilter$EnhancedResponseWrapper,encodeRedirectURL/1[java.lang.String],url,1
