file,class,method,variable,usage
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-data-book_3a9d2e35184d5361f1d305f4eb84b5febf87b992/jdbc/src/main/java/com/oreilly/springdata/jdbc/repository/QueryDslCustomerRepository.java,com.oreilly.springdata.jdbc.repository.QueryDslCustomerRepository$Anonymous7,doInSqlDeleteClause/1[com.oreilly.springdata.jdbc.repository.SQLDeleteClause],delete,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-data-book_3a9d2e35184d5361f1d305f4eb84b5febf87b992/jdbc/src/main/java/com/oreilly/springdata/jdbc/repository/QueryDslCustomerRepository.java,com.oreilly.springdata.jdbc.repository.QueryDslCustomerRepository$Anonymous5,doInSqlInsertClause/1[com.oreilly.springdata.jdbc.repository.SQLInsertClause],insert,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-data-book_3a9d2e35184d5361f1d305f4eb84b5febf87b992/jdbc/src/main/java/com/oreilly/springdata/jdbc/repository/QueryDslCustomerRepository.java,com.oreilly.springdata.jdbc.repository.QueryDslCustomerRepository$Anonymous6,doInSqlDeleteClause/1[com.oreilly.springdata.jdbc.repository.SQLDeleteClause],delete,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-data-book_3a9d2e35184d5361f1d305f4eb84b5febf87b992/rest/src/main/java/com/oreilly/springdata/rest/core/Product.java,com.oreilly.springdata.rest.core.Product,"Product/3[java.lang.String,java.math.BigDecimal,java.lang.String]",price,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-data-book_3a9d2e35184d5361f1d305f4eb84b5febf87b992/rest/src/main/java/com/oreilly/springdata/rest/core/Product.java,com.oreilly.springdata.rest.core.Product,"Product/3[java.lang.String,java.math.BigDecimal,java.lang.String]",name,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-data-book_3a9d2e35184d5361f1d305f4eb84b5febf87b992/rest/src/main/java/com/oreilly/springdata/rest/core/Product.java,com.oreilly.springdata.rest.core.Product,"Product/3[java.lang.String,java.math.BigDecimal,java.lang.String]",description,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-data-book_3a9d2e35184d5361f1d305f4eb84b5febf87b992/rest/src/main/java/com/oreilly/springdata/rest/core/Product.java,com.oreilly.springdata.rest.core.Product,"Product/2[java.lang.String,java.math.BigDecimal]",price,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-data-book_3a9d2e35184d5361f1d305f4eb84b5febf87b992/rest/src/main/java/com/oreilly/springdata/rest/core/Product.java,com.oreilly.springdata.rest.core.Product,"Product/2[java.lang.String,java.math.BigDecimal]",name,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-data-book_3a9d2e35184d5361f1d305f4eb84b5febf87b992/rest/src/main/java/com/oreilly/springdata/rest/core/Product.java,com.oreilly.springdata.rest.core.Product,"setAttribute/2[java.lang.String,java.lang.String]",name,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-data-book_3a9d2e35184d5361f1d305f4eb84b5febf87b992/rest/src/main/java/com/oreilly/springdata/rest/core/Product.java,com.oreilly.springdata.rest.core.Product,"setAttribute/2[java.lang.String,java.lang.String]",value,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-data-book_3a9d2e35184d5361f1d305f4eb84b5febf87b992/hadoop/file-polling/src/main/java/com/oreilly/springdata/hadoop/filepolling/FileExistsMode.java,com.oreilly.springdata.hadoop.filepolling.FileExistsMode,getForString/1[java.lang.String],fileExistsMode,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-data-book_3a9d2e35184d5361f1d305f4eb84b5febf87b992/hadoop/file-polling/src/main/java/com/oreilly/springdata/hadoop/filepolling/FileExistsMode.java,com.oreilly.springdata.hadoop.filepolling.FileExistsMode,getForString/1[java.lang.String],fileExistsModeValues,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-data-book_3a9d2e35184d5361f1d305f4eb84b5febf87b992/hadoop/file-polling/src/main/java/com/oreilly/springdata/hadoop/filepolling/FileExistsMode.java,com.oreilly.springdata.hadoop.filepolling.FileExistsMode,getForString/1[java.lang.String],fileExistsModeAsString,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-data-book_3a9d2e35184d5361f1d305f4eb84b5febf87b992/neo4j/src/main/java/com/oreilly/springdata/neo4j/core/EmailAddressConverter.java,com.oreilly.springdata.neo4j.core.EmailAddressConverter,"convert/3[java.lang.Object,com.oreilly.springdata.neo4j.core.TypeDescriptor,com.oreilly.springdata.neo4j.core.TypeDescriptor]",sourceType,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-data-book_3a9d2e35184d5361f1d305f4eb84b5febf87b992/neo4j/src/main/java/com/oreilly/springdata/neo4j/core/EmailAddressConverter.java,com.oreilly.springdata.neo4j.core.EmailAddressConverter,"convert/3[java.lang.Object,com.oreilly.springdata.neo4j.core.TypeDescriptor,com.oreilly.springdata.neo4j.core.TypeDescriptor]",targetType,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-data-book_3a9d2e35184d5361f1d305f4eb84b5febf87b992/neo4j/src/main/java/com/oreilly/springdata/neo4j/core/EmailAddressConverter.java,com.oreilly.springdata.neo4j.core.EmailAddressConverter,"convert/3[java.lang.Object,com.oreilly.springdata.neo4j.core.TypeDescriptor,com.oreilly.springdata.neo4j.core.TypeDescriptor]",source,5
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-data-book_3a9d2e35184d5361f1d305f4eb84b5febf87b992/hadoop/hbase/src/main/java/com/oreilly/springdata/hadoop/hbase/UserRepository.java,com.oreilly.springdata.hadoop.hbase.UserRepository$Anonymous2,doInTable/1[com.oreilly.springdata.hadoop.hbase.HTableInterface],p,4
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-data-book_3a9d2e35184d5361f1d305f4eb84b5febf87b992/hadoop/hbase/src/main/java/com/oreilly/springdata/hadoop/hbase/UserRepository.java,com.oreilly.springdata.hadoop.hbase.UserRepository$Anonymous2,doInTable/1[com.oreilly.springdata.hadoop.hbase.HTableInterface],user,5
