file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-data-geode_5dc269da02933c9e9031f38ff1b27b8b1ee7c31b/src/test/java/org/springframework/data/gemfire/client/ClientRegionShortcutToDataPolicyConverterUnitTests.java,org.springframework.data.gemfire.client.ClientRegionShortcutToDataPolicyConverterUnitTests,class,4,5,1,4,16,1,0,9,120,0.0,0.0,0.0,16,0,10,0,6,0,16,0,0,0,0,0,0,0,0,0,0,0,0,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-data-geode_5dc269da02933c9e9031f38ff1b27b8b1ee7c31b/src/main/java/org/springframework/data/gemfire/config/schema/support/RegionDefiner.java,org.springframework.data.gemfire.config.schema.support.RegionDefiner,class,6,8,2,6,5,1,0,10,8,0.6,0.1,0.1,5,0,4,0,1,0,5,0,0,0,1,0,0,1,0,0,1,0,3,18,3,0,0,0,0,0,0,1,0,3,0,0,0,2,23,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-data-geode_5dc269da02933c9e9031f38ff1b27b8b1ee7c31b/src/test/java/org/springframework/data/gemfire/test/support/AbstractRegionFactoryBeanTests.java,org.springframework.data.gemfire.test.support.AbstractRegionFactoryBeanTests$RegionFactoryBeanConfig,innerclass,2,2,0,2,5,1,0,5,4,0.6666667,0.16666667,0.16666667,4,0,4,0,0,0,4,2,0,0,3,0,3,0,0,0,2,0,0,23,0,0,0,1,0,2,0,3,0,3,1,0,0,0,14,1025,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-data-geode_5dc269da02933c9e9031f38ff1b27b8b1ee7c31b/src/main/java/org/springframework/data/gemfire/LocalRegionFactoryBean.java,org.springframework.data.gemfire.LocalRegionFactoryBean,class,9,17,8,9,12,5,0,13,6,0.0,0.0,0.0,4,0,2,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,3,36,0,0,2,0,2,3,0,4,0,3,1,0,0,0,83,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-data-geode_5dc269da02933c9e9031f38ff1b27b8b1ee7c31b/src/test/java/org/springframework/data/gemfire/support/LazyWiringDeclarableSupportUnitTests.java,org.springframework.data.gemfire.support.LazyWiringDeclarableSupportUnitTests,class,13,17,4,13,15,2,0,45,85,0.78571427,0.045454547,0.045454547,14,2,12,2,0,0,12,0,0,0,1,0,1,0,0,0,0,0,10,273,1,0,0,10,0,24,4,34,0,33,1,8,1,0,90,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-data-geode_5dc269da02933c9e9031f38ff1b27b8b1ee7c31b/src/main/java/org/springframework/data/gemfire/config/annotation/CompressionConfiguration.java,org.springframework.data.gemfire.config.annotation.CompressionConfiguration,class,18,19,1,18,16,2,0,48,68,0.8205128,0.1388889,0.16666667,13,0,4,4,3,2,9,0,0,0,3,1,0,2,1,0,1,0,9,60,9,0,2,0,0,8,0,11,0,15,2,0,0,6,79,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-data-geode_5dc269da02933c9e9031f38ff1b27b8b1ee7c31b/src/main/java/org/springframework/data/gemfire/function/execution/FunctionExecutionMethodMetadata.java,org.springframework.data.gemfire.function.execution.MethodMetadata,class,2,8,6,2,6,1,1,3,0,0.25,1.0,1.0,4,0,3,1,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,17,2,0,2,0,2,0,0,4,0,3,0,0,0,0,12,0,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-data-geode_5dc269da02933c9e9031f38ff1b27b8b1ee7c31b/src/test/java/org/springframework/data/gemfire/DiskStoreFactoryBeanTest.java,org.springframework.data.gemfire.DiskStoreFactoryBeanTest,class,3,3,0,3,12,1,0,8,0,0.0,1.0,1.0,8,0,8,0,0,0,8,0,0,0,1,0,0,1,0,0,1,0,3,53,0,0,0,4,0,5,10,1,0,1,1,0,0,0,51,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-data-geode_5dc269da02933c9e9031f38ff1b27b8b1ee7c31b/src/main/java/org/springframework/data/gemfire/snapshot/filter/ComposableSnapshotFilter.java,org.springframework.data.gemfire.snapshot.filter.ComposableSnapshotFilter$Operator,enum,1,1,0,1,6,1,0,1,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,2,0,5,0,0,0,0,0,0,0,0,0,26,4,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-data-geode_5dc269da02933c9e9031f38ff1b27b8b1ee7c31b/src/test/java/org/springframework/data/gemfire/config/schema/support/ComposableSchemaObjectCollectorUnitTests.java,org.springframework.data.gemfire.config.schema.support.ComposableSchemaObjectCollectorUnitTests$SchemaObject,innerclass,3,3,0,3,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,6,8,0
