file,class,method,variable,usage
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-data-graph_0210210ce436eb83bf200f5d5f9a63a440c5b27a/spring-data-neo4j/src/main/java/org/springframework/data/neo4j/support/conversion/EntityResultConverter.java,org.springframework.data.neo4j.support.conversion.EntityResultConverter,"doConvert/3[java.lang.Object,java.lang.Class<?>,java.lang.Class]",ctx,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-data-graph_0210210ce436eb83bf200f5d5f9a63a440c5b27a/spring-data-neo4j/src/main/java/org/springframework/data/neo4j/support/conversion/EntityResultConverter.java,org.springframework.data.neo4j.support.conversion.EntityResultConverter,"doConvert/3[java.lang.Object,java.lang.Class<?>,java.lang.Class]",conversionService,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-data-graph_0210210ce436eb83bf200f5d5f9a63a440c5b27a/spring-data-neo4j/src/main/java/org/springframework/data/neo4j/support/conversion/EntityResultConverter.java,org.springframework.data.neo4j.support.conversion.EntityResultConverter,EntityResultConverter/1[org.springframework.data.neo4j.support.GraphDatabaseContext],ctx,4
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-data-graph_0210210ce436eb83bf200f5d5f9a63a440c5b27a/spring-data-neo4j/src/main/java/org/springframework/data/neo4j/support/conversion/EntityResultConverter.java,org.springframework.data.neo4j.support.conversion.EntityResultConverter,EntityResultConverter/1[org.springframework.data.neo4j.support.GraphDatabaseContext],conversionService,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-data-graph_0210210ce436eb83bf200f5d5f9a63a440c5b27a/spring-data-neo4j/src/main/java/org/springframework/data/neo4j/fieldaccess/JpaIdFieldAccessListenerFactory.java,org.springframework.data.neo4j.fieldaccess.JpaIdFieldAccessListenerFactory$JpaIdFieldListener,JpaIdFieldListener/1[org.springframework.data.neo4j.mapping.Neo4JPersistentProperty],property,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-data-graph_0210210ce436eb83bf200f5d5f9a63a440c5b27a/spring-data-neo4j/src/main/java/org/springframework/data/neo4j/support/query/CypherQueryExecutor.java,org.springframework.data.neo4j.support.query.CypherQueryExecutor,"queryForList/2[java.lang.String,java.util.Map<java.lang.String,java.lang.Object>]",queryEngine,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-data-graph_0210210ce436eb83bf200f5d5f9a63a440c5b27a/spring-data-neo4j/src/main/java/org/springframework/data/neo4j/support/query/CypherQueryExecutor.java,org.springframework.data.neo4j.support.query.CypherQueryExecutor,"query/3[java.lang.String,java.lang.Class<T>,java.util.Map<java.lang.String,java.lang.Object>]",queryEngine,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-data-graph_0210210ce436eb83bf200f5d5f9a63a440c5b27a/spring-data-neo4j/src/main/java/org/springframework/data/neo4j/support/query/CypherQueryExecutor.java,org.springframework.data.neo4j.support.query.CypherQueryExecutor,"queryForObject/3[java.lang.String,java.lang.Class<T>,java.util.Map<java.lang.String,java.lang.Object>]",queryEngine,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-data-graph_0210210ce436eb83bf200f5d5f9a63a440c5b27a/spring-data-neo4j/src/main/java/org/springframework/data/neo4j/support/query/CypherQueryExecutor.java,org.springframework.data.neo4j.support.query.CypherQueryExecutor,CypherQueryExecutor/1[org.springframework.data.neo4j.support.GraphDatabaseContext],queryEngine,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-data-graph_0210210ce436eb83bf200f5d5f9a63a440c5b27a/spring-data-neo4j-rest/src/test/java/org/springframework/data/neo4j/rest/support/RestTraversalDescriptionTest.java,org.springframework.data.neo4j.rest.support.RestTraversalDescriptionTest,testUniqueness/0,traversalDescription,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-data-graph_0210210ce436eb83bf200f5d5f9a63a440c5b27a/spring-data-neo4j-rest/src/test/java/org/springframework/data/neo4j/rest/support/RestTraversalDescriptionTest.java,org.springframework.data.neo4j.rest.support.RestTraversalDescriptionTest,getPostData/1[java.lang.String],traversalDescription,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-data-graph_0210210ce436eb83bf200f5d5f9a63a440c5b27a/spring-data-neo4j-rest/src/test/java/org/springframework/data/neo4j/rest/support/RestTraversalDescriptionTest.java,org.springframework.data.neo4j.rest.support.RestTraversalDescriptionTest,setUp/0,traversalDescription,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-data-graph_0210210ce436eb83bf200f5d5f9a63a440c5b27a/spring-data-neo4j-rest/src/test/java/org/springframework/data/neo4j/rest/support/RestTraversalDescriptionTest.java,org.springframework.data.neo4j.rest.support.RestTraversalDescriptionTest,testUniquenessWithValue/0,traversalDescription,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-data-graph_0210210ce436eb83bf200f5d5f9a63a440c5b27a/spring-data-neo4j-rest/src/test/java/org/springframework/data/neo4j/rest/support/RestTraversalDescriptionTest.java,org.springframework.data.neo4j.rest.support.RestTraversalDescriptionTest,testPruneScript/0,traversalDescription,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-data-graph_0210210ce436eb83bf200f5d5f9a63a440c5b27a/spring-data-neo4j-rest/src/test/java/org/springframework/data/neo4j/rest/support/RestTraversalDescriptionTest.java,org.springframework.data.neo4j.rest.support.RestTraversalDescriptionTest,testFilterScript/0,traversalDescription,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-data-graph_0210210ce436eb83bf200f5d5f9a63a440c5b27a/spring-data-neo4j/src/main/java/org/springframework/data/neo4j/support/Tuple2.java,org.springframework.data.neo4j.support.Tuple2,"Tuple2/2[T1,T2]",_1,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-data-graph_0210210ce436eb83bf200f5d5f9a63a440c5b27a/spring-data-neo4j/src/main/java/org/springframework/data/neo4j/support/Tuple2.java,org.springframework.data.neo4j.support.Tuple2,"Tuple2/2[T1,T2]",_2,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-data-graph_0210210ce436eb83bf200f5d5f9a63a440c5b27a/spring-data-neo4j/src/main/java/org/springframework/data/neo4j/support/Tuple2.java,org.springframework.data.neo4j.support.Tuple2,"_/2[T1,T2]",_1,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-data-graph_0210210ce436eb83bf200f5d5f9a63a440c5b27a/spring-data-neo4j/src/main/java/org/springframework/data/neo4j/support/Tuple2.java,org.springframework.data.neo4j.support.Tuple2,"_/2[T1,T2]",_2,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-data-graph_0210210ce436eb83bf200f5d5f9a63a440c5b27a/spring-data-neo4j/src/main/java/org/springframework/data/neo4j/support/Tuple2.java,org.springframework.data.neo4j.support.Tuple2,toString/0,_1,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-data-graph_0210210ce436eb83bf200f5d5f9a63a440c5b27a/spring-data-neo4j/src/main/java/org/springframework/data/neo4j/support/Tuple2.java,org.springframework.data.neo4j.support.Tuple2,toString/0,_2,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-data-graph_0210210ce436eb83bf200f5d5f9a63a440c5b27a/spring-data-neo4j-rest/src/test/java/org/springframework/data/neo4j/rest/support/RestIndexTest.java,org.springframework.data.neo4j.rest.support.RestIndexTest,relationshipIndex/0,REL_INDEX_NAME,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-data-graph_0210210ce436eb83bf200f5d5f9a63a440c5b27a/spring-data-neo4j-rest/src/test/java/org/springframework/data/neo4j/rest/support/RestIndexTest.java,org.springframework.data.neo4j.rest.support.RestIndexTest,testRelationshipIndexIsListed/0,REL_INDEX_NAME,1
