file,class,method,variable,usage
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-data-keyvalue_115731519c5135f481fdb32d083d9745a58f72b0/src/main/java/org/springframework/data/keyvalue/core/query/KeyValueQuery.java,org.springframework.data.keyvalue.core.query.KeyValueQuery,orderBy/1[org.springframework.data.keyvalue.core.query.Sort],sort,9
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-data-keyvalue_115731519c5135f481fdb32d083d9745a58f72b0/src/main/java/org/springframework/data/keyvalue/core/query/KeyValueQuery.java,org.springframework.data.keyvalue.core.query.KeyValueQuery,KeyValueQuery/1[T],criteria,4
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-data-keyvalue_115731519c5135f481fdb32d083d9745a58f72b0/src/main/java/org/springframework/data/keyvalue/core/query/KeyValueQuery.java,org.springframework.data.keyvalue.core.query.KeyValueQuery,limit/1[int],rows,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-data-keyvalue_115731519c5135f481fdb32d083d9745a58f72b0/src/main/java/org/springframework/data/keyvalue/core/query/KeyValueQuery.java,org.springframework.data.keyvalue.core.query.KeyValueQuery,getOffset/0,offset,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-data-keyvalue_115731519c5135f481fdb32d083d9745a58f72b0/src/main/java/org/springframework/data/keyvalue/core/query/KeyValueQuery.java,org.springframework.data.keyvalue.core.query.KeyValueQuery,skip/1[long],offset,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-data-keyvalue_115731519c5135f481fdb32d083d9745a58f72b0/src/main/java/org/springframework/data/keyvalue/core/query/KeyValueQuery.java,org.springframework.data.keyvalue.core.query.KeyValueQuery,getSort/0,sort,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-data-keyvalue_115731519c5135f481fdb32d083d9745a58f72b0/src/main/java/org/springframework/data/keyvalue/core/query/KeyValueQuery.java,org.springframework.data.keyvalue.core.query.KeyValueQuery,getCriteria/0,criteria,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-data-keyvalue_115731519c5135f481fdb32d083d9745a58f72b0/src/main/java/org/springframework/data/keyvalue/core/query/KeyValueQuery.java,org.springframework.data.keyvalue.core.query.KeyValueQuery,setRows/1[int],rows,4
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-data-keyvalue_115731519c5135f481fdb32d083d9745a58f72b0/src/main/java/org/springframework/data/keyvalue/core/query/KeyValueQuery.java,org.springframework.data.keyvalue.core.query.KeyValueQuery,setOffset/1[long],offset,4
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-data-keyvalue_115731519c5135f481fdb32d083d9745a58f72b0/src/main/java/org/springframework/data/keyvalue/core/query/KeyValueQuery.java,org.springframework.data.keyvalue.core.query.KeyValueQuery,getRows/0,rows,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-data-keyvalue_115731519c5135f481fdb32d083d9745a58f72b0/src/main/java/org/springframework/data/keyvalue/core/query/KeyValueQuery.java,org.springframework.data.keyvalue.core.query.KeyValueQuery,KeyValueQuery/1[org.springframework.data.keyvalue.core.query.Sort],sort,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-data-keyvalue_115731519c5135f481fdb32d083d9745a58f72b0/src/main/java/org/springframework/data/keyvalue/core/query/KeyValueQuery.java,org.springframework.data.keyvalue.core.query.KeyValueQuery,setSort/1[org.springframework.data.keyvalue.core.query.Sort],sort,5
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-data-keyvalue_115731519c5135f481fdb32d083d9745a58f72b0/src/main/java/org/springframework/data/keyvalue/core/event/KeyValueEvent.java,org.springframework.data.keyvalue.core.event.KeyValueEvent$KeyBasedEvent,getKey/0,key,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-data-keyvalue_115731519c5135f481fdb32d083d9745a58f72b0/src/main/java/org/springframework/data/keyvalue/core/event/KeyValueEvent.java,org.springframework.data.keyvalue.core.event.KeyValueEvent$KeyBasedEvent,getType/0,type,1
