file,class,method,variable,usage
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-data-neo4j_bf5704c5f710656d30e93eae8b89ebedb1b920cc/spring-data-neo4j/src/test/java/org/springframework/data/neo4j/examples/movies/domain/ReleasedMovie.java,org.springframework.data.neo4j.examples.movies.domain.ReleasedMovie,"ReleasedMovie/3[java.lang.String,java.util.Date,java.util.Date]",cannesRelease,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-data-neo4j_bf5704c5f710656d30e93eae8b89ebedb1b920cc/spring-data-neo4j/src/test/java/org/springframework/data/neo4j/examples/movies/domain/ReleasedMovie.java,org.springframework.data.neo4j.examples.movies.domain.ReleasedMovie,"ReleasedMovie/3[java.lang.String,java.util.Date,java.util.Date]",title,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-data-neo4j_bf5704c5f710656d30e93eae8b89ebedb1b920cc/spring-data-neo4j/src/test/java/org/springframework/data/neo4j/examples/movies/domain/ReleasedMovie.java,org.springframework.data.neo4j.examples.movies.domain.ReleasedMovie,"ReleasedMovie/3[java.lang.String,java.util.Date,java.util.Date]",released,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-data-neo4j_bf5704c5f710656d30e93eae8b89ebedb1b920cc/spring-data-neo4j/src/main/java/org/springframework/data/neo4j/bookmark/CaffeineBookmarkManager.java,org.springframework.data.neo4j.bookmark.CaffeineBookmarkManager,"storeBookmark/2[java.lang.String,java.util.Collection<java.lang.String>]",bookmark,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-data-neo4j_bf5704c5f710656d30e93eae8b89ebedb1b920cc/spring-data-neo4j/src/main/java/org/springframework/data/neo4j/bookmark/CaffeineBookmarkManager.java,org.springframework.data.neo4j.bookmark.CaffeineBookmarkManager,"storeBookmark/2[java.lang.String,java.util.Collection<java.lang.String>]",previous,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-data-neo4j_bf5704c5f710656d30e93eae8b89ebedb1b920cc/spring-data-neo4j/src/main/java/org/springframework/data/neo4j/bookmark/CaffeineBookmarkManager.java,org.springframework.data.neo4j.bookmark.CaffeineBookmarkManager,"CaffeineBookmarkManager/1[org.springframework.data.neo4j.bookmark.Cache<java.lang.String,java.lang.String>]",cache,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-data-neo4j_bf5704c5f710656d30e93eae8b89ebedb1b920cc/spring-data-neo4j/src/test/java/org/springframework/data/neo4j/integration/conversion/SpringBooleanToBigIntegerConverter.java,org.springframework.data.neo4j.integration.conversion.SpringBooleanToBigIntegerConverter,convert/1[java.lang.Boolean],source,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-data-neo4j_bf5704c5f710656d30e93eae8b89ebedb1b920cc/spring-data-neo4j/src/test/java/org/springframework/data/neo4j/nativetypes/SpatialFindByTests.java,org.springframework.data.neo4j.nativetypes.SpatialFindByTests,findByCartesianPoint3d/0,result,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-data-neo4j_bf5704c5f710656d30e93eae8b89ebedb1b920cc/spring-data-neo4j/src/test/java/org/springframework/data/neo4j/nativetypes/SpatialFindByTests.java,org.springframework.data.neo4j.nativetypes.SpatialFindByTests,findByCartesianPoint3d/0,cartesianPoint3d,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-data-neo4j_bf5704c5f710656d30e93eae8b89ebedb1b920cc/spring-data-neo4j/src/test/java/org/springframework/data/neo4j/nativetypes/SpatialFindByTests.java,org.springframework.data.neo4j.nativetypes.SpatialFindByTests,findByGeographicPoint2d/0,result,1
