file,class,method,variable,usage
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-framework-issues_ada8e40099454d41f4b83eb858462cc99ae29734/SPR-10440/src/main/java/org/springframework/issues/InMemoryChatRepository.java,org.springframework.issues.InMemoryChatRepository,getMessages/1[int],messages,4
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-framework-issues_ada8e40099454d41f4b83eb858462cc99ae29734/SPR-10440/src/main/java/org/springframework/issues/InMemoryChatRepository.java,org.springframework.issues.InMemoryChatRepository,addMessage/1[java.lang.String],messages,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-framework-issues_ada8e40099454d41f4b83eb858462cc99ae29734/SPR-13615/src/main/java/org/springframework/issues/IgnoredDeferredResultInterceptor.java,org.springframework.issues.IgnoredDeferredResultInterceptor,"afterCompletion/2[org.springframework.issues.NativeWebRequest,org.springframework.issues.DeferredResult<T>]",executed,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-framework-issues_ada8e40099454d41f4b83eb858462cc99ae29734/SPR-8658/src/main/java/org/springframework/web/issues/Registration.java,org.springframework.web.issues.Registration,setAbnYn/1[java.lang.String],abnYn,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-framework-issues_ada8e40099454d41f4b83eb858462cc99ae29734/SPR-8658/src/main/java/org/springframework/web/issues/Registration.java,org.springframework.web.issues.Registration,getAbn/0,abn,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-framework-issues_ada8e40099454d41f4b83eb858462cc99ae29734/SPR-8658/src/main/java/org/springframework/web/issues/Registration.java,org.springframework.web.issues.Registration,setAbn/1[java.lang.String],abn,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-framework-issues_ada8e40099454d41f4b83eb858462cc99ae29734/SPR-8658/src/main/java/org/springframework/web/issues/Registration.java,org.springframework.web.issues.Registration,getAbnYn/0,abnYn,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-framework-issues_ada8e40099454d41f4b83eb858462cc99ae29734/SPR-8658/src/test/java/org/springframework/web/issues/BeanValidationTest.java,org.springframework.web.issues.BeanValidationTest,testWebApplicationContext/0,webApplicationContext,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-framework-issues_ada8e40099454d41f4b83eb858462cc99ae29734/SPR-8658/src/test/java/org/springframework/web/issues/BeanValidationTest.java,org.springframework.web.issues.BeanValidationTest,initialize/0,applicationContext,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-framework-issues_ada8e40099454d41f4b83eb858462cc99ae29734/SPR-8658/src/test/java/org/springframework/web/issues/BeanValidationTest.java,org.springframework.web.issues.BeanValidationTest,initialize/0,webApplicationContext,4
