file,class,method,variable,usage
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-hateoas_0e02d4f04117e03ab94110c9de09b2ac28d55599/src/main/java/org/springframework/hateoas/server/core/AbstractEntityLinks.java,org.springframework.hateoas.server.core.AbstractEntityLinks,"linkForItemResource/2[java.lang.Class<?>,java.lang.Object]",id,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-hateoas_0e02d4f04117e03ab94110c9de09b2ac28d55599/src/main/java/org/springframework/hateoas/server/core/AbstractEntityLinks.java,org.springframework.hateoas.server.core.AbstractEntityLinks,"linkForItemResource/2[java.lang.Class<?>,java.lang.Object]",type,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-hateoas_0e02d4f04117e03ab94110c9de09b2ac28d55599/src/main/java/org/springframework/hateoas/config/WebMvcHateoasConfiguration.java,org.springframework.hateoas.config.WebMvcHateoasConfiguration$HypermediaRestTemplateBeanPostProcessor,"postProcessBeforeInitialization/2[java.lang.Object,java.lang.String]",beanName,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-hateoas_0e02d4f04117e03ab94110c9de09b2ac28d55599/src/main/java/org/springframework/hateoas/config/WebMvcHateoasConfiguration.java,org.springframework.hateoas.config.WebMvcHateoasConfiguration$HypermediaRestTemplateBeanPostProcessor,"postProcessBeforeInitialization/2[java.lang.Object,java.lang.String]",bean,4
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-hateoas_0e02d4f04117e03ab94110c9de09b2ac28d55599/src/test/java/org/springframework/hateoas/mediatype/hal/Jackson2HalIntegrationTest.java,org.springframework.hateoas.mediatype.hal.Jackson2HalIntegrationTest,handleTemplatedLinksOnDeserialization/0,original,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-hateoas_0e02d4f04117e03ab94110c9de09b2ac28d55599/src/test/java/org/springframework/hateoas/mediatype/hal/Jackson2HalIntegrationTest.java,org.springframework.hateoas.mediatype.hal.Jackson2HalIntegrationTest,handleTemplatedLinksOnDeserialization/0,expected,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-hateoas_0e02d4f04117e03ab94110c9de09b2ac28d55599/src/test/java/org/springframework/hateoas/mediatype/hal/Jackson2HalIntegrationTest.java,org.springframework.hateoas.mediatype.hal.Jackson2HalIntegrationTest,handleTemplatedLinksOnDeserialization/0,serialized,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-hateoas_0e02d4f04117e03ab94110c9de09b2ac28d55599/src/test/java/org/springframework/hateoas/mediatype/hal/Jackson2HalIntegrationTest.java,org.springframework.hateoas.mediatype.hal.Jackson2HalIntegrationTest,handleTemplatedLinksOnDeserialization/0,deserialized,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-hateoas_0e02d4f04117e03ab94110c9de09b2ac28d55599/src/test/java/org/springframework/hateoas/mediatype/hal/Jackson2HalIntegrationTest.java,org.springframework.hateoas.mediatype.hal.Jackson2HalIntegrationTest,deserializeSingleLink/0,expected,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-hateoas_0e02d4f04117e03ab94110c9de09b2ac28d55599/src/test/java/org/springframework/hateoas/mediatype/hal/Jackson2HalIntegrationTest.java,org.springframework.hateoas.mediatype.hal.Jackson2HalIntegrationTest,getCuriedObjectMapper/1[org.springframework.hateoas.mediatype.hal.CurieProvider],provider,1
