file,class,method,variable,usage
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-insight-plugins_106140e88c18717b3d9a5ac1aae73f14fea6d4d5/collection-plugins/files-tracker/src/main/java/com/springsource/insight/plugin/files/tracker/AbstractFilesTrackerAspectSupport.java,com.springsource.insight.plugin.files.tracker.AbstractFilesTrackerAspectSupport$Anonymous1,"incrementalUpdate/2[com.springsource.insight.plugin.files.tracker.CollectionSettingName,java.io.Serializable]",newValue,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-insight-plugins_106140e88c18717b3d9a5ac1aae73f14fea6d4d5/collection-plugins/files-tracker/src/main/java/com/springsource/insight/plugin/files/tracker/AbstractFilesTrackerAspectSupport.java,com.springsource.insight.plugin.files.tracker.AbstractFilesTrackerAspectSupport$Anonymous1,"incrementalUpdate/2[com.springsource.insight.plugin.files.tracker.CollectionSettingName,java.io.Serializable]",LOG,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-insight-plugins_106140e88c18717b3d9a5ac1aae73f14fea6d4d5/collection-plugins/files-tracker/src/main/java/com/springsource/insight/plugin/files/tracker/AbstractFilesTrackerAspectSupport.java,com.springsource.insight.plugin.files.tracker.AbstractFilesTrackerAspectSupport$Anonymous1,"incrementalUpdate/2[com.springsource.insight.plugin.files.tracker.CollectionSettingName,java.io.Serializable]",newCapacity,4
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-insight-plugins_106140e88c18717b3d9a5ac1aae73f14fea6d4d5/collection-plugins/files-tracker/src/main/java/com/springsource/insight/plugin/files/tracker/AbstractFilesTrackerAspectSupport.java,com.springsource.insight.plugin.files.tracker.AbstractFilesTrackerAspectSupport$Anonymous1,"incrementalUpdate/2[com.springsource.insight.plugin.files.tracker.CollectionSettingName,java.io.Serializable]",name,4
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-insight-plugins_106140e88c18717b3d9a5ac1aae73f14fea6d4d5/collection-plugins/files-tracker/src/main/java/com/springsource/insight/plugin/files/tracker/AbstractFilesTrackerAspectSupport.java,com.springsource.insight.plugin.files.tracker.AbstractFilesTrackerAspectSupport$Anonymous1,"incrementalUpdate/2[com.springsource.insight.plugin.files.tracker.CollectionSettingName,java.io.Serializable]",prevCapacity,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-insight-plugins_106140e88c18717b3d9a5ac1aae73f14fea6d4d5/collection-plugins/files-tracker/src/main/java/com/springsource/insight/plugin/files/tracker/AbstractFilesTrackerAspectSupport.java,com.springsource.insight.plugin.files.tracker.AbstractFilesTrackerAspectSupport$Anonymous1,"incrementalUpdate/2[com.springsource.insight.plugin.files.tracker.CollectionSettingName,java.io.Serializable]",value,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-insight-plugins_106140e88c18717b3d9a5ac1aae73f14fea6d4d5/collection-plugins/jcr/src/main/java/com/springsource/insight/plugin/jcr/OperationCollectionTypes.java,com.springsource.insight.plugin.jcr.OperationCollectionTypes,"OperationCollectionTypes/2[java.lang.String,java.lang.String]",typeId,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-insight-plugins_106140e88c18717b3d9a5ac1aae73f14fea6d4d5/collection-plugins/jcr/src/main/java/com/springsource/insight/plugin/jcr/OperationCollectionTypes.java,com.springsource.insight.plugin.jcr.OperationCollectionTypes,"OperationCollectionTypes/2[java.lang.String,java.lang.String]",labelValue,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-insight-plugins_106140e88c18717b3d9a5ac1aae73f14fea6d4d5/collection-plugins/jdbc/src/test/java/com/springsource/insight/plugin/jdbc/parsers/OracleRACParserTest.java,com.springsource.insight.plugin.jdbc.parsers.OracleRACParserTest,testTwoHostsFirstWithNoPort/0,connectionUrl,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-insight-plugins_106140e88c18717b3d9a5ac1aae73f14fea6d4d5/collection-plugins/jdbc/src/test/java/com/springsource/insight/plugin/jdbc/parsers/OracleRACParserTest.java,com.springsource.insight.plugin.jdbc.parsers.OracleRACParserTest,testTwoHostsFirstWithNoPort/0,hostToPortHash,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-insight-plugins_106140e88c18717b3d9a5ac1aae73f14fea6d4d5/collection-plugins/jdbc/src/test/java/com/springsource/insight/plugin/jdbc/parsers/OracleRACParserTest.java,com.springsource.insight.plugin.jdbc.parsers.OracleRACParserTest,testTwoHostsAndPortsAndServiceName/0,connectionUrl,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-insight-plugins_106140e88c18717b3d9a5ac1aae73f14fea6d4d5/collection-plugins/jdbc/src/test/java/com/springsource/insight/plugin/jdbc/parsers/OracleRACParserTest.java,com.springsource.insight.plugin.jdbc.parsers.OracleRACParserTest,testTwoHostsAndPortsAndServiceName/0,hostToPortHash,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-insight-plugins_106140e88c18717b3d9a5ac1aae73f14fea6d4d5/collection-plugins/jdbc/src/test/java/com/springsource/insight/plugin/jdbc/parsers/OracleRACParserTest.java,com.springsource.insight.plugin.jdbc.parsers.OracleRACParserTest,testAllDefaultsOnlyServiceName/0,connectionUrl,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-insight-plugins_106140e88c18717b3d9a5ac1aae73f14fea6d4d5/collection-plugins/jdbc/src/test/java/com/springsource/insight/plugin/jdbc/parsers/OracleRACParserTest.java,com.springsource.insight.plugin.jdbc.parsers.OracleRACParserTest,testAllDefaultsOnlyServiceName/0,hostToPortHash,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-insight-plugins_106140e88c18717b3d9a5ac1aae73f14fea6d4d5/collection-plugins/jdbc/src/test/java/com/springsource/insight/plugin/jdbc/parsers/OracleRACParserTest.java,com.springsource.insight.plugin.jdbc.parsers.OracleRACParserTest,testTwoHostsOneInvalidPort/0,connectionUrl,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-insight-plugins_106140e88c18717b3d9a5ac1aae73f14fea6d4d5/collection-plugins/jdbc/src/test/java/com/springsource/insight/plugin/jdbc/parsers/OracleRACParserTest.java,com.springsource.insight.plugin.jdbc.parsers.OracleRACParserTest,testTwoHostsOneInvalidPort/0,hostToPortHash,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-insight-plugins_106140e88c18717b3d9a5ac1aae73f14fea6d4d5/collection-plugins/jdbc/src/test/java/com/springsource/insight/plugin/jdbc/parsers/OracleRACParserTest.java,com.springsource.insight.plugin.jdbc.parsers.OracleRACParserTest,testUnspecifiedHostAndPortOnlyServiceName/0,connectionUrl,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-insight-plugins_106140e88c18717b3d9a5ac1aae73f14fea6d4d5/collection-plugins/jdbc/src/test/java/com/springsource/insight/plugin/jdbc/parsers/OracleRACParserTest.java,com.springsource.insight.plugin.jdbc.parsers.OracleRACParserTest,testUnspecifiedHostAndPortOnlyServiceName/0,hostToPortHash,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-insight-plugins_106140e88c18717b3d9a5ac1aae73f14fea6d4d5/collection-plugins/jdbc/src/test/java/com/springsource/insight/plugin/jdbc/parsers/OracleRACParserTest.java,com.springsource.insight.plugin.jdbc.parsers.OracleRACParserTest,"testMultipleHostsOrPorts/3[java.lang.String,java.util.Map<java.lang.String,java.lang.Integer>,java.lang.String]",actualHost,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-insight-plugins_106140e88c18717b3d9a5ac1aae73f14fea6d4d5/collection-plugins/jdbc/src/test/java/com/springsource/insight/plugin/jdbc/parsers/OracleRACParserTest.java,com.springsource.insight.plugin.jdbc.parsers.OracleRACParserTest,"testMultipleHostsOrPorts/3[java.lang.String,java.util.Map<java.lang.String,java.lang.Integer>,java.lang.String]",actual,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-insight-plugins_106140e88c18717b3d9a5ac1aae73f14fea6d4d5/collection-plugins/jdbc/src/test/java/com/springsource/insight/plugin/jdbc/parsers/OracleRACParserTest.java,com.springsource.insight.plugin.jdbc.parsers.OracleRACParserTest,"testMultipleHostsOrPorts/3[java.lang.String,java.util.Map<java.lang.String,java.lang.Integer>,java.lang.String]",dbName,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-insight-plugins_106140e88c18717b3d9a5ac1aae73f14fea6d4d5/collection-plugins/jdbc/src/test/java/com/springsource/insight/plugin/jdbc/parsers/OracleRACParserTest.java,com.springsource.insight.plugin.jdbc.parsers.OracleRACParserTest,"testMultipleHostsOrPorts/3[java.lang.String,java.util.Map<java.lang.String,java.lang.Integer>,java.lang.String]",expected,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-insight-plugins_106140e88c18717b3d9a5ac1aae73f14fea6d4d5/collection-plugins/jdbc/src/test/java/com/springsource/insight/plugin/jdbc/parsers/OracleRACParserTest.java,com.springsource.insight.plugin.jdbc.parsers.OracleRACParserTest,"testMultipleHostsOrPorts/3[java.lang.String,java.util.Map<java.lang.String,java.lang.Integer>,java.lang.String]",connectionUrl,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-insight-plugins_106140e88c18717b3d9a5ac1aae73f14fea6d4d5/collection-plugins/jdbc/src/test/java/com/springsource/insight/plugin/jdbc/parsers/OracleRACParserTest.java,com.springsource.insight.plugin.jdbc.parsers.OracleRACParserTest,"testMultipleHostsOrPorts/3[java.lang.String,java.util.Map<java.lang.String,java.lang.Integer>,java.lang.String]",vendorName,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-insight-plugins_106140e88c18717b3d9a5ac1aae73f14fea6d4d5/collection-plugins/jdbc/src/test/java/com/springsource/insight/plugin/jdbc/parsers/OracleRACParserTest.java,com.springsource.insight.plugin.jdbc.parsers.OracleRACParserTest,"testMultipleHostsOrPorts/3[java.lang.String,java.util.Map<java.lang.String,java.lang.Integer>,java.lang.String]",actualJdbcUrlMetaData,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-insight-plugins_106140e88c18717b3d9a5ac1aae73f14fea6d4d5/collection-plugins/jdbc/src/test/java/com/springsource/insight/plugin/jdbc/parsers/OracleRACParserTest.java,com.springsource.insight.plugin.jdbc.parsers.OracleRACParserTest,"testMultipleHostsOrPorts/3[java.lang.String,java.util.Map<java.lang.String,java.lang.Integer>,java.lang.String]",hostToPortHash,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-insight-plugins_106140e88c18717b3d9a5ac1aae73f14fea6d4d5/collection-plugins/jdbc/src/test/java/com/springsource/insight/plugin/jdbc/parsers/OracleRACParserTest.java,com.springsource.insight.plugin.jdbc.parsers.OracleRACParserTest,testOneAddressWithNoHost/0,connectionUrl,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-insight-plugins_106140e88c18717b3d9a5ac1aae73f14fea6d4d5/collection-plugins/jdbc/src/test/java/com/springsource/insight/plugin/jdbc/parsers/OracleRACParserTest.java,com.springsource.insight.plugin.jdbc.parsers.OracleRACParserTest,testOneAddressWithNoHost/0,hostToPortHash,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-insight-plugins_106140e88c18717b3d9a5ac1aae73f14fea6d4d5/collection-plugins/jta/src/test/java/com/springsource/insight/plugin/jta/UserTransactionOperationCollectionAspectTest.java,com.springsource.insight.plugin.jta.UserTransactionOperationCollectionAspectTest$UserTransactionOperation$Anonymous3,doOperation/1[com.springsource.insight.plugin.jta.UserTransaction],tx,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-insight-plugins_106140e88c18717b3d9a5ac1aae73f14fea6d4d5/collection-plugins/jta/src/test/java/com/springsource/insight/plugin/jta/UserTransactionOperationCollectionAspectTest.java,com.springsource.insight.plugin.jta.UserTransactionOperationCollectionAspectTest$UserTransactionOperation$Anonymous2,doOperation/1[com.springsource.insight.plugin.jta.UserTransaction],tx,1
