file,class,method,variable,usage
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-integration-java-dsl_374682236256f639c3c47fda12f34386cbe0383f/src/main/java/org/springframework/integration/dsl/GatewayMessageHandler.java,org.springframework.integration.dsl.GatewayMessageHandler,handleRequestMessage/1[org.springframework.integration.dsl.Message<?>],exchanger,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-integration-java-dsl_374682236256f639c3c47fda12f34386cbe0383f/src/main/java/org/springframework/integration/dsl/GatewayMessageHandler.java,org.springframework.integration.dsl.GatewayMessageHandler,setErrorChannel/1[org.springframework.integration.dsl.MessageChannel],errorChannel,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-integration-java-dsl_374682236256f639c3c47fda12f34386cbe0383f/src/main/java/org/springframework/integration/dsl/GatewayMessageHandler.java,org.springframework.integration.dsl.GatewayMessageHandler,setErrorChannel/1[org.springframework.integration.dsl.MessageChannel],gatewayProxyFactoryBean,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-integration-java-dsl_374682236256f639c3c47fda12f34386cbe0383f/src/main/java/org/springframework/integration/dsl/GatewayMessageHandler.java,org.springframework.integration.dsl.GatewayMessageHandler,isRunning/0,running,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-integration-java-dsl_374682236256f639c3c47fda12f34386cbe0383f/src/main/java/org/springframework/integration/dsl/GatewayMessageHandler.java,org.springframework.integration.dsl.GatewayMessageHandler,GatewayMessageHandler/0,gatewayProxyFactoryBean,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-integration-java-dsl_374682236256f639c3c47fda12f34386cbe0383f/src/main/java/org/springframework/integration/dsl/GatewayMessageHandler.java,org.springframework.integration.dsl.GatewayMessageHandler,setReplyChannel/1[org.springframework.integration.dsl.MessageChannel],replyChannel,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-integration-java-dsl_374682236256f639c3c47fda12f34386cbe0383f/src/main/java/org/springframework/integration/dsl/GatewayMessageHandler.java,org.springframework.integration.dsl.GatewayMessageHandler,setReplyChannel/1[org.springframework.integration.dsl.MessageChannel],gatewayProxyFactoryBean,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-integration-java-dsl_374682236256f639c3c47fda12f34386cbe0383f/src/main/java/org/springframework/integration/dsl/GatewayMessageHandler.java,org.springframework.integration.dsl.GatewayMessageHandler,stop/0,running,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-integration-java-dsl_374682236256f639c3c47fda12f34386cbe0383f/src/main/java/org/springframework/integration/dsl/GatewayMessageHandler.java,org.springframework.integration.dsl.GatewayMessageHandler,stop/0,gatewayProxyFactoryBean,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-integration-java-dsl_374682236256f639c3c47fda12f34386cbe0383f/src/main/java/org/springframework/integration/dsl/GatewayMessageHandler.java,org.springframework.integration.dsl.GatewayMessageHandler,setReplyChannelName/1[java.lang.String],replyChannel,3
