file,class,method,variable,usage
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-integration-samples_cb052d2d98117d96331f883756e68e4bf31ffc84/basic/tcp-broadcast/src/main/java/org/springframework/integration/samples/tcpbroadcast/TcpBroadcastApplication.java,org.springframework.integration.samples.tcpbroadcast.TcpBroadcastApplication$Broadcaster,send/1[java.lang.String],server,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-integration-samples_cb052d2d98117d96331f883756e68e4bf31ffc84/basic/tcp-broadcast/src/main/java/org/springframework/integration/samples/tcpbroadcast/TcpBroadcastApplication.java,org.springframework.integration.samples.tcpbroadcast.TcpBroadcastApplication$Broadcaster,send/1[java.lang.String],sender,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-integration-samples_cb052d2d98117d96331f883756e68e4bf31ffc84/intermediate/splitter-aggregator-reaper/src/test/java/org/springframework/integration/samples/splitteraggregator/TestSplitterAggregator.java,org.springframework.integration.samples.splitteraggregator.TestSplitterAggregator,testSearchNoSearchB/0,searchRequestor,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-integration-samples_cb052d2d98117d96331f883756e68e4bf31ffc84/intermediate/splitter-aggregator-reaper/src/test/java/org/springframework/integration/samples/splitteraggregator/TestSplitterAggregator.java,org.springframework.integration.samples.splitteraggregator.TestSplitterAggregator,testSearchNoSearchB/0,searchB,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-integration-samples_cb052d2d98117d96331f883756e68e4bf31ffc84/intermediate/splitter-aggregator-reaper/src/test/java/org/springframework/integration/samples/splitteraggregator/TestSplitterAggregator.java,org.springframework.integration.samples.splitteraggregator.TestSplitterAggregator,testSearchNoSearchB/0,searchA,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-integration-samples_cb052d2d98117d96331f883756e68e4bf31ffc84/intermediate/splitter-aggregator-reaper/src/test/java/org/springframework/integration/samples/splitteraggregator/TestSplitterAggregator.java,org.springframework.integration.samples.splitteraggregator.TestSplitterAggregator,testSearch/0,searchRequestor,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-integration-samples_cb052d2d98117d96331f883756e68e4bf31ffc84/intermediate/splitter-aggregator-reaper/src/test/java/org/springframework/integration/samples/splitteraggregator/TestSplitterAggregator.java,org.springframework.integration.samples.splitteraggregator.TestSplitterAggregator,testSearchNoSearchA/0,searchRequestor,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-integration-samples_cb052d2d98117d96331f883756e68e4bf31ffc84/intermediate/splitter-aggregator-reaper/src/test/java/org/springframework/integration/samples/splitteraggregator/TestSplitterAggregator.java,org.springframework.integration.samples.splitteraggregator.TestSplitterAggregator,testSearchNoSearchA/0,searchA,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-integration-samples_cb052d2d98117d96331f883756e68e4bf31ffc84/basic/ftp/src/test/java/org/springframework/integration/samples/ftp/support/TestUserManager.java,org.springframework.integration.samples.ftp.support.TestUserManager,getAllUserNames/0,TEST_USERNAME,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-integration-samples_cb052d2d98117d96331f883756e68e4bf31ffc84/basic/ftp/src/test/java/org/springframework/integration/samples/ftp/support/TestUserManager.java,org.springframework.integration.samples.ftp.support.TestUserManager,getAllUserNames/0,anonUser,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-integration-samples_cb052d2d98117d96331f883756e68e4bf31ffc84/basic/ftp/src/test/java/org/springframework/integration/samples/ftp/support/TestUserManager.java,org.springframework.integration.samples.ftp.support.TestUserManager,doesExist/1[java.lang.String],TEST_USERNAME,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-integration-samples_cb052d2d98117d96331f883756e68e4bf31ffc84/basic/ftp/src/test/java/org/springframework/integration/samples/ftp/support/TestUserManager.java,org.springframework.integration.samples.ftp.support.TestUserManager,doesExist/1[java.lang.String],anonUser,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-integration-samples_cb052d2d98117d96331f883756e68e4bf31ffc84/basic/ftp/src/test/java/org/springframework/integration/samples/ftp/support/TestUserManager.java,org.springframework.integration.samples.ftp.support.TestUserManager,getUserByName/1[java.lang.String],TEST_USERNAME,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-integration-samples_cb052d2d98117d96331f883756e68e4bf31ffc84/basic/ftp/src/test/java/org/springframework/integration/samples/ftp/support/TestUserManager.java,org.springframework.integration.samples.ftp.support.TestUserManager,getUserByName/1[java.lang.String],anonUser,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-integration-samples_cb052d2d98117d96331f883756e68e4bf31ffc84/basic/ftp/src/test/java/org/springframework/integration/samples/ftp/support/TestUserManager.java,org.springframework.integration.samples.ftp.support.TestUserManager,getUserByName/1[java.lang.String],testUser,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-integration-samples_cb052d2d98117d96331f883756e68e4bf31ffc84/basic/ftp/src/test/java/org/springframework/integration/samples/ftp/support/TestUserManager.java,org.springframework.integration.samples.ftp.support.TestUserManager,authenticate/1[org.springframework.integration.samples.ftp.support.Authentication],TEST_USERNAME,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-integration-samples_cb052d2d98117d96331f883756e68e4bf31ffc84/basic/ftp/src/test/java/org/springframework/integration/samples/ftp/support/TestUserManager.java,org.springframework.integration.samples.ftp.support.TestUserManager,authenticate/1[org.springframework.integration.samples.ftp.support.Authentication],anonUser,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-integration-samples_cb052d2d98117d96331f883756e68e4bf31ffc84/basic/ftp/src/test/java/org/springframework/integration/samples/ftp/support/TestUserManager.java,org.springframework.integration.samples.ftp.support.TestUserManager,authenticate/1[org.springframework.integration.samples.ftp.support.Authentication],TEST_PASSWORD,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-integration-samples_cb052d2d98117d96331f883756e68e4bf31ffc84/basic/ftp/src/test/java/org/springframework/integration/samples/ftp/support/TestUserManager.java,org.springframework.integration.samples.ftp.support.TestUserManager,authenticate/1[org.springframework.integration.samples.ftp.support.Authentication],testUser,1
