file,class,method,variable,usage
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-integration-samples_cb052d2d98117d96331f883756e68e4bf31ffc84/basic/tcp-broadcast/src/main/java/org/springframework/integration/samples/tcpbroadcast/TcpBroadcastApplication.java,org.springframework.integration.samples.tcpbroadcast.TcpBroadcastApplication,main/1[java.lang.String[]],args,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-integration-samples_cb052d2d98117d96331f883756e68e4bf31ffc84/basic/tcp-broadcast/src/main/java/org/springframework/integration/samples/tcpbroadcast/TcpBroadcastApplication.java,org.springframework.integration.samples.tcpbroadcast.TcpBroadcastApplication$Broadcaster,send/1[java.lang.String],what,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-integration-samples_cb052d2d98117d96331f883756e68e4bf31ffc84/basic/tcp-broadcast/src/main/java/org/springframework/integration/samples/tcpbroadcast/TcpBroadcastApplication.java,org.springframework.integration.samples.tcpbroadcast.TcpBroadcastApplication$Broadcaster,send/1[java.lang.String],cid,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-integration-samples_cb052d2d98117d96331f883756e68e4bf31ffc84/intermediate/stored-procedures-oracle/src/main/java/org/springframework/integration/service/StringConversionService.java,org.springframework.integration.service.StringConversionService,convertToUpperCase/1[java.lang.String],stringToConvert,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-integration-samples_cb052d2d98117d96331f883756e68e4bf31ffc84/intermediate/splitter-aggregator-reaper/src/test/java/org/springframework/integration/samples/splitteraggregator/TestSplitterAggregator.java,org.springframework.integration.samples.splitteraggregator.TestSplitterAggregator,testSearchNoSearchB/0,result,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-integration-samples_cb052d2d98117d96331f883756e68e4bf31ffc84/intermediate/splitter-aggregator-reaper/src/test/java/org/springframework/integration/samples/splitteraggregator/TestSplitterAggregator.java,org.springframework.integration.samples.splitteraggregator.TestSplitterAggregator,testSearch/0,result,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-integration-samples_cb052d2d98117d96331f883756e68e4bf31ffc84/intermediate/splitter-aggregator-reaper/src/test/java/org/springframework/integration/samples/splitteraggregator/TestSplitterAggregator.java,org.springframework.integration.samples.splitteraggregator.TestSplitterAggregator,testSearchNoSearchA/0,result,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-integration-samples_cb052d2d98117d96331f883756e68e4bf31ffc84/applications/cafe/cafe-si/src/main/java/org/springframework/integration/samples/cafe/annotation/CafeDemoApp.java,org.springframework.integration.samples.cafe.annotation.CafeDemoApp,main/1[java.lang.String[]],args,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-integration-samples_cb052d2d98117d96331f883756e68e4bf31ffc84/applications/cafe/cafe-si/src/main/java/org/springframework/integration/samples/cafe/annotation/CafeDemoApp.java,org.springframework.integration.samples.cafe.annotation.CafeDemoApp,main/1[java.lang.String[]],cafe,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-integration-samples_cb052d2d98117d96331f883756e68e4bf31ffc84/applications/cafe/cafe-si/src/main/java/org/springframework/integration/samples/cafe/annotation/CafeDemoApp.java,org.springframework.integration.samples.cafe.annotation.CafeDemoApp,main/1[java.lang.String[]],context,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-integration-samples_cb052d2d98117d96331f883756e68e4bf31ffc84/applications/cafe/cafe-si/src/main/java/org/springframework/integration/samples/cafe/annotation/CafeDemoApp.java,org.springframework.integration.samples.cafe.annotation.CafeDemoApp,main/1[java.lang.String[]],i,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-integration-samples_cb052d2d98117d96331f883756e68e4bf31ffc84/applications/cafe/cafe-si/src/main/java/org/springframework/integration/samples/cafe/annotation/CafeDemoApp.java,org.springframework.integration.samples.cafe.annotation.CafeDemoApp,main/1[java.lang.String[]],order,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-integration-samples_cb052d2d98117d96331f883756e68e4bf31ffc84/basic/ws-outbound-gateway/src/main/java/org/springframework/integration/samples/ws/WebServiceDemoTestApp.java,org.springframework.integration.samples.ws.WebServiceDemoTestApp,main/1[java.lang.String[]],args,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-integration-samples_cb052d2d98117d96331f883756e68e4bf31ffc84/basic/ws-outbound-gateway/src/main/java/org/springframework/integration/samples/ws/WebServiceDemoTestApp.java,org.springframework.integration.samples.ws.WebServiceDemoTestApp,main/1[java.lang.String[]],channelResolver,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-integration-samples_cb052d2d98117d96331f883756e68e4bf31ffc84/basic/ws-outbound-gateway/src/main/java/org/springframework/integration/samples/ws/WebServiceDemoTestApp.java,org.springframework.integration.samples.ws.WebServiceDemoTestApp,main/1[java.lang.String[]],context,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-integration-samples_cb052d2d98117d96331f883756e68e4bf31ffc84/basic/ws-outbound-gateway/src/main/java/org/springframework/integration/samples/ws/WebServiceDemoTestApp.java,org.springframework.integration.samples.ws.WebServiceDemoTestApp,main/1[java.lang.String[]],channel,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-integration-samples_cb052d2d98117d96331f883756e68e4bf31ffc84/basic/ws-outbound-gateway/src/main/java/org/springframework/integration/samples/ws/WebServiceDemoTestApp.java,org.springframework.integration.samples.ws.WebServiceDemoTestApp,main/1[java.lang.String[]],message,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-integration-samples_cb052d2d98117d96331f883756e68e4bf31ffc84/basic/ws-outbound-gateway/src/main/java/org/springframework/integration/samples/ws/WebServiceDemoTestApp.java,org.springframework.integration.samples.ws.WebServiceDemoTestApp,main/1[java.lang.String[]],requestXml,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-integration-samples_cb052d2d98117d96331f883756e68e4bf31ffc84/basic/xml/src/main/java/org/springframework/integration/samples/xml/BookOrderProcessingTestApp.java,org.springframework.integration.samples.xml.BookOrderProcessingTestApp,createXmlMessageFromResource/1[java.lang.String],path,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-integration-samples_cb052d2d98117d96331f883756e68e4bf31ffc84/basic/xml/src/main/java/org/springframework/integration/samples/xml/BookOrderProcessingTestApp.java,org.springframework.integration.samples.xml.BookOrderProcessingTestApp,createXmlMessageFromResource/1[java.lang.String],orderRes,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-integration-samples_cb052d2d98117d96331f883756e68e4bf31ffc84/basic/xml/src/main/java/org/springframework/integration/samples/xml/BookOrderProcessingTestApp.java,org.springframework.integration.samples.xml.BookOrderProcessingTestApp,createXmlMessageFromResource/1[java.lang.String],builderFactory,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-integration-samples_cb052d2d98117d96331f883756e68e4bf31ffc84/basic/xml/src/main/java/org/springframework/integration/samples/xml/BookOrderProcessingTestApp.java,org.springframework.integration.samples.xml.BookOrderProcessingTestApp,createXmlMessageFromResource/1[java.lang.String],builder,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-integration-samples_cb052d2d98117d96331f883756e68e4bf31ffc84/basic/xml/src/main/java/org/springframework/integration/samples/xml/BookOrderProcessingTestApp.java,org.springframework.integration.samples.xml.BookOrderProcessingTestApp,createXmlMessageFromResource/1[java.lang.String],orderDoc,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-integration-samples_cb052d2d98117d96331f883756e68e4bf31ffc84/basic/xml/src/main/java/org/springframework/integration/samples/xml/BookOrderProcessingTestApp.java,org.springframework.integration.samples.xml.BookOrderProcessingTestApp,main/1[java.lang.String[]],args,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-integration-samples_cb052d2d98117d96331f883756e68e4bf31ffc84/basic/xml/src/main/java/org/springframework/integration/samples/xml/BookOrderProcessingTestApp.java,org.springframework.integration.samples.xml.BookOrderProcessingTestApp,main/1[java.lang.String[]],applicationContext,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-integration-samples_cb052d2d98117d96331f883756e68e4bf31ffc84/basic/xml/src/main/java/org/springframework/integration/samples/xml/BookOrderProcessingTestApp.java,org.springframework.integration.samples.xml.BookOrderProcessingTestApp,main/1[java.lang.String[]],messageChannel,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-integration-samples_cb052d2d98117d96331f883756e68e4bf31ffc84/basic/xml/src/main/java/org/springframework/integration/samples/xml/BookOrderProcessingTestApp.java,org.springframework.integration.samples.xml.BookOrderProcessingTestApp,main/1[java.lang.String[]],orderMessage,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-integration-samples_cb052d2d98117d96331f883756e68e4bf31ffc84/basic/ftp/src/test/java/org/springframework/integration/samples/ftp/support/TestUserManager.java,org.springframework.integration.samples.ftp.support.TestUserManager,doesExist/1[java.lang.String],username,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-integration-samples_cb052d2d98117d96331f883756e68e4bf31ffc84/basic/ftp/src/test/java/org/springframework/integration/samples/ftp/support/TestUserManager.java,org.springframework.integration.samples.ftp.support.TestUserManager,getUserByName/1[java.lang.String],username,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-integration-samples_cb052d2d98117d96331f883756e68e4bf31ffc84/basic/ftp/src/test/java/org/springframework/integration/samples/ftp/support/TestUserManager.java,org.springframework.integration.samples.ftp.support.TestUserManager,save/1[org.springframework.integration.samples.ftp.support.User],user,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-integration-samples_cb052d2d98117d96331f883756e68e4bf31ffc84/basic/ftp/src/test/java/org/springframework/integration/samples/ftp/support/TestUserManager.java,org.springframework.integration.samples.ftp.support.TestUserManager,delete/1[java.lang.String],username,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-integration-samples_cb052d2d98117d96331f883756e68e4bf31ffc84/basic/ftp/src/test/java/org/springframework/integration/samples/ftp/support/TestUserManager.java,org.springframework.integration.samples.ftp.support.TestUserManager,authenticate/1[org.springframework.integration.samples.ftp.support.Authentication],upAuth,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-integration-samples_cb052d2d98117d96331f883756e68e4bf31ffc84/basic/ftp/src/test/java/org/springframework/integration/samples/ftp/support/TestUserManager.java,org.springframework.integration.samples.ftp.support.TestUserManager,authenticate/1[org.springframework.integration.samples.ftp.support.Authentication],authentication,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-integration-samples_cb052d2d98117d96331f883756e68e4bf31ffc84/basic/ftp/src/test/java/org/springframework/integration/samples/ftp/support/TestUserManager.java,org.springframework.integration.samples.ftp.support.TestUserManager,TestUserManager/1[java.lang.String],homeDirectory,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-integration-samples_cb052d2d98117d96331f883756e68e4bf31ffc84/basic/enricher/src/main/java/org/springframework/integration/samples/enricher/domain/User.java,org.springframework.integration.samples.enricher.domain.User,setUsername/1[java.lang.String],username,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-integration-samples_cb052d2d98117d96331f883756e68e4bf31ffc84/basic/enricher/src/main/java/org/springframework/integration/samples/enricher/domain/User.java,org.springframework.integration.samples.enricher.domain.User,"User/3[java.lang.String,java.lang.String,java.lang.String]",password,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-integration-samples_cb052d2d98117d96331f883756e68e4bf31ffc84/basic/enricher/src/main/java/org/springframework/integration/samples/enricher/domain/User.java,org.springframework.integration.samples.enricher.domain.User,"User/3[java.lang.String,java.lang.String,java.lang.String]",email,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-integration-samples_cb052d2d98117d96331f883756e68e4bf31ffc84/basic/enricher/src/main/java/org/springframework/integration/samples/enricher/domain/User.java,org.springframework.integration.samples.enricher.domain.User,"User/3[java.lang.String,java.lang.String,java.lang.String]",username,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-integration-samples_cb052d2d98117d96331f883756e68e4bf31ffc84/basic/enricher/src/main/java/org/springframework/integration/samples/enricher/domain/User.java,org.springframework.integration.samples.enricher.domain.User,setEmail/1[java.lang.String],email,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-integration-samples_cb052d2d98117d96331f883756e68e4bf31ffc84/basic/enricher/src/main/java/org/springframework/integration/samples/enricher/domain/User.java,org.springframework.integration.samples.enricher.domain.User,setPassword/1[java.lang.String],password,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-integration-samples_cb052d2d98117d96331f883756e68e4bf31ffc84/basic/enricher/src/main/java/org/springframework/integration/samples/enricher/domain/User.java,org.springframework.integration.samples.enricher.domain.User,toString/0,builder,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-integration-samples_cb052d2d98117d96331f883756e68e4bf31ffc84/dsl/si4demo/src/main/java/org/springframework/integration/samples/si4demo/annotations/Application.java,org.springframework.integration.samples.si4demo.annotations.Application,tcpGate/0,gateway,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-integration-samples_cb052d2d98117d96331f883756e68e4bf31ffc84/dsl/si4demo/src/main/java/org/springframework/integration/samples/si4demo/annotations/Application.java,org.springframework.integration.samples.si4demo.annotations.Application,main/1[java.lang.String[]],args,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-integration-samples_cb052d2d98117d96331f883756e68e4bf31ffc84/dsl/si4demo/src/main/java/org/springframework/integration/samples/si4demo/annotations/Application.java,org.springframework.integration.samples.si4demo.annotations.Application,main/1[java.lang.String[]],ctx,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-integration-samples_cb052d2d98117d96331f883756e68e4bf31ffc84/dsl/si4demo/src/main/java/org/springframework/integration/samples/si4demo/annotations/Application.java,org.springframework.integration.samples.si4demo.annotations.Application,httpGate/0,mapping,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-integration-samples_cb052d2d98117d96331f883756e68e4bf31ffc84/dsl/si4demo/src/main/java/org/springframework/integration/samples/si4demo/annotations/Application.java,org.springframework.integration.samples.si4demo.annotations.Application,httpGate/0,gateway,4
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-integration-samples_cb052d2d98117d96331f883756e68e4bf31ffc84/dsl/si4demo/src/main/java/org/springframework/integration/samples/si4demo/annotations/Application.java,org.springframework.integration.samples.si4demo.annotations.Application,twitterGate/0,gateway,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-integration-samples_cb052d2d98117d96331f883756e68e4bf31ffc84/basic/web-sockets/src/main/java/org/springframework/integration/samples/websocket/standard/client/Application.java,org.springframework.integration.samples.websocket.standard.client.Application,main/1[java.lang.String[]],args,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-integration-samples_cb052d2d98117d96331f883756e68e4bf31ffc84/basic/web-sockets/src/main/java/org/springframework/integration/samples/websocket/standard/client/Application.java,org.springframework.integration.samples.websocket.standard.client.Application,main/1[java.lang.String[]],ctx,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-integration-samples_cb052d2d98117d96331f883756e68e4bf31ffc84/intermediate/file-processing/src/main/java/org/springframework/integration/samples/fileprocessing/FileProcessor.java,org.springframework.integration.samples.fileprocessing.FileProcessor,process/1[java.io.File],file,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-integration-samples_cb052d2d98117d96331f883756e68e4bf31ffc84/intermediate/monitoring/src/main/java/org/springintegration/NotificationListener.java,org.springintegration.NotificationListener$Gateway,send/1[char],command,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-integration-samples_cb052d2d98117d96331f883756e68e4bf31ffc84/intermediate/multipart-http/src/main/java/org/springframework/integration/samples/multipart/MultipartReceiver.java,org.springframework.integration.samples.multipart.MultipartReceiver,"receive/1[org.springframework.integration.samples.multipart.LinkedMultiValueMap<java.lang.String,java.lang.Object>]",companyName,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-integration-samples_cb052d2d98117d96331f883756e68e4bf31ffc84/intermediate/multipart-http/src/main/java/org/springframework/integration/samples/multipart/MultipartReceiver.java,org.springframework.integration.samples.multipart.MultipartReceiver,"receive/1[org.springframework.integration.samples.multipart.LinkedMultiValueMap<java.lang.String,java.lang.Object>]",multipartRequest,4
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-integration-samples_cb052d2d98117d96331f883756e68e4bf31ffc84/intermediate/multipart-http/src/main/java/org/springframework/integration/samples/multipart/MultipartReceiver.java,org.springframework.integration.samples.multipart.MultipartReceiver,"receive/1[org.springframework.integration.samples.multipart.LinkedMultiValueMap<java.lang.String,java.lang.Object>]",multiValues,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-integration-samples_cb052d2d98117d96331f883756e68e4bf31ffc84/intermediate/multipart-http/src/main/java/org/springframework/integration/samples/multipart/MultipartReceiver.java,org.springframework.integration.samples.multipart.MultipartReceiver,"receive/1[org.springframework.integration.samples.multipart.LinkedMultiValueMap<java.lang.String,java.lang.Object>]",value,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-integration-samples_cb052d2d98117d96331f883756e68e4bf31ffc84/intermediate/multipart-http/src/main/java/org/springframework/integration/samples/multipart/MultipartReceiver.java,org.springframework.integration.samples.multipart.MultipartReceiver,"receive/1[org.springframework.integration.samples.multipart.LinkedMultiValueMap<java.lang.String,java.lang.Object>]",elementName,4
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-integration-samples_cb052d2d98117d96331f883756e68e4bf31ffc84/basic/jms/src/test/java/org/springframework/integration/samples/jms/ChannelAdapterDemoTest.java,org.springframework.integration.samples.jms.ChannelAdapterDemoTest,testChannelAdapterDemo/0,stdinToJmsOutChannel,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-integration-samples_cb052d2d98117d96331f883756e68e4bf31ffc84/basic/jms/src/test/java/org/springframework/integration/samples/jms/ChannelAdapterDemoTest.java,org.springframework.integration.samples.jms.ChannelAdapterDemoTest,testChannelAdapterDemo/0,applicationContext,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-integration-samples_cb052d2d98117d96331f883756e68e4bf31ffc84/basic/jms/src/test/java/org/springframework/integration/samples/jms/ChannelAdapterDemoTest.java,org.springframework.integration.samples.jms.ChannelAdapterDemoTest,testChannelAdapterDemo/0,queueChannel,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-integration-samples_cb052d2d98117d96331f883756e68e4bf31ffc84/basic/jms/src/test/java/org/springframework/integration/samples/jms/ChannelAdapterDemoTest.java,org.springframework.integration.samples.jms.ChannelAdapterDemoTest,testChannelAdapterDemo/0,reply,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-integration-samples_cb052d2d98117d96331f883756e68e4bf31ffc84/basic/jms/src/test/java/org/springframework/integration/samples/jms/ChannelAdapterDemoTest.java,org.springframework.integration.samples.jms.ChannelAdapterDemoTest,testChannelAdapterDemo/0,out,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-integration-samples_cb052d2d98117d96331f883756e68e4bf31ffc84/basic/tcp-client-server/src/main/java/org/springframework/integration/samples/tcpclientserver/CustomSerializerDeserializer.java,org.springframework.integration.samples.tcpclientserver.CustomSerializerDeserializer,"serialize/2[org.springframework.integration.samples.tcpclientserver.CustomOrder,java.io.OutputStream]",number,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-integration-samples_cb052d2d98117d96331f883756e68e4bf31ffc84/basic/tcp-client-server/src/main/java/org/springframework/integration/samples/tcpclientserver/CustomSerializerDeserializer.java,org.springframework.integration.samples.tcpclientserver.CustomSerializerDeserializer,"serialize/2[org.springframework.integration.samples.tcpclientserver.CustomOrder,java.io.OutputStream]",senderName,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-integration-samples_cb052d2d98117d96331f883756e68e4bf31ffc84/basic/tcp-client-server/src/main/java/org/springframework/integration/samples/tcpclientserver/CustomSerializerDeserializer.java,org.springframework.integration.samples.tcpclientserver.CustomSerializerDeserializer,"serialize/2[org.springframework.integration.samples.tcpclientserver.CustomOrder,java.io.OutputStream]",lenghtPadded,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-integration-samples_cb052d2d98117d96331f883756e68e4bf31ffc84/basic/tcp-client-server/src/main/java/org/springframework/integration/samples/tcpclientserver/CustomSerializerDeserializer.java,org.springframework.integration.samples.tcpclientserver.CustomSerializerDeserializer,"serialize/2[org.springframework.integration.samples.tcpclientserver.CustomOrder,java.io.OutputStream]",length,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-integration-samples_cb052d2d98117d96331f883756e68e4bf31ffc84/basic/tcp-client-server/src/main/java/org/springframework/integration/samples/tcpclientserver/CustomSerializerDeserializer.java,org.springframework.integration.samples.tcpclientserver.CustomSerializerDeserializer,"serialize/2[org.springframework.integration.samples.tcpclientserver.CustomOrder,java.io.OutputStream]",outputStream,5
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-integration-samples_cb052d2d98117d96331f883756e68e4bf31ffc84/basic/tcp-client-server/src/main/java/org/springframework/integration/samples/tcpclientserver/CustomSerializerDeserializer.java,org.springframework.integration.samples.tcpclientserver.CustomSerializerDeserializer,"serialize/2[org.springframework.integration.samples.tcpclientserver.CustomOrder,java.io.OutputStream]",object,4
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-integration-samples_cb052d2d98117d96331f883756e68e4bf31ffc84/basic/tcp-client-server/src/main/java/org/springframework/integration/samples/tcpclientserver/CustomSerializerDeserializer.java,org.springframework.integration.samples.tcpclientserver.CustomSerializerDeserializer,"pad/2[int,int]",desiredLength,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-integration-samples_cb052d2d98117d96331f883756e68e4bf31ffc84/basic/tcp-client-server/src/main/java/org/springframework/integration/samples/tcpclientserver/CustomSerializerDeserializer.java,org.springframework.integration.samples.tcpclientserver.CustomSerializerDeserializer,"pad/2[int,int]",length,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-integration-samples_cb052d2d98117d96331f883756e68e4bf31ffc84/basic/tcp-client-server/src/main/java/org/springframework/integration/samples/tcpclientserver/CustomSerializerDeserializer.java,org.springframework.integration.samples.tcpclientserver.CustomSerializerDeserializer,"parseString/2[java.io.InputStream,int]",c,3
