file,class,method,variable,usage
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-restdocs_957f352e763ae58321a1667c2cc8bed2e8c1e3bb/spring-restdocs-core/src/main/java/org/springframework/restdocs/cli/CommandFormatter.java,org.springframework.restdocs.cli.CommandFormatter,format/1[java.util.List<java.lang.String>],elements,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-restdocs_957f352e763ae58321a1667c2cc8bed2e8c1e3bb/spring-restdocs-core/src/test/java/org/springframework/restdocs/constraints/ValidatorConstraintResolverTests.java,org.springframework.restdocs.constraints.ValidatorConstraintResolverTests$ConstraintCondition,ConstraintCondition/1[java.lang.Class<?>],annotation,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-restdocs_957f352e763ae58321a1667c2cc8bed2e8c1e3bb/spring-restdocs-core/src/test/java/org/springframework/restdocs/constraints/ValidatorConstraintResolverTests.java,org.springframework.restdocs.constraints.ValidatorConstraintResolverTests$ConstraintCondition,"config/2[java.lang.String,java.lang.Object]",value,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-restdocs_957f352e763ae58321a1667c2cc8bed2e8c1e3bb/spring-restdocs-core/src/test/java/org/springframework/restdocs/constraints/ValidatorConstraintResolverTests.java,org.springframework.restdocs.constraints.ValidatorConstraintResolverTests$ConstraintCondition,"config/2[java.lang.String,java.lang.Object]",key,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-restdocs_957f352e763ae58321a1667c2cc8bed2e8c1e3bb/spring-restdocs-core/src/test/java/org/springframework/restdocs/constraints/ValidatorConstraintResolverTests.java,org.springframework.restdocs.constraints.ValidatorConstraintResolverTests$ConstraintCondition,matches/1[org.springframework.restdocs.constraints.Constraint],entry,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-restdocs_957f352e763ae58321a1667c2cc8bed2e8c1e3bb/spring-restdocs-core/src/test/java/org/springframework/restdocs/constraints/ValidatorConstraintResolverTests.java,org.springframework.restdocs.constraints.ValidatorConstraintResolverTests$ConstraintCondition,matches/1[org.springframework.restdocs.constraints.Constraint],constraint,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-restdocs_957f352e763ae58321a1667c2cc8bed2e8c1e3bb/spring-restdocs-core/src/main/java/org/springframework/restdocs/payload/JsonFieldProcessor.java,org.springframework.restdocs.payload.JsonFieldProcessor$Anonymous2,foundMatch/1[org.springframework.restdocs.payload.JsonFieldProcessor.Match],match,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-restdocs_957f352e763ae58321a1667c2cc8bed2e8c1e3bb/spring-restdocs-core/src/main/java/org/springframework/restdocs/payload/JsonFieldProcessor.java,org.springframework.restdocs.payload.JsonFieldProcessor$Anonymous1,foundMatch/1[org.springframework.restdocs.payload.JsonFieldProcessor.Match],match,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-restdocs_957f352e763ae58321a1667c2cc8bed2e8c1e3bb/spring-restdocs-core/src/main/java/org/springframework/restdocs/payload/JsonFieldProcessor.java,org.springframework.restdocs.payload.JsonFieldProcessor$Anonymous3,foundMatch/1[org.springframework.restdocs.payload.JsonFieldProcessor.Match],match,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-restdocs_957f352e763ae58321a1667c2cc8bed2e8c1e3bb/spring-restdocs-webtestclient/src/main/java/org/springframework/restdocs/webtestclient/WebTestClientSnippetConfigurer.java,org.springframework.restdocs.webtestclient.WebTestClientSnippetConfigurer,WebTestClientSnippetConfigurer/1[org.springframework.restdocs.webtestclient.WebTestClientRestDocumentationConfigurer],parent,1
