file,class,method,variable,usage
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-retry_e538399d7507145a4d171160be2d7afab294d4e3/src/test/java/org/springframework/retry/interceptor/RetryInterceptorBuilderTests.java,org.springframework.retry.interceptor.RetryInterceptorBuilderTests$Foo,"onMessage/2[java.lang.String,java.lang.Object]",s,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-retry_e538399d7507145a4d171160be2d7afab294d4e3/src/test/java/org/springframework/retry/interceptor/RetryInterceptorBuilderTests.java,org.springframework.retry.interceptor.RetryInterceptorBuilderTests$Foo,"onMessage/2[java.lang.String,java.lang.Object]",message,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-retry_e538399d7507145a4d171160be2d7afab294d4e3/src/test/java/org/springframework/retry/annotation/EnableRetryWithBackoffTests.java,org.springframework.retry.annotation.EnableRetryWithBackoffTests$PeriodSleeper,sleep/1[long],period,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-retry_e538399d7507145a4d171160be2d7afab294d4e3/src/main/java/org/springframework/retry/backoff/ExponentialBackOffPolicy.java,org.springframework.retry.backoff.ExponentialBackOffPolicy,start/1[org.springframework.retry.RetryContext],context,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-retry_e538399d7507145a4d171160be2d7afab294d4e3/src/main/java/org/springframework/retry/backoff/ExponentialBackOffPolicy.java,org.springframework.retry.backoff.ExponentialBackOffPolicy,setMultiplier/1[double],multiplier,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-retry_e538399d7507145a4d171160be2d7afab294d4e3/src/main/java/org/springframework/retry/backoff/ExponentialBackOffPolicy.java,org.springframework.retry.backoff.ExponentialBackOffPolicy,setMaxInterval/1[long],maxInterval,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-retry_e538399d7507145a4d171160be2d7afab294d4e3/src/main/java/org/springframework/retry/backoff/ExponentialBackOffPolicy.java,org.springframework.retry.backoff.ExponentialBackOffPolicy,withSleeper/1[org.springframework.retry.backoff.Sleeper],res,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-retry_e538399d7507145a4d171160be2d7afab294d4e3/src/main/java/org/springframework/retry/backoff/ExponentialBackOffPolicy.java,org.springframework.retry.backoff.ExponentialBackOffPolicy,withSleeper/1[org.springframework.retry.backoff.Sleeper],sleeper,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-retry_e538399d7507145a4d171160be2d7afab294d4e3/src/main/java/org/springframework/retry/backoff/ExponentialBackOffPolicy.java,org.springframework.retry.backoff.ExponentialBackOffPolicy,setSleeper/1[org.springframework.retry.backoff.Sleeper],sleeper,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-retry_e538399d7507145a4d171160be2d7afab294d4e3/src/main/java/org/springframework/retry/backoff/ExponentialBackOffPolicy.java,org.springframework.retry.backoff.ExponentialBackOffPolicy,cloneValues/1[org.springframework.retry.backoff.ExponentialBackOffPolicy],target,4
