file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-roo_4a2e9f1eb17d4e49ad947503a63afef7d5a37842/runtime/classpath-antlrjavaparser/src/main/java/org/springframework/roo/classpath/antlrjavaparser/details/JavaParserClassOrInterfaceTypeDetailsBuilder.java,org.springframework.roo.classpath.antlrjavaparser.details.JavaParserClassOrInterfaceTypeDetailsBuilder$Anonymous1,getCompilationUnitPackage/0,false,367,1,1,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-roo_4a2e9f1eb17d4e49ad947503a63afef7d5a37842/runtime/classpath-antlrjavaparser/src/main/java/org/springframework/roo/classpath/antlrjavaparser/details/JavaParserClassOrInterfaceTypeDetailsBuilder.java,org.springframework.roo.classpath.antlrjavaparser.details.JavaParserClassOrInterfaceTypeDetailsBuilder$Anonymous1,getInnerTypes/0,false,382,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-roo_4a2e9f1eb17d4e49ad947503a63afef7d5a37842/runtime/classpath-antlrjavaparser/src/main/java/org/springframework/roo/classpath/antlrjavaparser/details/JavaParserClassOrInterfaceTypeDetailsBuilder.java,org.springframework.roo.classpath.antlrjavaparser.details.JavaParserClassOrInterfaceTypeDetailsBuilder$Anonymous1,getEnclosingTypeName/0,false,372,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-roo_4a2e9f1eb17d4e49ad947503a63afef7d5a37842/runtime/classpath-antlrjavaparser/src/main/java/org/springframework/roo/classpath/antlrjavaparser/details/JavaParserClassOrInterfaceTypeDetailsBuilder.java,org.springframework.roo.classpath.antlrjavaparser.details.JavaParserClassOrInterfaceTypeDetailsBuilder$Anonymous1,getPhysicalTypeCategory/0,false,387,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-roo_4a2e9f1eb17d4e49ad947503a63afef7d5a37842/runtime/classpath-antlrjavaparser/src/main/java/org/springframework/roo/classpath/antlrjavaparser/details/JavaParserClassOrInterfaceTypeDetailsBuilder.java,org.springframework.roo.classpath.antlrjavaparser.details.JavaParserClassOrInterfaceTypeDetailsBuilder$Anonymous1,getImports/0,false,377,1,1,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-roo_4a2e9f1eb17d4e49ad947503a63afef7d5a37842/runtime/support/src/main/java/org/springframework/roo/support/api/AddOnSearch.java,org.springframework.roo.support.api.AddOnSearch,"searchAddOns/2[java.lang.String,org.springframework.roo.support.api.AddOnSearch.SearchType]",false,22,1,1,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,true
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-roo_4a2e9f1eb17d4e49ad947503a63afef7d5a37842/addon-web-mvc-i18n/src/main/java/org/springframework/roo/addon/web/mvc/i18n/components/I18nComponent.java,org.springframework.roo.addon.web.mvc.i18n.components.I18nComponent,unbindLanguage/1[org.springframework.roo.addon.web.mvc.i18n.components.I18n],false,56,1,0,0,0,1,1,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,4,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-roo_4a2e9f1eb17d4e49ad947503a63afef7d5a37842/addon-web-mvc-i18n/src/main/java/org/springframework/roo/addon/web/mvc/i18n/components/I18nComponent.java,org.springframework.roo.addon.web.mvc.i18n.components.I18nComponent,getLanguage/1[java.util.Locale],false,37,1,1,0,1,3,4,10,2,0,1,4,0,0,1,0,0,0,0,0,0,0,3,0,0,0,10,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-roo_4a2e9f1eb17d4e49ad947503a63afef7d5a37842/addon-web-mvc-i18n/src/main/java/org/springframework/roo/addon/web/mvc/i18n/components/I18nComponent.java,org.springframework.roo.addon.web.mvc.i18n.components.I18nComponent,bindLanguage/1[org.springframework.roo.addon.web.mvc.i18n.components.I18n],false,31,1,0,0,0,1,1,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,4,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-roo_4a2e9f1eb17d4e49ad947503a63afef7d5a37842/addon-web-mvc-i18n/src/main/java/org/springframework/roo/addon/web/mvc/i18n/components/I18nComponent.java,org.springframework.roo.addon.web.mvc.i18n.components.I18nComponent,getSupportedLanguages/0,false,48,1,0,0,0,1,1,7,1,1,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,8,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-roo_4a2e9f1eb17d4e49ad947503a63afef7d5a37842/runtime/classpath/src/main/java/org/springframework/roo/classpath/scanner/MemberDetailsBuilder.java,org.springframework.roo.classpath.scanner.MemberDetailsBuilder$TypeDetailsBuilder,build/0,false,103,8,35,1,34,3,34,35,2,2,0,34,0,0,0,0,0,0,1,0,2,0,1,0,0,0,32,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-roo_4a2e9f1eb17d4e49ad947503a63afef7d5a37842/runtime/classpath/src/main/java/org/springframework/roo/classpath/scanner/MemberDetailsBuilder.java,org.springframework.roo.classpath.scanner.MemberDetailsBuilder$TypeDetailsBuilder,"addDataToField/2[org.springframework.roo.classpath.details.FieldMetadata,org.springframework.roo.classpath.scanner.CustomData]",false,64,6,6,1,5,5,10,13,1,0,2,10,0,0,2,0,0,0,0,0,0,0,3,0,0,0,16,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-roo_4a2e9f1eb17d4e49ad947503a63afef7d5a37842/runtime/classpath/src/main/java/org/springframework/roo/classpath/scanner/MemberDetailsBuilder.java,org.springframework.roo.classpath.scanner.MemberDetailsBuilder$TypeDetailsBuilder,TypeDetailsBuilder/1[org.springframework.roo.classpath.details.MemberHoldingTypeDetails],true,41,1,1,1,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,4,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-roo_4a2e9f1eb17d4e49ad947503a63afef7d5a37842/runtime/classpath/src/main/java/org/springframework/roo/classpath/scanner/MemberDetailsBuilder.java,org.springframework.roo.classpath.scanner.MemberDetailsBuilder$TypeDetailsBuilder,"addDataToMethod/2[org.springframework.roo.classpath.details.MethodMetadata,org.springframework.roo.classpath.scanner.CustomData]",false,79,9,9,1,8,6,13,15,1,0,2,13,0,0,2,0,0,0,0,0,0,0,4,0,0,0,16,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-roo_4a2e9f1eb17d4e49ad947503a63afef7d5a37842/runtime/classpath/src/main/java/org/springframework/roo/classpath/scanner/MemberDetailsBuilder.java,org.springframework.roo.classpath.scanner.MemberDetailsBuilder$TypeDetailsBuilder,addImports/1[java.util.Collection<org.springframework.roo.classpath.details.ImportMetadata>],false,99,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
