file,class,method,variable,usage
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-security-saml_fa46190c8c37c2eb24b0fd424263c219ffe27e25/core/src/test/java/org/springframework/security/saml/saml2/authentication/AssertionTests.java,org.springframework.security.saml.saml2.authentication.AssertionTests,"encryptAssertion/2[org.springframework.security.saml.saml2.encrypt.KeyEncryptionMethod,org.springframework.security.saml.saml2.encrypt.DataEncryptionMethod]",decryptionKey,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-security-saml_fa46190c8c37c2eb24b0fd424263c219ffe27e25/core/src/test/java/org/springframework/security/saml/saml2/authentication/AssertionTests.java,org.springframework.security.saml.saml2.authentication.AssertionTests,"encryptAssertion/2[org.springframework.security.saml.saml2.encrypt.KeyEncryptionMethod,org.springframework.security.saml.saml2.encrypt.DataEncryptionMethod]",decryptionVerificationKey,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-security-saml_fa46190c8c37c2eb24b0fd424263c219ffe27e25/core/src/test/java/org/springframework/security/saml/saml2/authentication/AssertionTests.java,org.springframework.security.saml.saml2.authentication.AssertionTests,originalXML/0,decryptionKey,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-security-saml_fa46190c8c37c2eb24b0fd424263c219ffe27e25/core/src/test/java/org/springframework/security/saml/saml2/authentication/AssertionTests.java,org.springframework.security.saml.saml2.authentication.AssertionTests,originalXML/0,decryptionVerificationKey,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-security-saml_fa46190c8c37c2eb24b0fd424263c219ffe27e25/core/src/test/java/org/springframework/security/saml/saml2/authentication/AssertionTests.java,org.springframework.security.saml.saml2.authentication.AssertionTests,decryptAssertion/0,decryptionKey,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-security-saml_fa46190c8c37c2eb24b0fd424263c219ffe27e25/core/src/test/java/org/springframework/security/saml/saml2/authentication/AssertionTests.java,org.springframework.security.saml.saml2.authentication.AssertionTests,decryptAssertion/0,decryptionVerificationKey,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-security-saml_fa46190c8c37c2eb24b0fd424263c219ffe27e25/samples/boot/simple-service-provider/src/test/java/org/springframework/security/samples/SelectIdentityProviderBootTest.java,org.springframework.security.samples.SelectIdentityProviderBootTest,setUp/0,IDP_DUAL_METADATA,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-security-saml_fa46190c8c37c2eb24b0fd424263c219ffe27e25/samples/boot/simple-service-provider/src/test/java/org/springframework/security/samples/SelectIdentityProviderBootTest.java,org.springframework.security.samples.SelectIdentityProviderBootTest,setUp/0,spBaseUrl,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-security-saml_fa46190c8c37c2eb24b0fd424263c219ffe27e25/samples/boot/simple-service-provider/src/test/java/org/springframework/security/samples/SelectIdentityProviderBootTest.java,org.springframework.security.samples.SelectIdentityProviderBootTest,setUp/0,config,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-security-saml_fa46190c8c37c2eb24b0fd424263c219ffe27e25/samples/boot/simple-service-provider/src/test/java/org/springframework/security/samples/SelectIdentityProviderBootTest.java,org.springframework.security.samples.SelectIdentityProviderBootTest,setUp/0,providers,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-security-saml_fa46190c8c37c2eb24b0fd424263c219ffe27e25/samples/boot/simple-service-provider/src/test/java/org/springframework/security/samples/SelectIdentityProviderBootTest.java,org.springframework.security.samples.SelectIdentityProviderBootTest,setUp/0,idpEntityId,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-security-saml_fa46190c8c37c2eb24b0fd424263c219ffe27e25/samples/boot/simple-service-provider/src/test/java/org/springframework/security/samples/SelectIdentityProviderBootTest.java,org.springframework.security.samples.SelectIdentityProviderBootTest,reset/0,config,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-security-saml_fa46190c8c37c2eb24b0fd424263c219ffe27e25/samples/boot/simple-service-provider/src/test/java/org/springframework/security/samples/SelectIdentityProviderBootTest.java,org.springframework.security.samples.SelectIdentityProviderBootTest,reset/0,providers,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-security-saml_fa46190c8c37c2eb24b0fd424263c219ffe27e25/samples/boot/simple-service-provider/src/test/java/org/springframework/security/samples/SelectIdentityProviderBootTest.java,org.springframework.security.samples.SelectIdentityProviderBootTest,selectIdentityProvider/0,mockMvc,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-security-saml_fa46190c8c37c2eb24b0fd424263c219ffe27e25/core/src/main/java/org/springframework/security/saml/saml2/metadata/Metadata.java,org.springframework.security.saml.saml2.metadata.Metadata,hasNext/0,next,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-security-saml_fa46190c8c37c2eb24b0fd424263c219ffe27e25/core/src/main/java/org/springframework/security/saml/saml2/metadata/Metadata.java,org.springframework.security.saml.saml2.metadata.Metadata,Metadata/1[org.springframework.security.saml.saml2.metadata.Metadata<T>],next,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-security-saml_fa46190c8c37c2eb24b0fd424263c219ffe27e25/core/src/main/java/org/springframework/security/saml/saml2/metadata/Metadata.java,org.springframework.security.saml.saml2.metadata.Metadata,getNext/0,next,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-security-saml_fa46190c8c37c2eb24b0fd424263c219ffe27e25/core/src/main/java/org/springframework/security/saml/saml2/metadata/Metadata.java,org.springframework.security.saml.saml2.metadata.Metadata,setNext/1[T],next,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-security-saml_fa46190c8c37c2eb24b0fd424263c219ffe27e25/core/src/main/java/org/springframework/security/saml/provider/service/config/ExternalIdentityProviderConfiguration.java,org.springframework.security.saml.provider.service.config.ExternalIdentityProviderConfiguration,getAuthenticationRequestBinding/0,authenticationRequestBinding,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-security-saml_fa46190c8c37c2eb24b0fd424263c219ffe27e25/core/src/main/java/org/springframework/security/saml/provider/service/config/ExternalIdentityProviderConfiguration.java,org.springframework.security.saml.provider.service.config.ExternalIdentityProviderConfiguration,getAssertionConsumerServiceIndex/0,assertionConsumerServiceIndex,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-security-saml_fa46190c8c37c2eb24b0fd424263c219ffe27e25/core/src/main/java/org/springframework/security/saml/provider/service/config/ExternalIdentityProviderConfiguration.java,org.springframework.security.saml.provider.service.config.ExternalIdentityProviderConfiguration,setAssertionConsumerServiceIndex/1[int],assertionConsumerServiceIndex,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-security-saml_fa46190c8c37c2eb24b0fd424263c219ffe27e25/core/src/main/java/org/springframework/security/saml/provider/service/config/ExternalIdentityProviderConfiguration.java,org.springframework.security.saml.provider.service.config.ExternalIdentityProviderConfiguration,setNameId/1[java.lang.Object],nameId,10
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-security-saml_fa46190c8c37c2eb24b0fd424263c219ffe27e25/core/src/main/java/org/springframework/security/saml/provider/service/config/ExternalIdentityProviderConfiguration.java,org.springframework.security.saml.provider.service.config.ExternalIdentityProviderConfiguration,setAuthenticationRequestBinding/1[java.net.URI],authenticationRequestBinding,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-security-saml_fa46190c8c37c2eb24b0fd424263c219ffe27e25/core/src/main/java/org/springframework/security/saml/provider/service/config/ExternalIdentityProviderConfiguration.java,org.springframework.security.saml.provider.service.config.ExternalIdentityProviderConfiguration,getNameId/0,nameId,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-security-saml_fa46190c8c37c2eb24b0fd424263c219ffe27e25/core/src/main/java/org/springframework/security/saml/validation/ValidationResult.java,org.springframework.security.saml.validation.ValidationResult$ValidationError,toString/0,message,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-security-saml_fa46190c8c37c2eb24b0fd424263c219ffe27e25/core/src/main/java/org/springframework/security/saml/validation/ValidationResult.java,org.springframework.security.saml.validation.ValidationResult$ValidationError,ValidationError/1[java.lang.String],message,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-security-saml_fa46190c8c37c2eb24b0fd424263c219ffe27e25/core/src/main/java/org/springframework/security/saml/validation/ValidationResult.java,org.springframework.security.saml.validation.ValidationResult$ValidationError,getMessage/0,message,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-security-saml_fa46190c8c37c2eb24b0fd424263c219ffe27e25/core/src/main/java/org/springframework/security/saml/validation/ValidationResult.java,org.springframework.security.saml.validation.ValidationResult$ValidationError,setMessage/1[java.lang.String],message,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-security-saml_fa46190c8c37c2eb24b0fd424263c219ffe27e25/core/src/main/java/org/springframework/security/saml/provider/identity/config/SamlIdentityProviderSecurityDsl.java,org.springframework.security.saml.provider.identity.config.SamlIdentityProviderSecurityDsl,nameIds/1[java.util.List<org.springframework.security.saml.saml2.metadata.NameId>],configuration,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-security-saml_fa46190c8c37c2eb24b0fd424263c219ffe27e25/core/src/main/java/org/springframework/security/saml/provider/identity/config/SamlIdentityProviderSecurityDsl.java,org.springframework.security.saml.provider.identity.config.SamlIdentityProviderSecurityDsl,useStandardFilters/1[boolean],useStandardFilterConfiguration,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-security-saml_fa46190c8c37c2eb24b0fd424263c219ffe27e25/core/src/main/java/org/springframework/security/saml/provider/identity/config/SamlIdentityProviderSecurityDsl.java,org.springframework.security.saml.provider.identity.config.SamlIdentityProviderSecurityDsl,filters/1[java.util.List<org.springframework.security.saml.provider.identity.config.Filter>],filters,5
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-security-saml_fa46190c8c37c2eb24b0fd424263c219ffe27e25/core/src/main/java/org/springframework/security/saml/provider/identity/config/SamlIdentityProviderSecurityDsl.java,org.springframework.security.saml.provider.identity.config.SamlIdentityProviderSecurityDsl,wantRequestsSigned/1[boolean],configuration,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-security-saml_fa46190c8c37c2eb24b0fd424263c219ffe27e25/core/src/main/java/org/springframework/security/saml/provider/identity/config/SamlIdentityProviderSecurityDsl.java,org.springframework.security.saml.provider.identity.config.SamlIdentityProviderSecurityDsl,entityId/1[java.lang.String],configuration,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-security-saml_fa46190c8c37c2eb24b0fd424263c219ffe27e25/core/src/main/java/org/springframework/security/saml/provider/identity/config/SamlIdentityProviderSecurityDsl.java,org.springframework.security.saml.provider.identity.config.SamlIdentityProviderSecurityDsl,rotatingKeys/1[org.springframework.security.saml.provider.config.RotatingKeys],configuration,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-security-saml_fa46190c8c37c2eb24b0fd424263c219ffe27e25/core/src/main/java/org/springframework/security/saml/provider/identity/config/SamlIdentityProviderSecurityDsl.java,org.springframework.security.saml.provider.identity.config.SamlIdentityProviderSecurityDsl,signAssertions/1[boolean],configuration,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-security-saml_fa46190c8c37c2eb24b0fd424263c219ffe27e25/core/src/main/java/org/springframework/security/saml/provider/identity/config/SamlIdentityProviderSecurityDsl.java,org.springframework.security.saml.provider.identity.config.SamlIdentityProviderSecurityDsl,signMetadata/1[boolean],configuration,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-security-saml_fa46190c8c37c2eb24b0fd424263c219ffe27e25/core/src/main/java/org/springframework/security/saml/provider/identity/config/SamlIdentityProviderSecurityDsl.java,org.springframework.security.saml.provider.identity.config.SamlIdentityProviderSecurityDsl,configure/1[org.springframework.security.saml.provider.identity.config.HttpSecurity],configuration,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-security-saml_fa46190c8c37c2eb24b0fd424263c219ffe27e25/core/src/main/java/org/springframework/security/saml/provider/identity/config/SamlIdentityProviderSecurityDsl.java,org.springframework.security.saml.provider.identity.config.SamlIdentityProviderSecurityDsl,configure/1[org.springframework.security.saml.provider.identity.config.HttpSecurity],useStandardFilterConfiguration,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-security-saml_fa46190c8c37c2eb24b0fd424263c219ffe27e25/core/src/main/java/org/springframework/security/saml/provider/identity/config/SamlIdentityProviderSecurityDsl.java,org.springframework.security.saml.provider.identity.config.SamlIdentityProviderSecurityDsl,prefix/1[java.lang.String],configuration,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-security-saml_fa46190c8c37c2eb24b0fd424263c219ffe27e25/core/src/main/java/org/springframework/security/saml/provider/identity/config/SamlIdentityProviderSecurityDsl.java,org.springframework.security.saml.provider.identity.config.SamlIdentityProviderSecurityDsl,prefix/1[java.lang.String],prefix,5
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-security-saml_fa46190c8c37c2eb24b0fd424263c219ffe27e25/core/src/main/java/org/springframework/security/saml/provider/identity/config/SamlIdentityProviderSecurityDsl.java,org.springframework.security.saml.provider.identity.config.SamlIdentityProviderSecurityDsl,serviceProvider/1[org.springframework.security.saml.provider.identity.config.ExternalServiceProviderConfiguration],configuration,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-security-saml_fa46190c8c37c2eb24b0fd424263c219ffe27e25/core/src/main/java/org/springframework/security/saml/provider/identity/config/SamlIdentityProviderSecurityDsl.java,org.springframework.security.saml.provider.identity.config.SamlIdentityProviderSecurityDsl,singleLogout/1[boolean],configuration,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-security-saml_fa46190c8c37c2eb24b0fd424263c219ffe27e25/core/src/main/java/org/springframework/security/saml/provider/identity/config/SamlIdentityProviderSecurityDsl.java,org.springframework.security.saml.provider.identity.config.SamlIdentityProviderSecurityDsl,"encryptAssertions/3[boolean,org.springframework.security.saml.saml2.encrypt.KeyEncryptionMethod,org.springframework.security.saml.saml2.encrypt.DataEncryptionMethod]",configuration,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-security-saml_fa46190c8c37c2eb24b0fd424263c219ffe27e25/core/src/main/java/org/springframework/security/saml/provider/identity/config/SamlIdentityProviderSecurityDsl.java,org.springframework.security.saml.provider.identity.config.SamlIdentityProviderSecurityDsl,configure/1[org.springframework.security.saml.provider.SamlServerConfiguration],configuration,1
