file,class,method,variable,usage
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-ws_620d3eaed4c7d456d10a700969d46397f6b66edc/spring-ws-core/src/main/java/org/springframework/ws/server/endpoint/AbstractXomPayloadEndpoint.java,org.springframework.ws.server.endpoint.AbstractXomPayloadEndpoint$XomSourceCallback,"saxSource/2[org.xml.sax.XMLReader,org.xml.sax.InputSource]",element,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-ws_620d3eaed4c7d456d10a700969d46397f6b66edc/spring-ws-core/src/main/java/org/springframework/ws/server/endpoint/AbstractXomPayloadEndpoint.java,org.springframework.ws.server.endpoint.AbstractXomPayloadEndpoint$XomSourceCallback,staxSource/1[javax.xml.stream.XMLStreamReader],element,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-ws_620d3eaed4c7d456d10a700969d46397f6b66edc/spring-ws-core/src/main/java/org/springframework/ws/server/endpoint/AbstractXomPayloadEndpoint.java,org.springframework.ws.server.endpoint.AbstractXomPayloadEndpoint$XomSourceCallback,source/1[java.lang.String],element,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-ws_620d3eaed4c7d456d10a700969d46397f6b66edc/spring-ws-core/src/main/java/org/springframework/ws/server/endpoint/AbstractXomPayloadEndpoint.java,org.springframework.ws.server.endpoint.AbstractXomPayloadEndpoint$XomSourceCallback,domSource/1[org.w3c.dom.Node],element,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-ws_620d3eaed4c7d456d10a700969d46397f6b66edc/spring-ws-core/src/main/java/org/springframework/ws/server/endpoint/AbstractXomPayloadEndpoint.java,org.springframework.ws.server.endpoint.AbstractXomPayloadEndpoint$XomSourceCallback,streamSource/1[java.io.InputStream],element,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-ws_620d3eaed4c7d456d10a700969d46397f6b66edc/spring-ws-core/src/main/java/org/springframework/ws/server/endpoint/AbstractXomPayloadEndpoint.java,org.springframework.ws.server.endpoint.AbstractXomPayloadEndpoint$XomSourceCallback,streamSource/1[java.io.Reader],element,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-ws_620d3eaed4c7d456d10a700969d46397f6b66edc/spring-ws-support/src/main/java/org/springframework/ws/transport/support/SimpleWebServiceMessageReceiverObjectSupport.java,org.springframework.ws.transport.support.SimpleWebServiceMessageReceiverObjectSupport,getMessageReceiver/0,messageReceiver,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-ws_620d3eaed4c7d456d10a700969d46397f6b66edc/spring-ws-support/src/main/java/org/springframework/ws/transport/support/SimpleWebServiceMessageReceiverObjectSupport.java,org.springframework.ws.transport.support.SimpleWebServiceMessageReceiverObjectSupport,setMessageReceiver/1[org.springframework.ws.transport.WebServiceMessageReceiver],messageReceiver,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-ws_620d3eaed4c7d456d10a700969d46397f6b66edc/spring-ws-support/src/test/java/org/springframework/ws/transport/mail/MailMessageSenderIntegrationTest.java,org.springframework.ws.transport.mail.MailMessageSenderIntegrationTest,testSendAndReceiveQueueNoResponse/0,messageFactory,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-ws_620d3eaed4c7d456d10a700969d46397f6b66edc/spring-ws-support/src/test/java/org/springframework/ws/transport/mail/MailMessageSenderIntegrationTest.java,org.springframework.ws.transport.mail.MailMessageSenderIntegrationTest,testSendAndReceiveQueueNoResponse/0,messageSender,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-ws_620d3eaed4c7d456d10a700969d46397f6b66edc/spring-ws-support/src/test/java/org/springframework/ws/transport/mail/MailMessageSenderIntegrationTest.java,org.springframework.ws.transport.mail.MailMessageSenderIntegrationTest,testSendAndReceiveQueueNoResponse/0,SOAP_ACTION,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-ws_620d3eaed4c7d456d10a700969d46397f6b66edc/spring-ws-support/src/test/java/org/springframework/ws/transport/mail/MailMessageSenderIntegrationTest.java,org.springframework.ws.transport.mail.MailMessageSenderIntegrationTest,setUp/0,messageFactory,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-ws_620d3eaed4c7d456d10a700969d46397f6b66edc/spring-ws-support/src/test/java/org/springframework/ws/transport/mail/MailMessageSenderIntegrationTest.java,org.springframework.ws.transport.mail.MailMessageSenderIntegrationTest,setUp/0,messageSender,5
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-ws_620d3eaed4c7d456d10a700969d46397f6b66edc/spring-ws-core/src/test/java/org/springframework/ws/soap/addressing/server/AnnotationActionMethodEndpointMappingTest.java,org.springframework.ws.soap.addressing.server.AnnotationActionMethodEndpointMappingTest,mapping/0,mapping,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-ws_620d3eaed4c7d456d10a700969d46397f6b66edc/spring-ws-core/src/test/java/org/springframework/ws/soap/addressing/server/AnnotationActionMethodEndpointMappingTest.java,org.springframework.ws.soap.addressing.server.AnnotationActionMethodEndpointMappingTest,mapping/0,applicationContext,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-ws_620d3eaed4c7d456d10a700969d46397f6b66edc/spring-ws-core/src/test/java/org/springframework/ws/soap/addressing/server/AnnotationActionMethodEndpointMappingTest.java,org.springframework.ws.soap.addressing.server.AnnotationActionMethodEndpointMappingTest,createMessageContext/0,messageFactory,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-ws_620d3eaed4c7d456d10a700969d46397f6b66edc/spring-ws-core/src/test/java/org/springframework/ws/soap/addressing/server/AnnotationActionMethodEndpointMappingTest.java,org.springframework.ws.soap.addressing.server.AnnotationActionMethodEndpointMappingTest,setUp/0,messageFactory,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-ws_620d3eaed4c7d456d10a700969d46397f6b66edc/spring-ws-core/src/test/java/org/springframework/ws/soap/addressing/server/AnnotationActionMethodEndpointMappingTest.java,org.springframework.ws.soap.addressing.server.AnnotationActionMethodEndpointMappingTest,setUp/0,mapping,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-ws_620d3eaed4c7d456d10a700969d46397f6b66edc/spring-ws-core/src/test/java/org/springframework/ws/soap/addressing/server/AnnotationActionMethodEndpointMappingTest.java,org.springframework.ws.soap.addressing.server.AnnotationActionMethodEndpointMappingTest,setUp/0,applicationContext,7
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-ws_620d3eaed4c7d456d10a700969d46397f6b66edc/spring-ws-security/src/main/java/org/springframework/ws/soap/security/xwss/callback/XwssCallbackHandlerChain.java,org.springframework.ws.soap.security.xwss.callback.XwssCallbackHandlerChain$CertificateValidatorChain,CertificateValidatorChain/1[org.springframework.ws.soap.security.xwss.callback.CertificateValidationCallback],callback,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-ws_620d3eaed4c7d456d10a700969d46397f6b66edc/spring-ws-security/src/main/java/org/springframework/ws/soap/security/xwss/callback/XwssCallbackHandlerChain.java,org.springframework.ws.soap.security.xwss.callback.XwssCallbackHandlerChain$CertificateValidatorChain,validate/1[java.security.cert.X509Certificate],callback,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-ws_620d3eaed4c7d456d10a700969d46397f6b66edc/spring-ws-core/src/main/java/org/springframework/ws/transport/context/DefaultTransportContext.java,org.springframework.ws.transport.context.DefaultTransportContext,DefaultTransportContext/1[org.springframework.ws.transport.WebServiceConnection],connection,4
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-ws_620d3eaed4c7d456d10a700969d46397f6b66edc/spring-ws-core/src/main/java/org/springframework/ws/transport/context/DefaultTransportContext.java,org.springframework.ws.transport.context.DefaultTransportContext,getConnection/0,connection,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-ws_620d3eaed4c7d456d10a700969d46397f6b66edc/spring-ws-core/src/main/java/org/springframework/ws/transport/context/DefaultTransportContext.java,org.springframework.ws.transport.context.DefaultTransportContext,toString/0,connection,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-ws_620d3eaed4c7d456d10a700969d46397f6b66edc/spring-ws-core/src/test/java/org/springframework/ws/transport/MockTransportOutputStream.java,org.springframework.ws.transport.MockTransportOutputStream,MockTransportOutputStream/1[java.io.OutputStream],outputStream,4
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-ws_620d3eaed4c7d456d10a700969d46397f6b66edc/spring-ws-core/src/test/java/org/springframework/ws/transport/MockTransportOutputStream.java,org.springframework.ws.transport.MockTransportOutputStream,getHeaders/0,headers,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-ws_620d3eaed4c7d456d10a700969d46397f6b66edc/spring-ws-core/src/test/java/org/springframework/ws/transport/MockTransportOutputStream.java,org.springframework.ws.transport.MockTransportOutputStream,"addHeader/2[java.lang.String,java.lang.String]",headers,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-ws_620d3eaed4c7d456d10a700969d46397f6b66edc/spring-ws-core/src/test/java/org/springframework/ws/transport/MockTransportOutputStream.java,org.springframework.ws.transport.MockTransportOutputStream,createOutputStream/0,outputStream,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-ws_620d3eaed4c7d456d10a700969d46397f6b66edc/spring-ws-support/src/main/java/org/springframework/ws/transport/xmpp/XmppMessageSender.java,org.springframework.ws.transport.xmpp.XmppMessageSender,createConnection/1[java.net.URI],receiveTimeout,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/spring-ws_620d3eaed4c7d456d10a700969d46397f6b66edc/spring-ws-support/src/main/java/org/springframework/ws/transport/xmpp/XmppMessageSender.java,org.springframework.ws.transport.xmpp.XmppMessageSender,createConnection/1[java.net.URI],messageEncoding,1
